	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	Dhappiness_4scale	Dhappiness_4scale	Dhappiness_4scale
									
edu	0.0253***	0.0168***	0.0161***	0.0329***	0.0232***	0.0222***			
	(0.00547)	(0.00570)	(0.00570)	(0.00701)	(0.00754)	(0.00758)			
age	-0.118	-0.296**	-0.302**	-0.222	-0.290*	-0.304*			
	(0.116)	(0.126)	(0.127)	(0.155)	(0.173)	(0.174)			
agesquared	0.0132	0.0334**	0.0337**	0.0302	0.0378*	0.0387*			
	(0.0159)	(0.0165)	(0.0166)	(0.0210)	(0.0224)	(0.0225)			
male	-0.100***	-0.128***	-0.127***	-0.0942**	-0.128***	-0.125***			
	(0.0324)	(0.0327)	(0.0327)	(0.0446)	(0.0450)	(0.0450)			
birth_rate	-0.00250	-0.0174	-0.0173	0.0353	0.0188	0.0182			
	(0.0267)	(0.0264)	(0.0263)	(0.0347)	(0.0329)	(0.0329)			
VeryEarly_disease_d	0.0953	0.155*	0.154	0.202	0.242*	0.242*			
	(0.101)	(0.0939)	(0.0941)	(0.136)	(0.138)	(0.138)			
income		0.0929***	0.0979***		0.0865***	0.0934***			
		(0.0224)	(0.0228)		(0.0307)	(0.0313)			
married		0.153***	0.154***		0.0815	0.0853			
		(0.0415)	(0.0416)		(0.0606)	(0.0606)			
health		0.113***	0.113***		0.114***	0.115***			
		(0.0200)	(0.0200)		(0.0271)	(0.0271)			
work_over_40h			-0.0359			-0.0546			
			(0.0307)			(0.0419)			
d_Chengdu	0.00649	-0.0428	-0.0444	0.0306	-0.00651	-0.00805			
	(0.0495)	(0.0484)	(0.0486)	(0.0693)	(0.0681)	(0.0685)			
d_Chongqing	0.0209	0.0148	0.0154	-0.0440	-0.0397	-0.0401			
	(0.0570)	(0.0566)	(0.0567)	(0.0897)	(0.0866)	(0.0867)			
d_Haerbin	0.123**	0.0837*	0.0840*	0.151**	0.113*	0.114*			
	(0.0483)	(0.0486)	(0.0486)	(0.0615)	(0.0631)	(0.0629)			
d_Hefei	-0.0103	-0.0598	-0.0601	0.0369	-0.00831	-0.0143			
	(0.0481)	(0.0477)	(0.0477)	(0.0686)	(0.0690)	(0.0697)			
Dedu							-0.00244	-0.00837	-0.00797
							(0.0150)	(0.0149)	(0.0149)
Dbirth_rate							0.0120	-0.00457	-0.00514
							(0.0704)	(0.0661)	(0.0658)
DVeryEarly_disease_d							-0.00217	0.0351	0.0432
							(0.232)	(0.242)	(0.241)
Dincome								0.0943**	0.101**
								(0.0478)	(0.0476)
Dmarried								0.0968	0.103
								(0.0716)	(0.0723)
Dhealth								0.137***	0.138***
								(0.0376)	(0.0375)
Dwork_over_40h									-0.0573
									(0.0555)
Constant	3.484***	2.876***	2.880***	3.479***	2.749***	2.765***			
	(0.221)	(0.271)	(0.271)	(0.309)	(0.380)	(0.381)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.025	0.055	0.056	0.036	0.063	0.064	0.000	0.029	0.031
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
