	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
									
edu	0.00851	0.00364	0.00447	0.0126	0.00390	0.00523			
	(0.00603)	(0.00636)	(0.00638)	(0.00858)	(0.00907)	(0.00907)			
age	-0.0772	-0.358**	-0.351**	-0.152	-0.472**	-0.454**			
	(0.127)	(0.143)	(0.143)	(0.179)	(0.204)	(0.203)			
agesquared	0.0208	0.0522***	0.0519***	0.0365	0.0709***	0.0696***			
	(0.0171)	(0.0184)	(0.0184)	(0.0239)	(0.0258)	(0.0257)			
male	0.148***	0.132***	0.130***	0.172***	0.155***	0.152***			
	(0.0373)	(0.0374)	(0.0374)	(0.0529)	(0.0539)	(0.0537)			
birth_rate	0.00909	-0.00345	-0.00347	-0.0190	-0.0333	-0.0325			
	(0.0283)	(0.0277)	(0.0277)	(0.0390)	(0.0376)	(0.0377)			
VeryEarly_disease_d	-0.186	-0.135	-0.134	-0.0181	-0.00398	-0.00412			
	(0.148)	(0.142)	(0.142)	(0.224)	(0.219)	(0.219)			
income		0.0539**	0.0480*		0.0680*	0.0591			
		(0.0273)	(0.0280)		(0.0410)	(0.0418)			
married		0.247***	0.246***		0.287***	0.282***			
		(0.0476)	(0.0476)		(0.0723)	(0.0720)			
health		0.128***	0.128***		0.116***	0.115***			
		(0.0235)	(0.0235)		(0.0324)	(0.0323)			
work_over_40h			0.0425			0.0704			
			(0.0353)			(0.0501)			
d_Chengdu	0.0239	-0.0303	-0.0284	0.0981	0.0497	0.0517			
	(0.0564)	(0.0562)	(0.0562)	(0.0836)	(0.0822)	(0.0818)			
d_Chongqing	-0.00589	-0.0135	-0.0142	-0.00937	-0.00821	-0.00770			
	(0.0654)	(0.0639)	(0.0639)	(0.0976)	(0.0953)	(0.0953)			
d_Haerbin	0.0826	0.0402	0.0399	0.189**	0.134	0.133			
	(0.0586)	(0.0573)	(0.0572)	(0.0831)	(0.0822)	(0.0818)			
d_Hefei	0.0651	-0.00111	-0.000804	0.0703	-0.00412	0.00358			
	(0.0540)	(0.0531)	(0.0530)	(0.0811)	(0.0793)	(0.0792)			
Dedu							0.0329*	0.0305	0.0310
							(0.0191)	(0.0196)	(0.0196)
Dbirth_rate							-0.0711	-0.0570	-0.0576
							(0.0706)	(0.0710)	(0.0705)
DVeryEarly_disease_d							-0.117	-0.140	-0.132
							(0.226)	(0.230)	(0.227)
Dincome								0.000289	0.00743
								(0.0575)	(0.0583)
Dmarried								0.193**	0.200**
								(0.0891)	(0.0891)
Dhealth								0.0651	0.0656
								(0.0449)	(0.0449)
Dwork_over_40h									-0.0626
									(0.0699)
Constant	2.508***	2.195***	2.190***	2.545***	2.302***	2.280***			
	(0.250)	(0.307)	(0.307)	(0.352)	(0.445)	(0.443)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.016	0.047	0.048	0.033	0.064	0.065	0.006	0.017	0.018
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
