	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
edu	-0.00515	-3.17e-05	-0.000624	-0.00943	-0.00181	-0.00327			
	(0.00779)	(0.00814)	(0.00817)	(0.0116)	(0.0124)	(0.0124)			
age	-0.505***	-0.445**	-0.451**	-0.595**	-0.650**	-0.670**			
	(0.167)	(0.182)	(0.182)	(0.241)	(0.260)	(0.261)			
agesquared	0.0600***	0.0526**	0.0528**	0.0673**	0.0729**	0.0742**			
	(0.0224)	(0.0235)	(0.0236)	(0.0317)	(0.0332)	(0.0332)			
male	-0.0285	-0.00785	-0.00659	0.0927	0.125*	0.129*			
	(0.0488)	(0.0495)	(0.0494)	(0.0690)	(0.0705)	(0.0703)			
birth_rate	-0.0433	-0.0330	-0.0330	-0.0482	-0.0347	-0.0356			
	(0.0401)	(0.0399)	(0.0399)	(0.0542)	(0.0542)	(0.0541)			
VeryEarly_disease_d	-0.0314	-0.0737	-0.0744	0.00359	-0.0373	-0.0372			
	(0.187)	(0.190)	(0.190)	(0.285)	(0.286)	(0.285)			
income		-0.0532	-0.0490		-0.0713	-0.0616			
		(0.0338)	(0.0347)		(0.0494)	(0.0506)			
married		-0.0612	-0.0604		0.0245	0.0300			
		(0.0569)	(0.0570)		(0.0838)	(0.0839)			
health		-0.0842***	-0.0840***		-0.0869**	-0.0854**			
		(0.0305)	(0.0305)		(0.0435)	(0.0434)			
work_over_40h			-0.0301			-0.0773			
			(0.0464)			(0.0683)			
d_Chengdu	-0.0828	-0.0545	-0.0558	-0.222**	-0.199**	-0.201**			
	(0.0670)	(0.0678)	(0.0678)	(0.0901)	(0.0900)	(0.0898)			
d_Chongqing	0.204**	0.204**	0.204**	0.237*	0.233*	0.232*			
	(0.0888)	(0.0878)	(0.0878)	(0.140)	(0.139)	(0.139)			
d_Haerbin	0.250***	0.273***	0.273***	0.263**	0.285**	0.286**			
	(0.0912)	(0.0908)	(0.0909)	(0.128)	(0.128)	(0.128)			
d_Hefei	-0.0432	-0.0146	-0.0148	-0.0439	-0.0216	-0.0301			
	(0.0666)	(0.0681)	(0.0681)	(0.1000)	(0.102)	(0.102)			
Dedu							-0.0257	-0.0241	-0.0242
							(0.0255)	(0.0256)	(0.0256)
Dbirth_rate							-0.161*	-0.152*	-0.152*
							(0.0920)	(0.0906)	(0.0908)
DVeryEarly_disease_d							-0.0493	-0.0631	-0.0659
							(0.327)	(0.332)	(0.332)
Dincome								-0.0456	-0.0479
								(0.0725)	(0.0741)
Dmarried								0.00561	0.00351
								(0.105)	(0.106)
Dhealth								-0.00977	-0.00995
								(0.0653)	(0.0654)
Dwork_over_40h									0.0198
									(0.0935)
Constant	3.292***	3.779***	3.782***	3.520***	4.274***	4.298***			
	(0.325)	(0.403)	(0.403)	(0.488)	(0.586)	(0.585)			
									
Observations	2,620	2,620	2,620	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.023	0.023	0.031	0.037	0.039	0.006	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
