	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
									
edu	-0.00227	-0.00110	0.000809	0.0111	0.0146	0.0165			
	(0.00761)	(0.00802)	(0.00807)	(0.0105)	(0.0111)	(0.0113)			
age	-0.229	-0.276	-0.259	-0.292	-0.306	-0.281			
	(0.164)	(0.181)	(0.181)	(0.229)	(0.250)	(0.252)			
agesquared	0.0183	0.0230	0.0221	0.0268	0.0283	0.0266			
	(0.0219)	(0.0233)	(0.0233)	(0.0298)	(0.0315)	(0.0316)			
male	-0.167***	-0.159***	-0.163***	-0.102	-0.0886	-0.0937			
	(0.0482)	(0.0484)	(0.0483)	(0.0654)	(0.0664)	(0.0662)			
birth_rate	-0.0789**	-0.0762**	-0.0762**	-0.0382	-0.0331	-0.0320			
	(0.0377)	(0.0377)	(0.0375)	(0.0483)	(0.0479)	(0.0477)			
VeryEarly_disease_d	0.235	0.222	0.225	0.122	0.106	0.106			
	(0.193)	(0.194)	(0.194)	(0.204)	(0.202)	(0.206)			
income		-0.00996	-0.0234		-0.0348	-0.0472			
		(0.0304)	(0.0311)		(0.0430)	(0.0440)			
married		0.0323	0.0298		0.00641	-0.000536			
		(0.0566)	(0.0566)		(0.0786)	(0.0790)			
health		-0.0244	-0.0250		-0.0274	-0.0292			
		(0.0273)	(0.0273)		(0.0388)	(0.0389)			
work_over_40h			0.0969**			0.0988			
			(0.0438)			(0.0614)			
d_Chengdu	0.208***	0.211***	0.215***	0.211**	0.220**	0.223**			
	(0.0740)	(0.0742)	(0.0740)	(0.1000)	(0.100)	(0.0997)			
d_Chongqing	-0.0328	-0.0358	-0.0376	-0.00252	-0.00363	-0.00292			
	(0.0795)	(0.0798)	(0.0805)	(0.119)	(0.119)	(0.120)			
d_Haerbin	-0.194**	-0.191**	-0.192**	-0.104	-0.0955	-0.0974			
	(0.0762)	(0.0771)	(0.0767)	(0.0936)	(0.0944)	(0.0943)			
d_Hefei	0.146**	0.146**	0.147**	0.212**	0.220**	0.230**			
	(0.0662)	(0.0678)	(0.0677)	(0.101)	(0.104)	(0.104)			
Dedu							0.0157	0.0135	0.0134
							(0.0181)	(0.0185)	(0.0185)
Dbirth_rate							-0.0632	-0.0759	-0.0759
							(0.0715)	(0.0735)	(0.0735)
DVeryEarly_disease_d							0.212	0.243	0.243
							(0.236)	(0.244)	(0.244)
Dincome								0.0303	0.0297
								(0.0538)	(0.0554)
Dmarried								-0.0117	-0.0122
								(0.0847)	(0.0854)
Dhealth								0.0811	0.0811
								(0.0510)	(0.0511)
Dwork_over_40h									0.00517
									(0.0650)
Constant	2.713***	2.928***	2.917***	2.493***	2.786***	2.756***			
	(0.319)	(0.387)	(0.386)	(0.453)	(0.544)	(0.545)			
									
Observations	2,598	2,598	2,598	1,320	1,320	1,320	660	660	660
R-squared	0.033	0.034	0.036	0.034	0.035	0.037	0.003	0.008	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
