	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
edu	0.000740	0.00772	0.00693	0.0109	0.0196	0.0175			
	(0.00858)	(0.00908)	(0.00915)	(0.0128)	(0.0138)	(0.0139)			
age	-0.212	-0.274	-0.281	-0.591**	-0.679**	-0.707**			
	(0.187)	(0.203)	(0.203)	(0.276)	(0.300)	(0.301)			
agesquared	0.0169	0.0230	0.0234	0.0614*	0.0712*	0.0732*			
	(0.0249)	(0.0261)	(0.0261)	(0.0360)	(0.0380)	(0.0380)			
male	-0.192***	-0.164***	-0.163***	-0.107	-0.0744	-0.0687			
	(0.0548)	(0.0557)	(0.0557)	(0.0788)	(0.0806)	(0.0805)			
birth_rate	-0.0644	-0.0548	-0.0548	-0.0503	-0.0416	-0.0428			
	(0.0439)	(0.0437)	(0.0437)	(0.0613)	(0.0612)	(0.0608)			
VeryEarly_disease_d	0.133	0.0959	0.0953	0.125	0.0895	0.0897			
	(0.207)	(0.209)	(0.209)	(0.311)	(0.309)	(0.308)			
income		-0.0731**	-0.0676*		-0.0927*	-0.0786			
		(0.0364)	(0.0372)		(0.0513)	(0.0522)			
married		0.0524	0.0535		0.0737	0.0817			
		(0.0626)	(0.0627)		(0.0923)	(0.0935)			
health		-0.0455	-0.0453		-0.0171	-0.0150			
		(0.0332)	(0.0332)		(0.0472)	(0.0471)			
work_over_40h			-0.0399			-0.113			
			(0.0517)			(0.0744)			
d_Chengdu	-0.0142	0.000937	-0.000617	-0.0943	-0.0806	-0.0837			
	(0.0769)	(0.0776)	(0.0779)	(0.114)	(0.116)	(0.116)			
d_Chongqing	0.0704	0.0690	0.0697	0.0708	0.0710	0.0702			
	(0.102)	(0.101)	(0.101)	(0.161)	(0.160)	(0.160)			
d_Haerbin	0.139	0.151	0.152	0.140	0.148	0.150			
	(0.0973)	(0.0972)	(0.0973)	(0.130)	(0.130)	(0.129)			
d_Hefei	0.0260	0.0295	0.0292	0.0336	0.0316	0.0193			
	(0.0753)	(0.0765)	(0.0765)	(0.116)	(0.117)	(0.118)			
Dedu							-0.000644	-0.000351	3.71e-05
							(0.0261)	(0.0264)	(0.0264)
Dbirth_rate							-0.164	-0.154	-0.155
							(0.101)	(0.0989)	(0.0991)
DVeryEarly_disease_d							0.289	0.277	0.285
							(0.187)	(0.191)	(0.191)
Dincome								-0.0366	-0.0303
								(0.0720)	(0.0738)
Dmarried								0.0623	0.0682
								(0.0960)	(0.0972)
Dhealth								0.0319	0.0324
								(0.0658)	(0.0656)
Dwork_over_40h									-0.0557
									(0.0860)
Constant	3.034***	3.664***	3.669***	3.609***	4.266***	4.301***			
	(0.368)	(0.447)	(0.447)	(0.562)	(0.661)	(0.661)			
									
Observations	2,584	2,584	2,584	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.021	0.027	0.031	0.033	0.005	0.007	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
