	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
edu_level	0.00683	0.0102	0.0120	0.00979	0.00610	0.00543			
	(0.0166)	(0.0178)	(0.0178)	(0.0237)	(0.0257)	(0.0257)			
age	-0.118	-0.0924	-0.0880	-0.208	-0.222	-0.225			
	(0.129)	(0.143)	(0.143)	(0.190)	(0.209)	(0.209)			
agesquared	0.0244	0.0231	0.0229	0.0362	0.0390	0.0391			
	(0.0176)	(0.0188)	(0.0188)	(0.0259)	(0.0275)	(0.0275)			
male	-0.0758**	-0.0840**	-0.0850**	-0.0824	-0.0942*	-0.0937*			
	(0.0368)	(0.0373)	(0.0373)	(0.0533)	(0.0545)	(0.0544)			
birth_rate	0.0103	0.00537	0.00532	-0.0608	-0.0715*	-0.0716*			
	(0.0299)	(0.0294)	(0.0294)	(0.0409)	(0.0391)	(0.0391)			
VeryEarly_disease_d	-0.0751	-0.0486	-0.0480	0.228	0.250	0.250			
	(0.141)	(0.139)	(0.139)	(0.193)	(0.186)	(0.187)			
income		-0.0204	-0.0242		-0.000441	0.000880			
		(0.0244)	(0.0250)		(0.0356)	(0.0364)			
married		0.0138	0.0132		0.0474	0.0481			
		(0.0432)	(0.0432)		(0.0616)	(0.0614)			
health		0.0920***	0.0919***		0.115***	0.115***			
		(0.0225)	(0.0225)		(0.0330)	(0.0330)			
work_over_40h			0.0268			-0.0102			
			(0.0335)			(0.0476)			
d_Chengdu	0.131**	0.119**	0.120**	0.135*	0.115	0.115			
	(0.0524)	(0.0530)	(0.0529)	(0.0785)	(0.0783)	(0.0783)			
d_Chongqing	-0.122**	-0.115*	-0.116**	-0.156*	-0.147*	-0.147*			
	(0.0593)	(0.0592)	(0.0591)	(0.0834)	(0.0848)	(0.0848)			
d_Haerbin	-0.0943	-0.105*	-0.106*	-0.0780	-0.101	-0.101			
	(0.0596)	(0.0596)	(0.0596)	(0.0830)	(0.0829)	(0.0829)			
d_Hefei	0.00435	-0.0178	-0.0178	-0.0546	-0.0907	-0.0917			
	(0.0504)	(0.0506)	(0.0506)	(0.0765)	(0.0766)	(0.0769)			
Dedu_level							0.00191	0.00441	0.00399
							(0.0422)	(0.0428)	(0.0429)
Dbirth_rate							-0.206**	-0.210**	-0.210**
							(0.104)	(0.104)	(0.104)
DVeryEarly_disease_d							0.363	0.385*	0.389*
							(0.222)	(0.209)	(0.211)
Dincome								-0.0233	-0.0204
								(0.0522)	(0.0529)
Dmarried								0.0313	0.0340
								(0.0753)	(0.0758)
Dhealth								0.122***	0.122***
								(0.0451)	(0.0452)
Dwork_over_40h									-0.0254
									(0.0624)
Constant	2.758***	2.478***	2.476***	3.086***	2.689***	2.691***			
	(0.240)	(0.293)	(0.293)	(0.351)	(0.435)	(0.436)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.026	0.026	0.028	0.041	0.041	0.015	0.029	0.029
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
