	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
edu_level	-0.0549***	-0.0613***	-0.0642***	-0.0254	-0.0321	-0.0354			
	(0.0202)	(0.0211)	(0.0213)	(0.0284)	(0.0298)	(0.0299)			
age	-0.321**	-0.270	-0.278	-0.407**	-0.231	-0.244			
	(0.149)	(0.169)	(0.170)	(0.206)	(0.232)	(0.233)			
agesquared	0.0226	0.0164	0.0167	0.0349	0.0158	0.0166			
	(0.0199)	(0.0217)	(0.0217)	(0.0269)	(0.0292)	(0.0292)			
male	-0.0675	-0.0697	-0.0680	-0.00724	-0.0223	-0.0198			
	(0.0436)	(0.0441)	(0.0442)	(0.0609)	(0.0620)	(0.0621)			
birth_rate	-0.0526	-0.0511	-0.0511	-0.0239	-0.0245	-0.0251			
	(0.0349)	(0.0349)	(0.0349)	(0.0433)	(0.0437)	(0.0438)			
VeryEarly_disease_d	0.0711	0.0635	0.0626	-0.100	-0.0825	-0.0826			
	(0.146)	(0.146)	(0.146)	(0.155)	(0.154)	(0.152)			
income		0.0269	0.0331		0.0338	0.0404			
		(0.0303)	(0.0310)		(0.0438)	(0.0448)			
married		-0.0624	-0.0613		-0.153*	-0.149*			
		(0.0568)	(0.0569)		(0.0788)	(0.0790)			
health		-0.0518**	-0.0516**		-0.0301	-0.0291			
		(0.0260)	(0.0260)		(0.0364)	(0.0364)			
work_over_40h			-0.0438			-0.0510			
			(0.0411)			(0.0570)			
d_Chengdu	0.0388	0.0486	0.0468	0.111	0.120	0.119			
	(0.0630)	(0.0633)	(0.0635)	(0.0871)	(0.0871)	(0.0874)			
d_Chongqing	0.0658	0.0652	0.0665	0.0865	0.0878	0.0883			
	(0.0781)	(0.0785)	(0.0782)	(0.119)	(0.119)	(0.119)			
d_Haerbin	-0.0501	-0.0418	-0.0410	0.0490	0.0648	0.0666			
	(0.0805)	(0.0804)	(0.0805)	(0.103)	(0.104)	(0.104)			
d_Hefei	0.105*	0.126**	0.126**	0.242***	0.272***	0.267***			
	(0.0600)	(0.0610)	(0.0610)	(0.0881)	(0.0901)	(0.0905)			
Dedu_level							0.0160	0.0147	0.0141
							(0.0542)	(0.0532)	(0.0533)
Dbirth_rate							-0.00839	-0.0233	-0.0236
							(0.102)	(0.105)	(0.104)
DVeryEarly_disease_d							-0.196	-0.169	-0.164
							(0.273)	(0.262)	(0.260)
Dincome								0.0199	0.0243
								(0.0632)	(0.0642)
Dmarried								-0.138*	-0.134*
								(0.0808)	(0.0812)
Dhealth								-0.0256	-0.0253
								(0.0507)	(0.0508)
Dwork_over_40h									-0.0367
									(0.0721)
Constant	3.091***	3.065***	3.068***	2.974***	2.629***	2.642***			
	(0.284)	(0.364)	(0.364)	(0.398)	(0.519)	(0.519)			
									
Observations	2,625	2,625	2,625	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.037	0.037	0.047	0.051	0.052	0.001	0.005	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
