	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
edu_level	-0.00316	-0.00569	-0.00735	-0.00144	0.00208	-0.00443			
	(0.0220)	(0.0232)	(0.0233)	(0.0332)	(0.0351)	(0.0352)			
age	-0.223	-0.258	-0.263	-0.379	-0.446*	-0.470*			
	(0.169)	(0.186)	(0.186)	(0.251)	(0.271)	(0.271)			
agesquared	0.0218	0.0244	0.0246	0.0408	0.0472	0.0488			
	(0.0229)	(0.0242)	(0.0242)	(0.0337)	(0.0353)	(0.0352)			
male	-0.120**	-0.112**	-0.111**	-0.0979	-0.0858	-0.0810			
	(0.0479)	(0.0487)	(0.0487)	(0.0703)	(0.0723)	(0.0721)			
birth_rate	-0.0197	-0.0153	-0.0153	-0.0331	-0.0265	-0.0278			
	(0.0408)	(0.0408)	(0.0408)	(0.0571)	(0.0572)	(0.0568)			
VeryEarly_disease_d	0.0466	0.0243	0.0237	0.138	0.118	0.118			
	(0.182)	(0.183)	(0.184)	(0.281)	(0.280)	(0.282)			
income		0.0166	0.0201		-0.00749	0.00535			
		(0.0336)	(0.0345)		(0.0506)	(0.0519)			
married		2.86e-05	0.000621		0.0354	0.0423			
		(0.0557)	(0.0558)		(0.0800)	(0.0805)			
health		-0.0765**	-0.0764**		-0.0606	-0.0588			
		(0.0299)	(0.0299)		(0.0439)	(0.0438)			
work_over_40h			-0.0251			-0.0994			
			(0.0461)			(0.0670)			
d_Chengdu	-0.0525	-0.0432	-0.0442	-0.105	-0.0981	-0.101			
	(0.0679)	(0.0676)	(0.0677)	(0.0968)	(0.0964)	(0.0963)			
d_Chongqing	0.193**	0.187**	0.188**	0.231**	0.226*	0.226*			
	(0.0752)	(0.0752)	(0.0752)	(0.118)	(0.118)	(0.117)			
d_Haerbin	0.241***	0.249***	0.250***	0.219*	0.226*	0.230*			
	(0.0926)	(0.0923)	(0.0923)	(0.129)	(0.129)	(0.129)			
d_Hefei	0.0569	0.0737	0.0737	0.0723	0.0827	0.0726			
	(0.0620)	(0.0630)	(0.0631)	(0.0931)	(0.0947)	(0.0948)			
Dedu_level							-0.0498	-0.0473	-0.0449
							(0.0651)	(0.0653)	(0.0648)
Dbirth_rate							-0.0941	-0.0845	-0.0832
							(0.0853)	(0.0844)	(0.0840)
DVeryEarly_disease_d							-0.197	-0.211	-0.231
							(0.411)	(0.408)	(0.406)
Dincome								-0.0240	-0.0407
								(0.0664)	(0.0664)
Dmarried								0.0756	0.0604
								(0.103)	(0.103)
Dhealth								0.0232	0.0218
								(0.0627)	(0.0630)
Dwork_over_40h									0.142
									(0.0891)
Constant	2.958***	3.215***	3.216***	3.276***	3.644***	3.669***			
	(0.317)	(0.392)	(0.392)	(0.470)	(0.577)	(0.575)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.021	0.022	0.025	0.026	0.003	0.004	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
