	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	Dhappiness_4scale	Dhappiness_4scale	Dhappiness_4scale
									
edu_level	0.0593***	0.0352**	0.0327**	0.0761***	0.0468**	0.0431*			
	(0.0161)	(0.0166)	(0.0166)	(0.0214)	(0.0226)	(0.0227)			
age	-0.119	-0.299**	-0.305**	-0.227	-0.295*	-0.309*			
	(0.116)	(0.126)	(0.126)	(0.157)	(0.175)	(0.175)			
agesquared	0.0127	0.0333**	0.0335**	0.0299	0.0375*	0.0384*			
	(0.0158)	(0.0165)	(0.0166)	(0.0213)	(0.0226)	(0.0227)			
male	-0.102***	-0.131***	-0.130***	-0.0940**	-0.132***	-0.129***			
	(0.0325)	(0.0327)	(0.0327)	(0.0448)	(0.0453)	(0.0452)			
birth_rate	-0.00332	-0.0184	-0.0183	0.0375	0.0194	0.0186			
	(0.0269)	(0.0265)	(0.0264)	(0.0347)	(0.0329)	(0.0329)			
VeryEarly_disease_d	0.0856	0.150	0.150	0.196	0.239*	0.239*			
	(0.101)	(0.0939)	(0.0941)	(0.138)	(0.140)	(0.140)			
income		0.101***	0.106***		0.0988***	0.106***			
		(0.0218)	(0.0222)		(0.0298)	(0.0303)			
married		0.153***	0.154***		0.0833	0.0873			
		(0.0415)	(0.0416)		(0.0608)	(0.0608)			
health		0.112***	0.112***		0.114***	0.115***			
		(0.0200)	(0.0200)		(0.0272)	(0.0272)			
work_over_40h			-0.0378			-0.0571			
			(0.0306)			(0.0419)			
d_Chengdu	0.00316	-0.0463	-0.0479	0.0216	-0.0153	-0.0167			
	(0.0498)	(0.0486)	(0.0488)	(0.0698)	(0.0684)	(0.0689)			
d_Chongqing	0.00522	0.00448	0.00562	-0.0643	-0.0529	-0.0525			
	(0.0571)	(0.0567)	(0.0568)	(0.0898)	(0.0866)	(0.0867)			
d_Haerbin	0.120**	0.0821*	0.0828*	0.141**	0.107*	0.109*			
	(0.0487)	(0.0489)	(0.0489)	(0.0626)	(0.0636)	(0.0633)			
d_Hefei	-0.0197	-0.0660	-0.0660	0.0198	-0.0210	-0.0268			
	(0.0482)	(0.0478)	(0.0479)	(0.0689)	(0.0693)	(0.0699)			
Dedu_level							-0.00589	-0.0209	-0.0219
							(0.0420)	(0.0437)	(0.0439)
Dbirth_rate							0.0114	-0.00685	-0.00739
							(0.0706)	(0.0664)	(0.0661)
DVeryEarly_disease_d							-0.00278	0.0331	0.0411
							(0.232)	(0.242)	(0.241)
Dincome								0.0955**	0.102**
								(0.0484)	(0.0483)
Dmarried								0.0963	0.103
								(0.0716)	(0.0724)
Dhealth								0.136***	0.137***
								(0.0376)	(0.0375)
Dwork_over_40h									-0.0587
									(0.0556)
Constant	3.607***	2.928***	2.930***	3.641***	2.815***	2.830***			
	(0.216)	(0.271)	(0.271)	(0.302)	(0.383)	(0.384)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.021	0.053	0.054	0.030	0.059	0.060	0.000	0.029	0.031
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
