	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale
									
edu_level	-0.0457**	-0.0421*	-0.0375*	-0.0262	-0.0123	-0.00916			
	(0.0206)	(0.0219)	(0.0220)	(0.0291)	(0.0305)	(0.0306)			
age	-0.315**	-0.212	-0.200	-0.282	-0.170	-0.159			
	(0.155)	(0.176)	(0.177)	(0.212)	(0.238)	(0.240)			
agesquared	0.0181	0.00680	0.00632	0.0164	0.00450	0.00376			
	(0.0207)	(0.0226)	(0.0226)	(0.0277)	(0.0300)	(0.0301)			
male	-0.0479	-0.0455	-0.0482	-0.0513	-0.0384	-0.0407			
	(0.0439)	(0.0448)	(0.0448)	(0.0593)	(0.0608)	(0.0606)			
birth_rate	-0.0430	-0.0401	-0.0402	-0.0426	-0.0351	-0.0345			
	(0.0368)	(0.0366)	(0.0366)	(0.0486)	(0.0477)	(0.0478)			
VeryEarly_disease_d	-0.0718	-0.0831	-0.0815	-0.359***	-0.371***	-0.371***			
	(0.150)	(0.150)	(0.150)	(0.114)	(0.121)	(0.122)			
income		-0.0179	-0.0278		-0.0464	-0.0525			
		(0.0283)	(0.0292)		(0.0399)	(0.0413)			
married		-0.0847	-0.0864		-0.101	-0.105			
		(0.0602)	(0.0601)		(0.0831)	(0.0833)			
health		-0.0262	-0.0264		-0.0464	-0.0472			
		(0.0266)	(0.0265)		(0.0373)	(0.0372)			
work_over_40h			0.0699			0.0472			
			(0.0434)			(0.0600)			
d_Chengdu	-0.0583	-0.0428	-0.0399	-0.0128	0.00776	0.00895			
	(0.0650)	(0.0654)	(0.0655)	(0.0951)	(0.0949)	(0.0952)			
d_Chongqing	0.145*	0.148*	0.146*	0.0554	0.0517	0.0513			
	(0.0766)	(0.0769)	(0.0772)	(0.111)	(0.111)	(0.111)			
d_Haerbin	-0.0952	-0.0834	-0.0848	0.0622	0.0829	0.0812			
	(0.0759)	(0.0764)	(0.0760)	(0.0985)	(0.0988)	(0.0983)			
d_Hefei	0.0672	0.0855	0.0855	0.114	0.140	0.144			
	(0.0626)	(0.0634)	(0.0632)	(0.0899)	(0.0905)	(0.0911)			
Dedu_level							0.0278	0.0414	0.0418
							(0.0596)	(0.0593)	(0.0593)
Dbirth_rate							0.0792	0.0635	0.0637
							(0.0971)	(0.0976)	(0.0979)
DVeryEarly_disease_d							-0.606**	-0.552**	-0.555**
							(0.266)	(0.270)	(0.270)
Dincome								-0.0809	-0.0831
								(0.0588)	(0.0596)
Dmarried								-0.244**	-0.246**
								(0.104)	(0.104)
Dhealth								0.0595	0.0593
								(0.0576)	(0.0576)
Dwork_over_40h									0.0182
									(0.0756)
Constant	3.031***	3.065***	3.060***	2.830***	3.064***	3.052***			
	(0.300)	(0.372)	(0.372)	(0.421)	(0.519)	(0.520)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.042	0.044	0.045	0.042	0.046	0.047	0.009	0.024	0.024
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
