	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale
									
edu_level	0.0347	0.0174	0.0198	0.0381	0.0195	0.0211			
	(0.0234)	(0.0246)	(0.0247)	(0.0350)	(0.0371)	(0.0373)			
age	-0.310*	-0.235	-0.229	-0.173	-0.101	-0.0953			
	(0.184)	(0.202)	(0.202)	(0.275)	(0.300)	(0.302)			
agesquared	0.0327	0.0243	0.0240	0.0155	0.00694	0.00654			
	(0.0246)	(0.0261)	(0.0261)	(0.0367)	(0.0388)	(0.0389)			
male	-0.0587	-0.0755	-0.0770	-0.104	-0.126	-0.128			
	(0.0532)	(0.0540)	(0.0540)	(0.0768)	(0.0789)	(0.0789)			
birth_rate	-0.0907**	-0.0945**	-0.0946**	-0.141**	-0.145***	-0.144***			
	(0.0412)	(0.0412)	(0.0412)	(0.0559)	(0.0557)	(0.0557)			
VeryEarly_disease_d	0.00109	0.0166	0.0173	0.125	0.146	0.146			
	(0.205)	(0.204)	(0.204)	(0.319)	(0.316)	(0.315)			
income		0.0691**	0.0639*		0.0785	0.0752			
		(0.0348)	(0.0356)		(0.0519)	(0.0529)			
married		-0.0823	-0.0832		-0.0725	-0.0743			
		(0.0620)	(0.0620)		(0.0936)	(0.0939)			
health		-0.0253	-0.0255		-0.0307	-0.0311			
		(0.0309)	(0.0310)		(0.0441)	(0.0442)			
work_over_40h			0.0362			0.0254			
			(0.0502)			(0.0750)			
d_Chengdu	-0.277***	-0.276***	-0.275***	-0.231*	-0.234*	-0.234*			
	(0.0775)	(0.0777)	(0.0778)	(0.120)	(0.120)	(0.120)			
d_Chongqing	0.0736	0.0759	0.0748	-0.0860	-0.0845	-0.0847			
	(0.0945)	(0.0946)	(0.0945)	(0.137)	(0.138)	(0.138)			
d_Haerbin	0.347***	0.349***	0.348***	0.331**	0.336***	0.335***			
	(0.0924)	(0.0925)	(0.0925)	(0.129)	(0.130)	(0.130)			
d_Hefei	-0.167**	-0.148**	-0.148**	-0.241**	-0.223**	-0.221**			
	(0.0675)	(0.0682)	(0.0681)	(0.103)	(0.104)	(0.104)			
Dedu_level							-0.0125	-0.0225	-0.0216
							(0.0678)	(0.0673)	(0.0672)
Dbirth_rate							-0.123	-0.150	-0.149
							(0.109)	(0.107)	(0.108)
DVeryEarly_disease_d							-0.319	-0.272	-0.280
							(0.454)	(0.448)	(0.444)
Dincome								0.0773	0.0708
								(0.0695)	(0.0704)
Dmarried								-0.108	-0.114
								(0.115)	(0.115)
Dhealth								0.0283	0.0278
								(0.0621)	(0.0624)
Dwork_over_40h									0.0553
									(0.0987)
Constant	3.276***	2.890***	2.888***	3.179***	2.769***	2.763***			
	(0.351)	(0.429)	(0.429)	(0.516)	(0.632)	(0.633)			
									
Observations	2,631	2,631	2,631	1,320	1,320	1,320	660	660	660
R-squared	0.030	0.032	0.032	0.034	0.036	0.036	0.004	0.008	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
