	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
edu_level	-0.00764	-0.00610	-0.00353	-0.000896	-0.00211	-0.00182			
	(0.0168)	(0.0176)	(0.0177)	(0.0237)	(0.0250)	(0.0250)			
age	0.0426	-0.106	-0.0994	-0.123	-0.297	-0.296			
	(0.126)	(0.141)	(0.141)	(0.177)	(0.202)	(0.201)			
agesquared	0.00938	0.0270	0.0268	0.0322	0.0524**	0.0523**			
	(0.0171)	(0.0183)	(0.0183)	(0.0236)	(0.0258)	(0.0258)			
male	-0.0857**	-0.0932**	-0.0947**	-0.0926*	-0.0953*	-0.0955*			
	(0.0372)	(0.0373)	(0.0373)	(0.0527)	(0.0537)	(0.0538)			
birth_rate	0.00474	-0.00346	-0.00353	-0.0231	-0.0349	-0.0348			
	(0.0298)	(0.0295)	(0.0295)	(0.0422)	(0.0419)	(0.0419)			
VeryEarly_disease_d	-0.141	-0.102	-0.102	0.185	0.196	0.196			
	(0.149)	(0.144)	(0.144)	(0.206)	(0.200)	(0.200)			
income		-0.00694	-0.0124		-0.0179	-0.0185			
		(0.0248)	(0.0252)		(0.0363)	(0.0367)			
married		0.158***	0.158***		0.188***	0.187***			
		(0.0460)	(0.0460)		(0.0706)	(0.0707)			
health		0.130***	0.130***		0.149***	0.149***			
		(0.0224)	(0.0224)		(0.0312)	(0.0311)			
work_over_40h			0.0389			0.00446			
			(0.0351)			(0.0507)			
d_Chengdu	0.0956*	0.0604	0.0620	0.0625	0.0317	0.0318			
	(0.0557)	(0.0548)	(0.0548)	(0.0829)	(0.0798)	(0.0799)			
d_Chongqing	-0.0956	-0.0943	-0.0955	-0.152	-0.144	-0.144			
	(0.0656)	(0.0639)	(0.0638)	(0.100)	(0.0976)	(0.0976)			
d_Haerbin	0.117*	0.0884	0.0876	0.111	0.0710	0.0709			
	(0.0629)	(0.0631)	(0.0633)	(0.0839)	(0.0845)	(0.0847)			
d_Hefei	0.0936*	0.0416	0.0416	0.0924	0.0277	0.0282			
	(0.0516)	(0.0516)	(0.0516)	(0.0778)	(0.0777)	(0.0780)			
Dedu_level							0.0855*	0.0828*	0.0829*
							(0.0483)	(0.0483)	(0.0482)
Dbirth_rate							-0.0267	-0.0194	-0.0193
							(0.0689)	(0.0701)	(0.0702)
DVeryEarly_disease_d							0.287	0.282	0.282
							(0.293)	(0.280)	(0.280)
Dincome								0.00212	0.00173
								(0.0554)	(0.0560)
Dmarried								0.184**	0.184**
								(0.0863)	(0.0863)
Dhealth								0.124***	0.124***
								(0.0475)	(0.0475)
Dwork_over_40h									0.00330
									(0.0645)
Constant	2.678***	2.452***	2.450***	2.998***	2.820***	2.819***			
	(0.240)	(0.297)	(0.296)	(0.336)	(0.418)	(0.418)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.028	0.047	0.048	0.034	0.060	0.060	0.007	0.026	0.026
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
