	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
									
edu_level	-0.0491**	-0.0377*	-0.0367*	-0.00448	0.00710	0.00895			
	(0.0206)	(0.0215)	(0.0217)	(0.0288)	(0.0304)	(0.0305)			
age	-0.246	-0.245	-0.243	-0.294	-0.246	-0.239			
	(0.156)	(0.175)	(0.175)	(0.200)	(0.230)	(0.231)			
agesquared	0.0164	0.0160	0.0158	0.0223	0.0174	0.0170			
	(0.0205)	(0.0221)	(0.0221)	(0.0257)	(0.0282)	(0.0283)			
male	-0.0707	-0.0564	-0.0570	0.0256	0.0371	0.0357			
	(0.0452)	(0.0460)	(0.0461)	(0.0599)	(0.0605)	(0.0606)			
birth_rate	-0.0560	-0.0505	-0.0505	-0.0432	-0.0385	-0.0382			
	(0.0359)	(0.0357)	(0.0357)	(0.0443)	(0.0443)	(0.0443)			
VeryEarly_disease_d	0.0735	0.0501	0.0504	-0.0863	-0.0965	-0.0965			
	(0.157)	(0.158)	(0.158)	(0.163)	(0.163)	(0.164)			
income		-0.0452	-0.0474		-0.0423	-0.0459			
		(0.0295)	(0.0300)		(0.0420)	(0.0429)			
married		0.00179	0.00144		-0.0406	-0.0426			
		(0.0569)	(0.0570)		(0.0801)	(0.0804)			
health		-0.0266	-0.0267		-0.0158	-0.0163			
		(0.0262)	(0.0262)		(0.0371)	(0.0371)			
work_over_40h			0.0156			0.0283			
			(0.0425)			(0.0585)			
d_Chengdu	0.173**	0.185***	0.186***	0.220**	0.232**	0.233**			
	(0.0682)	(0.0687)	(0.0689)	(0.0912)	(0.0914)	(0.0915)			
d_Chongqing	0.0548	0.0530	0.0525	0.0993	0.0972	0.0970			
	(0.0754)	(0.0758)	(0.0759)	(0.116)	(0.117)	(0.117)			
d_Haerbin	-0.0149	-0.00602	-0.00632	0.0443	0.0541	0.0531			
	(0.0802)	(0.0809)	(0.0808)	(0.101)	(0.101)	(0.101)			
d_Hefei	0.217***	0.222***	0.222***	0.320***	0.330***	0.333***			
	(0.0657)	(0.0668)	(0.0668)	(0.0939)	(0.0959)	(0.0963)			
Dedu_level							-0.00583	0.00322	0.00396
							(0.0572)	(0.0560)	(0.0560)
Dbirth_rate							0.139	0.134	0.134
							(0.0856)	(0.0847)	(0.0848)
DVeryEarly_disease_d							-0.0873	-0.0659	-0.0719
							(0.199)	(0.194)	(0.196)
Dincome								-0.0548	-0.0600
								(0.0673)	(0.0684)
Dmarried								-0.132*	-0.137*
								(0.0774)	(0.0782)
Dhealth								0.0133	0.0129
								(0.0551)	(0.0549)
Dwork_over_40h									0.0443
									(0.0717)
Constant	2.811***	3.149***	3.147***	2.628***	2.830***	2.823***			
	(0.306)	(0.381)	(0.381)	(0.401)	(0.510)	(0.511)			
									
Observations	2,600	2,600	2,600	1,320	1,320	1,320	660	660	660
R-squared	0.036	0.038	0.038	0.055	0.056	0.057	0.004	0.010	0.010
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
