	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
edu_level	0.00481	0.00614	0.00113	0.0101	0.0119	0.000137			
	(0.0228)	(0.0241)	(0.0242)	(0.0340)	(0.0367)	(0.0367)			
age	-0.312*	-0.331*	-0.344*	-0.541**	-0.538*	-0.581**			
	(0.179)	(0.196)	(0.197)	(0.260)	(0.285)	(0.286)			
agesquared	0.0339	0.0352	0.0358	0.0597*	0.0594	0.0622*			
	(0.0240)	(0.0255)	(0.0255)	(0.0348)	(0.0369)	(0.0368)			
male	-0.0998**	-0.0913*	-0.0883*	-0.0425	-0.0400	-0.0312			
	(0.0502)	(0.0514)	(0.0514)	(0.0722)	(0.0750)	(0.0747)			
birth_rate	-0.0567	-0.0525	-0.0524	-0.0570	-0.0559	-0.0581			
	(0.0411)	(0.0412)	(0.0410)	(0.0542)	(0.0545)	(0.0539)			
VeryEarly_disease_d	0.0913	0.0710	0.0693	0.196	0.193	0.193			
	(0.198)	(0.199)	(0.200)	(0.313)	(0.314)	(0.317)			
income		-0.00151	0.00912		-0.00634	0.0169			
		(0.0336)	(0.0341)		(0.0495)	(0.0501)			
married		-0.00152	0.000305		-0.00430	0.00821			
		(0.0590)	(0.0592)		(0.0897)	(0.0909)			
health		-0.0549*	-0.0546*		-0.00718	-0.00389			
		(0.0311)	(0.0311)		(0.0453)	(0.0450)			
work_over_40h			-0.0750			-0.180***			
			(0.0466)			(0.0678)			
d_Chengdu	0.0913	0.100	0.0973	-0.0373	-0.0350	-0.0395			
	(0.0717)	(0.0720)	(0.0723)	(0.104)	(0.105)	(0.105)			
d_Chongqing	0.218***	0.214***	0.216***	0.256*	0.255*	0.256*			
	(0.0826)	(0.0827)	(0.0825)	(0.131)	(0.131)	(0.131)			
d_Haerbin	0.143	0.151	0.153	0.150	0.152	0.159			
	(0.0958)	(0.0960)	(0.0961)	(0.129)	(0.130)	(0.130)			
d_Hefei	0.176***	0.188***	0.188***	0.235**	0.238**	0.219**			
	(0.0681)	(0.0689)	(0.0687)	(0.0988)	(0.101)	(0.100)			
Dedu_level							-0.0333	-0.0314	-0.0314
							(0.0678)	(0.0680)	(0.0681)
Dbirth_rate							-0.126	-0.128	-0.128
							(0.0905)	(0.0903)	(0.0904)
DVeryEarly_disease_d							0.0110	0.0255	0.0254
							(0.335)	(0.326)	(0.325)
Dincome								-0.0180	-0.0180
								(0.0730)	(0.0740)
Dmarried								0.0262	0.0261
								(0.104)	(0.104)
Dhealth								0.0853	0.0852
								(0.0616)	(0.0616)
Dwork_over_40h									0.000620
									(0.0880)
Constant	3.050***	3.296***	3.301***	3.507***	3.561***	3.607***			
	(0.338)	(0.426)	(0.426)	(0.487)	(0.612)	(0.612)			
									
Observations	2,609	2,609	2,609	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.020	0.021	0.031	0.031	0.036	0.003	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
