	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
									
edu_level	0.0257	0.0144	0.0173	0.0391	0.0168	0.0216			
	(0.0172)	(0.0181)	(0.0182)	(0.0245)	(0.0262)	(0.0263)			
age	-0.0778	-0.359**	-0.351**	-0.158	-0.476**	-0.458**			
	(0.127)	(0.143)	(0.143)	(0.179)	(0.204)	(0.204)			
agesquared	0.0208	0.0524***	0.0521***	0.0374	0.0715***	0.0704***			
	(0.0172)	(0.0184)	(0.0184)	(0.0240)	(0.0259)	(0.0258)			
male	0.148***	0.133***	0.131***	0.173***	0.157***	0.153***			
	(0.0372)	(0.0374)	(0.0373)	(0.0529)	(0.0539)	(0.0537)			
birth_rate	0.00861	-0.00365	-0.00373	-0.0181	-0.0327	-0.0318			
	(0.0283)	(0.0277)	(0.0276)	(0.0389)	(0.0376)	(0.0377)			
VeryEarly_disease_d	-0.187	-0.136	-0.135	-0.0162	-0.00227	-0.00211			
	(0.148)	(0.142)	(0.142)	(0.223)	(0.219)	(0.219)			
income		0.0524*	0.0462*		0.0656	0.0562			
		(0.0271)	(0.0278)		(0.0411)	(0.0420)			
married		0.248***	0.247***		0.287***	0.282***			
		(0.0475)	(0.0476)		(0.0723)	(0.0720)			
health		0.129***	0.128***		0.116***	0.115***			
		(0.0235)	(0.0235)		(0.0324)	(0.0323)			
work_over_40h			0.0442			0.0728			
			(0.0353)			(0.0503)			
d_Chengdu	0.0230	-0.0305	-0.0286	0.0956	0.0497	0.0515			
	(0.0562)	(0.0561)	(0.0561)	(0.0830)	(0.0818)	(0.0813)			
d_Chongqing	-0.0116	-0.0162	-0.0176	-0.0189	-0.0120	-0.0126			
	(0.0655)	(0.0640)	(0.0640)	(0.0975)	(0.0954)	(0.0953)			
d_Haerbin	0.0783	0.0368	0.0359	0.180**	0.129	0.127			
	(0.0591)	(0.0578)	(0.0578)	(0.0840)	(0.0830)	(0.0826)			
d_Hefei	0.0622	-0.00242	-0.00242	0.0647	-0.00551	0.00188			
	(0.0538)	(0.0530)	(0.0529)	(0.0801)	(0.0786)	(0.0784)			
Dedu_level							0.0877*	0.0862*	0.0852*
							(0.0486)	(0.0510)	(0.0510)
Dbirth_rate							-0.0628	-0.0483	-0.0488
							(0.0710)	(0.0708)	(0.0704)
DVeryEarly_disease_d							-0.107	-0.131	-0.124
							(0.222)	(0.227)	(0.225)
Dincome								-0.00522	0.00154
								(0.0578)	(0.0588)
Dmarried								0.195**	0.201**
								(0.0885)	(0.0887)
Dhealth								0.0672	0.0678
								(0.0448)	(0.0448)
Dwork_over_40h									-0.0573
									(0.0703)
Constant	2.529***	2.202***	2.199***	2.578***	2.313***	2.294***			
	(0.242)	(0.305)	(0.305)	(0.342)	(0.445)	(0.443)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.016	0.047	0.048	0.033	0.064	0.066	0.006	0.017	0.018
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
