	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
									
edu_level	-0.0120	-0.00486	-0.00285	-0.0170	-0.00527	-0.00115			
	(0.0190)	(0.0203)	(0.0204)	(0.0260)	(0.0280)	(0.0283)			
age	-0.264*	-0.169	-0.164	-0.248	-0.187	-0.172			
	(0.139)	(0.156)	(0.156)	(0.190)	(0.210)	(0.212)			
agesquared	0.0243	0.0137	0.0135	0.0184	0.0117	0.0107			
	(0.0187)	(0.0202)	(0.0201)	(0.0249)	(0.0265)	(0.0266)			
male	-0.0964**	-0.0894**	-0.0906**	-0.0905*	-0.0770	-0.0801			
	(0.0401)	(0.0407)	(0.0407)	(0.0542)	(0.0546)	(0.0545)			
birth_rate	-0.0398	-0.0352	-0.0352	-0.0327	-0.0253	-0.0245			
	(0.0329)	(0.0325)	(0.0325)	(0.0418)	(0.0411)	(0.0411)			
VeryEarly_disease_d	0.114	0.0957	0.0964	-0.0971	-0.112	-0.112			
	(0.146)	(0.145)	(0.145)	(0.159)	(0.157)	(0.159)			
income		-0.0317	-0.0360		-0.0384	-0.0465			
		(0.0270)	(0.0276)		(0.0373)	(0.0382)			
married		-0.0778	-0.0785		-0.0624	-0.0667			
		(0.0510)	(0.0510)		(0.0716)	(0.0720)			
health		-0.0326	-0.0328		-0.0499	-0.0510			
		(0.0243)	(0.0243)		(0.0344)	(0.0344)			
work_over_40h			0.0302			0.0630			
			(0.0381)			(0.0539)			
d_Chengdu	0.0747	0.0930	0.0942	0.119	0.136	0.137*			
	(0.0593)	(0.0598)	(0.0599)	(0.0830)	(0.0829)	(0.0829)			
d_Chongqing	0.0335	0.0359	0.0350	-0.0460	-0.0504	-0.0509			
	(0.0733)	(0.0732)	(0.0734)	(0.102)	(0.103)	(0.103)			
d_Haerbin	-0.0801	-0.0664	-0.0671	-0.00499	0.0120	0.00985			
	(0.0702)	(0.0706)	(0.0705)	(0.0886)	(0.0888)	(0.0887)			
d_Hefei	0.0501	0.0685	0.0685	0.0396	0.0611	0.0675			
	(0.0576)	(0.0583)	(0.0583)	(0.0844)	(0.0863)	(0.0869)			
Dedu_level							-0.0255	-0.0222	-0.0219
							(0.0492)	(0.0493)	(0.0494)
Dbirth_rate							0.00729	0.000336	0.000530
							(0.0995)	(0.0998)	(0.0997)
DVeryEarly_disease_d							-0.206	-0.183	-0.185
							(0.271)	(0.276)	(0.276)
Dincome								-0.0206	-0.0231
								(0.0492)	(0.0500)
Dmarried								-0.0580	-0.0602
								(0.0853)	(0.0852)
Dhealth								0.0542	0.0540
								(0.0499)	(0.0498)
Dwork_over_40h									0.0211
									(0.0713)
Constant	2.540***	2.682***	2.680***	2.538***	2.823***	2.807***			
	(0.264)	(0.334)	(0.334)	(0.371)	(0.457)	(0.458)			
									
Observations	2,622	2,622	2,622	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.020	0.026	0.030	0.031	0.002	0.005	0.005
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
