	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
edu_level	-0.0183	-0.00530	-0.00740	-0.0383	-0.0193	-0.0247			
	(0.0228)	(0.0237)	(0.0238)	(0.0344)	(0.0363)	(0.0364)			
age	-0.505***	-0.445**	-0.450**	-0.586**	-0.645**	-0.665**			
	(0.167)	(0.182)	(0.182)	(0.242)	(0.261)	(0.261)			
agesquared	0.0599***	0.0524**	0.0526**	0.0659**	0.0717**	0.0730**			
	(0.0224)	(0.0236)	(0.0236)	(0.0318)	(0.0333)	(0.0333)			
male	-0.0287	-0.00889	-0.00759	0.0918	0.123*	0.127*			
	(0.0487)	(0.0494)	(0.0494)	(0.0689)	(0.0703)	(0.0701)			
birth_rate	-0.0430	-0.0330	-0.0330	-0.0490	-0.0355	-0.0365			
	(0.0401)	(0.0399)	(0.0399)	(0.0542)	(0.0542)	(0.0541)			
VeryEarly_disease_d	-0.0313	-0.0743	-0.0750	-0.00166	-0.0410	-0.0412			
	(0.187)	(0.190)	(0.190)	(0.285)	(0.287)	(0.286)			
income		-0.0507	-0.0462		-0.0645	-0.0540			
		(0.0336)	(0.0346)		(0.0489)	(0.0502)			
married		-0.0620	-0.0612		0.0248	0.0304			
		(0.0570)	(0.0571)		(0.0838)	(0.0838)			
health		-0.0843***	-0.0841***		-0.0869**	-0.0854**			
		(0.0305)	(0.0305)		(0.0435)	(0.0434)			
work_over_40h			-0.0317			-0.0818			
			(0.0466)			(0.0686)			
d_Chengdu	-0.0823	-0.0550	-0.0562	-0.221**	-0.201**	-0.203**			
	(0.0671)	(0.0678)	(0.0678)	(0.0902)	(0.0901)	(0.0898)			
d_Chongqing	0.207**	0.204**	0.205**	0.246*	0.236*	0.237*			
	(0.0885)	(0.0876)	(0.0875)	(0.139)	(0.138)	(0.138)			
d_Haerbin	0.254***	0.275***	0.276***	0.275**	0.292**	0.295**			
	(0.0914)	(0.0910)	(0.0911)	(0.129)	(0.129)	(0.129)			
d_Hefei	-0.0415	-0.0146	-0.0146	-0.0405	-0.0220	-0.0303			
	(0.0665)	(0.0680)	(0.0680)	(0.0993)	(0.101)	(0.102)			
Dedu_level							-0.0728	-0.0669	-0.0667
							(0.0655)	(0.0650)	(0.0651)
Dbirth_rate							-0.167*	-0.159*	-0.159*
							(0.0917)	(0.0905)	(0.0906)
DVeryEarly_disease_d							-0.0578	-0.0701	-0.0722
							(0.329)	(0.334)	(0.334)
Dincome								-0.0414	-0.0433
								(0.0716)	(0.0732)
Dmarried								0.00446	0.00277
								(0.105)	(0.106)
Dhealth								-0.0115	-0.0116
								(0.0653)	(0.0654)
Dwork_over_40h									0.0157
									(0.0935)
Constant	3.289***	3.782***	3.784***	3.521***	4.269***	4.290***			
	(0.319)	(0.401)	(0.401)	(0.475)	(0.582)	(0.581)			
									
Observations	2,620	2,620	2,620	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.023	0.023	0.031	0.038	0.039	0.006	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
