	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale
									
edu_level	-0.00117	-0.00176	-0.000274	0.00373	0.00312	0.00364			
	(0.0168)	(0.0178)	(0.0178)	(0.0234)	(0.0254)	(0.0254)			
age	0.212*	0.176	0.180	0.147	0.0925	0.0945			
	(0.125)	(0.137)	(0.137)	(0.180)	(0.195)	(0.196)			
agesquared	-0.0147	-0.00969	-0.00985	-5.86e-05	0.00668	0.00655			
	(0.0167)	(0.0175)	(0.0175)	(0.0237)	(0.0248)	(0.0249)			
male	0.0401	0.0316	0.0307	0.0617	0.0579	0.0575			
	(0.0354)	(0.0359)	(0.0359)	(0.0507)	(0.0522)	(0.0523)			
birth_rate	0.00489	-0.000744	-0.000784	-0.00313	-0.00988	-0.00978			
	(0.0285)	(0.0283)	(0.0283)	(0.0402)	(0.0398)	(0.0399)			
VeryEarly_disease_d	-0.217*	-0.189	-0.189	0.0171	0.0267	0.0267			
	(0.125)	(0.125)	(0.125)	(0.180)	(0.175)	(0.176)			
income		-0.000668	-0.00384		-0.00925	-0.0103			
		(0.0251)	(0.0255)		(0.0367)	(0.0370)			
married		0.0538	0.0533		0.0701	0.0696			
		(0.0438)	(0.0438)		(0.0613)	(0.0614)			
health		0.0824***	0.0823***		0.0827***	0.0826***			
		(0.0219)	(0.0219)		(0.0301)	(0.0302)			
work_over_40h			0.0225			0.00808			
			(0.0334)			(0.0487)			
d_Chengdu	0.104*	0.0852	0.0861	0.188**	0.173**	0.173**			
	(0.0541)	(0.0538)	(0.0537)	(0.0771)	(0.0756)	(0.0755)			
d_Chongqing	0.0773	0.0808	0.0801	0.120	0.125	0.125			
	(0.0625)	(0.0623)	(0.0623)	(0.0976)	(0.0973)	(0.0973)			
d_Haerbin	0.186***	0.172***	0.171***	0.252***	0.233***	0.233***			
	(0.0543)	(0.0544)	(0.0545)	(0.0710)	(0.0716)	(0.0716)			
d_Hefei	0.0613	0.0354	0.0354	0.136*	0.105	0.106			
	(0.0508)	(0.0511)	(0.0510)	(0.0766)	(0.0769)	(0.0769)			
Dedu_level							0.0869*	0.0867*	0.0836*
							(0.0462)	(0.0465)	(0.0464)
Dbirth_rate							-0.0925	-0.0916	-0.0933
							(0.0653)	(0.0652)	(0.0641)
DVeryEarly_disease_d							0.164	0.168	0.193
							(0.280)	(0.278)	(0.260)
Dincome								-0.00348	0.0183
								(0.0445)	(0.0450)
Dmarried								0.0507	0.0705
								(0.0617)	(0.0602)
Dhealth								0.0561	0.0579
								(0.0373)	(0.0373)
Dwork_over_40h									-0.185***
									(0.0589)
Constant	2.695***	2.442***	2.440***	2.674***	2.505***	2.503***			
	(0.251)	(0.300)	(0.300)	(0.358)	(0.420)	(0.421)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.021	0.028	0.028	0.036	0.044	0.044	0.009	0.013	0.027
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
