	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
									
edu_level	-0.0151	-0.0128	-0.00661	0.0160	0.0229	0.0291			
	(0.0216)	(0.0227)	(0.0229)	(0.0310)	(0.0327)	(0.0331)			
age	-0.228	-0.275	-0.258	-0.289	-0.307	-0.284			
	(0.164)	(0.181)	(0.181)	(0.230)	(0.251)	(0.253)			
agesquared	0.0179	0.0226	0.0218	0.0258	0.0276	0.0261			
	(0.0219)	(0.0233)	(0.0233)	(0.0300)	(0.0318)	(0.0318)			
male	-0.168***	-0.161***	-0.165***	-0.103	-0.0920	-0.0967			
	(0.0482)	(0.0485)	(0.0484)	(0.0654)	(0.0661)	(0.0660)			
birth_rate	-0.0785**	-0.0762**	-0.0763**	-0.0376	-0.0330	-0.0318			
	(0.0377)	(0.0377)	(0.0375)	(0.0483)	(0.0479)	(0.0478)			
VeryEarly_disease_d	0.233	0.221	0.223	0.116	0.102	0.103			
	(0.193)	(0.195)	(0.194)	(0.205)	(0.203)	(0.207)			
income		-0.00552	-0.0189		-0.0238	-0.0362			
		(0.0303)	(0.0310)		(0.0425)	(0.0433)			
married		0.0308	0.0286		0.00774	0.00106			
		(0.0567)	(0.0567)		(0.0787)	(0.0790)			
health		-0.0246	-0.0252		-0.0274	-0.0292			
		(0.0273)	(0.0273)		(0.0388)	(0.0388)			
work_over_40h			0.0946**			0.0962			
			(0.0438)			(0.0612)			
d_Chengdu	0.208***	0.210***	0.214***	0.207**	0.214**	0.216**			
	(0.0740)	(0.0742)	(0.0739)	(0.0999)	(0.0999)	(0.0994)			
d_Chongqing	-0.0307	-0.0344	-0.0375	-0.00766	-0.0109	-0.0117			
	(0.0799)	(0.0802)	(0.0809)	(0.120)	(0.120)	(0.121)			
d_Haerbin	-0.188**	-0.186**	-0.188**	-0.102	-0.0964	-0.0997			
	(0.0765)	(0.0774)	(0.0771)	(0.0952)	(0.0960)	(0.0960)			
d_Hefei	0.146**	0.147**	0.147**	0.205**	0.211**	0.221**			
	(0.0662)	(0.0678)	(0.0677)	(0.101)	(0.104)	(0.104)			
Dedu_level							0.0520	0.0481	0.0482
							(0.0575)	(0.0580)	(0.0581)
Dbirth_rate							-0.0591	-0.0718	-0.0717
							(0.0717)	(0.0737)	(0.0738)
DVeryEarly_disease_d							0.219	0.249	0.248
							(0.235)	(0.242)	(0.243)
Dincome								0.0265	0.0255
								(0.0539)	(0.0556)
Dmarried								-0.0113	-0.0121
								(0.0844)	(0.0851)
Dhealth								0.0820	0.0819
								(0.0512)	(0.0512)
Dwork_over_40h									0.00778
									(0.0653)
Constant	2.736***	2.931***	2.925***	2.574***	2.828***	2.804***			
	(0.312)	(0.384)	(0.383)	(0.444)	(0.543)	(0.544)			
									
Observations	2,598	2,598	2,598	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.034	0.036	0.033	0.034	0.036	0.003	0.009	0.009
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
