	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
house_own	0.0576	0.0632	0.0628	-0.0195	-0.0200	-0.0235			
	(0.0523)	(0.0522)	(0.0522)	(0.0761)	(0.0763)	(0.0762)			
age	-0.218	-0.247	-0.250	-0.384	-0.452*	-0.479*			
	(0.170)	(0.186)	(0.186)	(0.250)	(0.270)	(0.270)			
agesquared	0.0211	0.0229	0.0231	0.0415	0.0479	0.0501			
	(0.0229)	(0.0243)	(0.0243)	(0.0334)	(0.0351)	(0.0351)			
male	-0.123**	-0.112**	-0.111**	-0.0973	-0.0859	-0.0798			
	(0.0480)	(0.0487)	(0.0488)	(0.0705)	(0.0726)	(0.0723)			
birth_rate	-0.0176	-0.0123	-0.0123	-0.0340	-0.0277	-0.0289			
	(0.0406)	(0.0407)	(0.0407)	(0.0570)	(0.0571)	(0.0568)			
VeryEarly_disease_d	0.0445	0.0186	0.0184	0.143	0.122	0.124			
	(0.181)	(0.183)	(0.184)	(0.280)	(0.280)	(0.282)			
income		0.00737	0.00921		-0.00511	0.00468			
		(0.0319)	(0.0326)		(0.0478)	(0.0488)			
married		-0.00186	-0.00123		0.0370	0.0440			
		(0.0558)	(0.0559)		(0.0803)	(0.0808)			
health		-0.0788***	-0.0787***		-0.0607	-0.0589			
		(0.0300)	(0.0300)		(0.0439)	(0.0437)			
work_over_40h			-0.0165			-0.0989			
			(0.0459)			(0.0667)			
d_Chengdu	-0.0506	-0.0398	-0.0403	-0.103	-0.0964	-0.0975			
	(0.0687)	(0.0683)	(0.0683)	(0.0973)	(0.0966)	(0.0964)			
d_Chongqing	0.192**	0.185**	0.186**	0.232**	0.227*	0.227*			
	(0.0753)	(0.0752)	(0.0752)	(0.118)	(0.118)	(0.118)			
d_Haerbin	0.238***	0.247***	0.246***	0.221*	0.229*	0.231*			
	(0.0920)	(0.0919)	(0.0919)	(0.129)	(0.128)	(0.128)			
d_Hefei	0.0477	0.0641	0.0642	0.0759	0.0860	0.0771			
	(0.0628)	(0.0637)	(0.0637)	(0.0937)	(0.0954)	(0.0953)			
Dhouse_own							-0.166	-0.161	-0.162
							(0.108)	(0.110)	(0.108)
Dbirth_rate							-0.109	-0.0981	-0.0968
							(0.0856)	(0.0845)	(0.0841)
DVeryEarly_disease_d							-0.163	-0.182	-0.202
							(0.411)	(0.410)	(0.408)
Dincome								-0.0248	-0.0413
								(0.0671)	(0.0668)
Dmarried								0.0782	0.0629
								(0.104)	(0.103)
Dhealth								0.0138	0.0124
								(0.0633)	(0.0637)
Dwork_over_40h									0.143
									(0.0886)
Constant	2.894***	3.192***	3.192***	3.295***	3.663***	3.691***			
	(0.315)	(0.395)	(0.394)	(0.468)	(0.581)	(0.578)			
									
Observations	2,613	2,613	2,613	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.021	0.021	0.023	0.025	0.027	0.006	0.007	0.011
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
