	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale
									
house_own	-0.0247	-0.0114	-0.00945	0.0213	0.0383	0.0401			
	(0.0477)	(0.0477)	(0.0476)	(0.0620)	(0.0625)	(0.0624)			
age	-0.322**	-0.211	-0.195	-0.289	-0.162	-0.148			
	(0.156)	(0.177)	(0.177)	(0.210)	(0.237)	(0.239)			
agesquared	0.0209	0.00835	0.00740	0.0182	0.00390	0.00278			
	(0.0207)	(0.0226)	(0.0226)	(0.0274)	(0.0297)	(0.0299)			
male	-0.0443	-0.0381	-0.0425	-0.0505	-0.0367	-0.0398			
	(0.0439)	(0.0446)	(0.0446)	(0.0595)	(0.0606)	(0.0604)			
birth_rate	-0.0450	-0.0397	-0.0398	-0.0413	-0.0324	-0.0319			
	(0.0371)	(0.0368)	(0.0367)	(0.0488)	(0.0478)	(0.0478)			
VeryEarly_disease_d	-0.0589	-0.0802	-0.0792	-0.352***	-0.376***	-0.377***			
	(0.152)	(0.151)	(0.152)	(0.114)	(0.122)	(0.124)			
income		-0.0386	-0.0479*		-0.0551	-0.0601			
		(0.0270)	(0.0277)		(0.0385)	(0.0397)			
married		-0.0842	-0.0874		-0.105	-0.108			
		(0.0604)	(0.0603)		(0.0830)	(0.0831)			
health		-0.0268	-0.0274		-0.0462	-0.0471			
		(0.0267)	(0.0266)		(0.0373)	(0.0372)			
work_over_40h			0.0844*			0.0508			
			(0.0433)			(0.0599)			
d_Chengdu	-0.0553	-0.0379	-0.0350	-0.0129	0.00568	0.00625			
	(0.0656)	(0.0658)	(0.0659)	(0.0958)	(0.0955)	(0.0956)			
d_Chongqing	0.144*	0.147*	0.145*	0.0497	0.0477	0.0477			
	(0.0771)	(0.0772)	(0.0776)	(0.111)	(0.110)	(0.110)			
d_Haerbin	-0.112	-0.0930	-0.0924	0.0455	0.0735	0.0730			
	(0.0757)	(0.0767)	(0.0763)	(0.0967)	(0.0976)	(0.0972)			
d_Hefei	0.0751	0.0904	0.0902	0.112	0.134	0.139			
	(0.0632)	(0.0640)	(0.0638)	(0.0906)	(0.0912)	(0.0916)			
Dhouse_own							0.0282	0.0550	0.0550
							(0.0973)	(0.0941)	(0.0941)
Dbirth_rate							0.0815	0.0673	0.0674
							(0.0979)	(0.0981)	(0.0984)
DVeryEarly_disease_d							-0.615**	-0.567**	-0.569**
							(0.267)	(0.271)	(0.270)
Dincome								-0.0771	-0.0791
								(0.0596)	(0.0604)
Dmarried								-0.244**	-0.246**
								(0.104)	(0.105)
Dhealth								0.0628	0.0626
								(0.0574)	(0.0574)
Dwork_over_40h									0.0168
									(0.0753)
Constant	2.899***	3.049***	3.045***	2.731***	3.028***	3.014***			
	(0.301)	(0.375)	(0.376)	(0.416)	(0.518)	(0.520)			
									
Observations	2,618	2,618	2,618	1,320	1,320	1,320	660	660	660
R-squared	0.040	0.042	0.044	0.041	0.046	0.047	0.009	0.024	0.024
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
