	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
house_own	0.00602	-0.0135	-0.0125	-0.00670	-0.0149	-0.0147			
	(0.0414)	(0.0407)	(0.0407)	(0.0591)	(0.0580)	(0.0580)			
age	0.0318	-0.129	-0.121	-0.125	-0.302	-0.301			
	(0.126)	(0.142)	(0.141)	(0.176)	(0.202)	(0.201)			
agesquared	0.0108	0.0299	0.0294	0.0325	0.0531**	0.0530**			
	(0.0170)	(0.0183)	(0.0183)	(0.0234)	(0.0257)	(0.0257)			
male	-0.0853**	-0.0927**	-0.0949**	-0.0924*	-0.0946*	-0.0949*			
	(0.0373)	(0.0374)	(0.0374)	(0.0529)	(0.0541)	(0.0542)			
birth_rate	0.00469	-0.00393	-0.00397	-0.0235	-0.0356	-0.0355			
	(0.0299)	(0.0295)	(0.0295)	(0.0421)	(0.0418)	(0.0417)			
VeryEarly_disease_d	-0.137	-0.0991	-0.0986	0.187	0.199	0.199			
	(0.149)	(0.145)	(0.144)	(0.206)	(0.200)	(0.200)			
income		-0.00672	-0.0113		-0.0179	-0.0184			
		(0.0236)	(0.0239)		(0.0342)	(0.0346)			
married		0.163***	0.161***		0.189***	0.188***			
		(0.0465)	(0.0465)		(0.0709)	(0.0709)			
health		0.129***	0.129***		0.149***	0.149***			
		(0.0224)	(0.0224)		(0.0312)	(0.0312)			
work_over_40h			0.0408			0.00453			
			(0.0351)			(0.0507)			
d_Chengdu	0.0935*	0.0600	0.0613	0.0634	0.0336	0.0337			
	(0.0563)	(0.0554)	(0.0554)	(0.0834)	(0.0803)	(0.0803)			
d_Chongqing	-0.0978	-0.0959	-0.0969	-0.152	-0.143	-0.143			
	(0.0656)	(0.0639)	(0.0639)	(0.100)	(0.0975)	(0.0975)			
d_Haerbin	0.111*	0.0843	0.0846	0.111	0.0718	0.0717			
	(0.0624)	(0.0625)	(0.0626)	(0.0829)	(0.0837)	(0.0838)			
d_Hefei	0.0904*	0.0415	0.0414	0.0937	0.0305	0.0309			
	(0.0523)	(0.0522)	(0.0522)	(0.0782)	(0.0782)	(0.0785)			
Dhouse_own							-0.114	-0.0949	-0.0949
							(0.0940)	(0.0925)	(0.0926)
Dbirth_rate							-0.0386	-0.0311	-0.0311
							(0.0673)	(0.0690)	(0.0691)
DVeryEarly_disease_d							0.287	0.281	0.281
							(0.288)	(0.277)	(0.277)
Dincome								0.0171	0.0170
								(0.0549)	(0.0555)
Dmarried								0.189**	0.189**
								(0.0875)	(0.0874)
Dhealth								0.119**	0.119**
								(0.0482)	(0.0481)
Dwork_over_40h									0.000878
									(0.0640)
Constant	2.670***	2.488***	2.486***	3.004***	2.834***	2.832***			
	(0.237)	(0.298)	(0.298)	(0.333)	(0.420)	(0.420)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.027	0.047	0.047	0.034	0.060	0.060	0.005	0.024	0.024
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
