	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
									
house_own	-0.0448	-0.0332	-0.0326	0.0111	0.0214	0.0223			
	(0.0478)	(0.0479)	(0.0479)	(0.0623)	(0.0629)	(0.0629)			
age	-0.260*	-0.254	-0.249	-0.294	-0.237	-0.230			
	(0.156)	(0.176)	(0.176)	(0.199)	(0.230)	(0.232)			
agesquared	0.0202	0.0186	0.0182	0.0224	0.0160	0.0154			
	(0.0205)	(0.0221)	(0.0221)	(0.0256)	(0.0283)	(0.0284)			
male	-0.0675	-0.0507	-0.0522	0.0255	0.0355	0.0338			
	(0.0453)	(0.0460)	(0.0462)	(0.0601)	(0.0609)	(0.0610)			
birth_rate	-0.0570	-0.0493	-0.0494	-0.0426	-0.0377	-0.0374			
	(0.0362)	(0.0359)	(0.0359)	(0.0445)	(0.0443)	(0.0443)			
VeryEarly_disease_d	0.0887	0.0546	0.0549	-0.0866	-0.103	-0.104			
	(0.158)	(0.159)	(0.159)	(0.163)	(0.163)	(0.165)			
income		-0.0629**	-0.0661**		-0.0402	-0.0428			
		(0.0287)	(0.0290)		(0.0404)	(0.0411)			
married		0.00506	0.00398		-0.0421	-0.0440			
		(0.0571)	(0.0571)		(0.0801)	(0.0803)			
health		-0.0259	-0.0261		-0.0157	-0.0162			
		(0.0263)	(0.0263)		(0.0371)	(0.0371)			
work_over_40h			0.0290			0.0265			
			(0.0424)			(0.0583)			
d_Chengdu	0.183***	0.196***	0.197***	0.220**	0.229**	0.229**			
	(0.0690)	(0.0693)	(0.0694)	(0.0921)	(0.0922)	(0.0922)			
d_Chongqing	0.0538	0.0526	0.0519	0.0979	0.0973	0.0973			
	(0.0760)	(0.0762)	(0.0763)	(0.116)	(0.116)	(0.116)			
d_Haerbin	-0.0348	-0.0161	-0.0158	0.0405	0.0548	0.0545			
	(0.0801)	(0.0811)	(0.0810)	(0.0996)	(0.101)	(0.100)			
d_Hefei	0.228***	0.230***	0.230***	0.319***	0.326***	0.328***			
	(0.0668)	(0.0678)	(0.0679)	(0.0951)	(0.0972)	(0.0975)			
Dhouse_own							-0.0273	-0.0159	-0.0160
							(0.0902)	(0.0899)	(0.0898)
Dbirth_rate							0.136	0.132	0.133
							(0.0860)	(0.0851)	(0.0853)
DVeryEarly_disease_d							-0.0821	-0.0643	-0.0704
							(0.199)	(0.195)	(0.196)
Dincome								-0.0538	-0.0589
								(0.0685)	(0.0696)
Dmarried								-0.131*	-0.136*
								(0.0773)	(0.0781)
Dhealth								0.0124	0.0120
								(0.0548)	(0.0546)
Dwork_over_40h									0.0442
									(0.0717)
Constant	2.689***	3.156***	3.154***	2.603***	2.810***	2.802***			
	(0.304)	(0.383)	(0.383)	(0.395)	(0.510)	(0.511)			
									
Observations	2,590	2,590	2,590	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.037	0.037	0.055	0.056	0.057	0.005	0.010	0.010
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
