	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
house_own	0.0184	0.0241	0.0222	-0.0558	-0.0564	-0.0627			
	(0.0527)	(0.0528)	(0.0527)	(0.0772)	(0.0772)	(0.0767)			
age	-0.312*	-0.320	-0.333*	-0.548**	-0.552*	-0.602**			
	(0.180)	(0.198)	(0.198)	(0.260)	(0.285)	(0.287)			
agesquared	0.0339	0.0339	0.0348	0.0604*	0.0607*	0.0648*			
	(0.0241)	(0.0256)	(0.0256)	(0.0346)	(0.0366)	(0.0368)			
male	-0.101**	-0.0931*	-0.0893*	-0.0414	-0.0414	-0.0302			
	(0.0503)	(0.0514)	(0.0514)	(0.0723)	(0.0750)	(0.0746)			
birth_rate	-0.0532	-0.0487	-0.0486	-0.0600	-0.0595	-0.0616			
	(0.0410)	(0.0411)	(0.0410)	(0.0544)	(0.0547)	(0.0542)			
VeryEarly_disease_d	0.0864	0.0649	0.0640	0.203	0.202	0.206			
	(0.198)	(0.199)	(0.201)	(0.313)	(0.314)	(0.317)			
income		-0.00262	0.00534		0.00335	0.0214			
		(0.0319)	(0.0323)		(0.0460)	(0.0463)			
married		-0.00911	-0.00633		0.000321	0.0132			
		(0.0593)	(0.0596)		(0.0898)	(0.0910)			
health		-0.0563*	-0.0558*		-0.00745	-0.00415			
		(0.0312)	(0.0312)		(0.0453)	(0.0450)			
work_over_40h			-0.0716			-0.182***			
			(0.0465)			(0.0678)			
d_Chengdu	0.0955	0.105	0.103	-0.0316	-0.0309	-0.0330			
	(0.0725)	(0.0726)	(0.0728)	(0.104)	(0.105)	(0.104)			
d_Chongqing	0.218***	0.214***	0.216***	0.260**	0.260**	0.260**			
	(0.0826)	(0.0827)	(0.0826)	(0.131)	(0.131)	(0.131)			
d_Haerbin	0.149	0.158	0.158	0.163	0.164	0.166			
	(0.0962)	(0.0966)	(0.0967)	(0.129)	(0.130)	(0.130)			
d_Hefei	0.174**	0.186***	0.186***	0.244**	0.246**	0.230**			
	(0.0689)	(0.0697)	(0.0694)	(0.0998)	(0.102)	(0.101)			
Dhouse_own							-0.111	-0.0929	-0.0929
							(0.114)	(0.116)	(0.116)
Dbirth_rate							-0.136	-0.135	-0.135
							(0.0928)	(0.0924)	(0.0925)
DVeryEarly_disease_d							0.0338	0.0433	0.0431
							(0.334)	(0.326)	(0.325)
Dincome								-0.0190	-0.0192
								(0.0733)	(0.0743)
Dmarried								0.0275	0.0273
								(0.104)	(0.104)
Dhealth								0.0798	0.0798
								(0.0621)	(0.0620)
Dwork_over_40h									0.00170
									(0.0878)
Constant	3.043***	3.283***	3.288***	3.600***	3.614***	3.666***			
	(0.335)	(0.430)	(0.430)	(0.487)	(0.619)	(0.620)			
									
Observations	2,599	2,599	2,599	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.020	0.021	0.031	0.031	0.037	0.004	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
