	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
house_own	-0.0455	-0.0258	-0.0270	0.0308	0.0183	0.0212			
	(0.0920)	(0.0921)	(0.0920)	(0.139)	(0.138)	(0.138)			
age	0.639**	0.724**	0.715**	0.680	0.703	0.726			
	(0.297)	(0.327)	(0.327)	(0.449)	(0.485)	(0.488)			
agesquared	-0.0370	-0.0491	-0.0486	-0.0343	-0.0407	-0.0426			
	(0.0397)	(0.0421)	(0.0421)	(0.0590)	(0.0617)	(0.0619)			
male	-0.204**	-0.189**	-0.186**	-0.212	-0.209	-0.215			
	(0.0898)	(0.0902)	(0.0903)	(0.133)	(0.132)	(0.132)			
birth_rate	-0.0168	-0.00475	-0.00470	0.0556	0.0775	0.0784			
	(0.0641)	(0.0644)	(0.0644)	(0.0926)	(0.0930)	(0.0932)			
VeryEarly_disease_d	-0.621	-0.680*	-0.680*	-1.132**	-1.155**	-1.157**			
	(0.383)	(0.380)	(0.380)	(0.520)	(0.499)	(0.500)			
income		0.0486	0.0543		0.120	0.111			
		(0.0596)	(0.0604)		(0.0847)	(0.0863)			
married		-0.142	-0.140		-0.143	-0.149			
		(0.102)	(0.102)		(0.150)	(0.150)			
health		-0.225***	-0.224***		-0.342***	-0.344***			
		(0.0532)	(0.0532)		(0.0764)	(0.0763)			
work_over_40h			-0.0510			0.0846			
			(0.0838)			(0.125)			
d_Chengdu	0.366**	0.406***	0.404***	0.435*	0.477**	0.478**			
	(0.146)	(0.145)	(0.145)	(0.222)	(0.220)	(0.220)			
d_Chongqing	0.226	0.214	0.216	0.0538	0.0297	0.0298			
	(0.150)	(0.150)	(0.150)	(0.227)	(0.223)	(0.223)			
d_Haerbin	0.0819	0.109	0.109	0.313	0.363*	0.362*			
	(0.157)	(0.157)	(0.158)	(0.205)	(0.206)	(0.206)			
d_Hefei	-0.429***	-0.362***	-0.362***	-0.249	-0.138	-0.130			
	(0.117)	(0.117)	(0.116)	(0.187)	(0.184)	(0.185)			
Dhouse_own							0.117	0.0552	0.0548
							(0.185)	(0.184)	(0.184)
Dbirth_rate							0.153	0.103	0.104
							(0.166)	(0.175)	(0.176)
DVeryEarly_disease_d							-0.770	-0.712	-0.737
							(0.840)	(0.822)	(0.821)
Dincome								0.168	0.147
								(0.113)	(0.113)
Dmarried								-0.368**	-0.387**
								(0.163)	(0.164)
Dhealth								-0.243**	-0.244**
								(0.117)	(0.117)
Dwork_over_40h									0.180
									(0.147)
Constant	3.103***	3.516***	3.519***	2.643***	3.182***	3.158***			
	(0.561)	(0.721)	(0.721)	(0.875)	(1.098)	(1.101)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.069	0.078	0.078	0.069	0.089	0.089	0.005	0.024	0.026
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
