	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
									
house_own	0.142***	0.110***	0.111***	0.145**	0.116**	0.118**			
	(0.0402)	(0.0393)	(0.0392)	(0.0595)	(0.0586)	(0.0581)			
age	-0.0440	-0.315**	-0.306**	-0.111	-0.434**	-0.414**			
	(0.127)	(0.142)	(0.143)	(0.177)	(0.203)	(0.203)			
agesquared	0.0153	0.0464**	0.0458**	0.0296	0.0655**	0.0639**			
	(0.0171)	(0.0183)	(0.0183)	(0.0235)	(0.0257)	(0.0256)			
male	0.142***	0.128***	0.125***	0.166***	0.152***	0.147***			
	(0.0371)	(0.0371)	(0.0370)	(0.0526)	(0.0535)	(0.0532)			
birth_rate	0.0136	0.000291	0.000243	-0.0111	-0.0271	-0.0263			
	(0.0283)	(0.0278)	(0.0277)	(0.0388)	(0.0375)	(0.0376)			
VeryEarly_disease_d	-0.205	-0.149	-0.148	-0.0621	-0.0315	-0.0331			
	(0.144)	(0.140)	(0.140)	(0.217)	(0.216)	(0.216)			
income		0.0525**	0.0474*		0.0661*	0.0591			
		(0.0257)	(0.0262)		(0.0386)	(0.0392)			
married		0.232***	0.230***		0.278***	0.273***			
		(0.0474)	(0.0474)		(0.0720)	(0.0717)			
health		0.124***	0.124***		0.117***	0.116***			
		(0.0235)	(0.0235)		(0.0323)	(0.0322)			
work_over_40h			0.0457			0.0705			
			(0.0350)			(0.0498)			
d_Chengdu	0.0123	-0.0353	-0.0337	0.0746	0.0347	0.0355			
	(0.0562)	(0.0561)	(0.0560)	(0.0847)	(0.0831)	(0.0827)			
d_Chongqing	-0.0168	-0.0203	-0.0215	-0.0198	-0.0150	-0.0150			
	(0.0650)	(0.0636)	(0.0636)	(0.0960)	(0.0941)	(0.0940)			
d_Haerbin	0.0895	0.0447	0.0450	0.182**	0.124	0.123			
	(0.0581)	(0.0571)	(0.0571)	(0.0825)	(0.0818)	(0.0814)			
d_Hefei	0.0340	-0.0207	-0.0208	0.0349	-0.0269	-0.0205			
	(0.0540)	(0.0533)	(0.0533)	(0.0809)	(0.0795)	(0.0793)			
Dhouse_own							0.0304	0.0402	0.0403
							(0.0927)	(0.0917)	(0.0919)
Dbirth_rate							-0.0610	-0.0475	-0.0480
							(0.0714)	(0.0715)	(0.0711)
DVeryEarly_disease_d							-0.129	-0.151	-0.143
							(0.228)	(0.231)	(0.228)
Dincome								0.00538	0.0123
								(0.0576)	(0.0585)
Dmarried								0.196**	0.202**
								(0.0892)	(0.0892)
Dhealth								0.0700	0.0706
								(0.0453)	(0.0453)
Dwork_over_40h									-0.0600
									(0.0701)
Constant	2.454***	2.116***	2.113***	2.521***	2.204***	2.184***			
	(0.238)	(0.306)	(0.305)	(0.338)	(0.443)	(0.441)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.021	0.049	0.049	0.036	0.067	0.069	0.002	0.013	0.014
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
