	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
house_own	0.0293	0.0500	0.0494	-0.0689	-0.0559	-0.0586			
	(0.0526)	(0.0524)	(0.0524)	(0.0776)	(0.0770)	(0.0771)			
age	-0.503***	-0.423**	-0.428**	-0.617**	-0.669**	-0.690***			
	(0.168)	(0.183)	(0.183)	(0.242)	(0.260)	(0.262)			
agesquared	0.0605***	0.0501**	0.0504**	0.0714**	0.0754**	0.0771**			
	(0.0226)	(0.0236)	(0.0236)	(0.0319)	(0.0332)	(0.0333)			
male	-0.0296	-0.00974	-0.00842	0.0958	0.127*	0.132*			
	(0.0487)	(0.0492)	(0.0491)	(0.0691)	(0.0703)	(0.0701)			
birth_rate	-0.0399	-0.0280	-0.0280	-0.0521	-0.0377	-0.0386			
	(0.0401)	(0.0398)	(0.0398)	(0.0545)	(0.0542)	(0.0541)			
VeryEarly_disease_d	-0.0303	-0.0821	-0.0824	0.0286	-0.0241	-0.0224			
	(0.187)	(0.190)	(0.191)	(0.281)	(0.285)	(0.283)			
income		-0.0593*	-0.0566*		-0.0703	-0.0627			
		(0.0322)	(0.0329)		(0.0459)	(0.0470)			
married		-0.0717	-0.0707		0.0286	0.0340			
		(0.0571)	(0.0572)		(0.0841)	(0.0842)			
health		-0.0861***	-0.0859***		-0.0871**	-0.0857**			
		(0.0306)	(0.0306)		(0.0435)	(0.0434)			
work_over_40h			-0.0243			-0.0769			
			(0.0462)			(0.0684)			
d_Chengdu	-0.0757	-0.0482	-0.0489	-0.210**	-0.192**	-0.193**			
	(0.0675)	(0.0681)	(0.0680)	(0.0904)	(0.0902)	(0.0899)			
d_Chongqing	0.205**	0.203**	0.203**	0.243*	0.236*	0.236*			
	(0.0891)	(0.0878)	(0.0877)	(0.141)	(0.139)	(0.139)			
d_Haerbin	0.247***	0.277***	0.277***	0.263**	0.290**	0.291**			
	(0.0914)	(0.0912)	(0.0912)	(0.128)	(0.128)	(0.128)			
d_Hefei	-0.0451	-0.0207	-0.0207	-0.0246	-0.0107	-0.0176			
	(0.0671)	(0.0684)	(0.0684)	(0.0998)	(0.101)	(0.102)			
Dhouse_own							-0.106	-0.104	-0.104
							(0.117)	(0.116)	(0.116)
Dbirth_rate							-0.176*	-0.166*	-0.166*
							(0.0942)	(0.0926)	(0.0928)
DVeryEarly_disease_d							-0.0279	-0.0447	-0.0472
							(0.329)	(0.335)	(0.336)
Dincome								-0.0470	-0.0491
								(0.0730)	(0.0745)
Dmarried								0.00521	0.00330
								(0.105)	(0.106)
Dhealth								-0.0177	-0.0179
								(0.0650)	(0.0651)
Dwork_over_40h									0.0179
									(0.0932)
Constant	3.191***	3.740***	3.741***	3.492***	4.321***	4.343***			
	(0.316)	(0.404)	(0.404)	(0.465)	(0.587)	(0.586)			
									
Observations	2,609	2,609	2,609	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.024	0.024	0.031	0.038	0.039	0.006	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
