	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale
									
house_own	0.0186	0.00850	0.00900	0.0180	0.0152	0.0155			
	(0.0383)	(0.0385)	(0.0385)	(0.0541)	(0.0547)	(0.0547)			
age	0.203	0.164	0.168	0.152	0.0983	0.100			
	(0.126)	(0.137)	(0.138)	(0.181)	(0.195)	(0.197)			
agesquared	-0.0137	-0.00827	-0.00851	-0.000923	0.00582	0.00565			
	(0.0168)	(0.0176)	(0.0176)	(0.0238)	(0.0250)	(0.0251)			
male	0.0399	0.0311	0.0299	0.0610	0.0571	0.0566			
	(0.0356)	(0.0361)	(0.0361)	(0.0510)	(0.0524)	(0.0524)			
birth_rate	0.00497	-0.00103	-0.00105	-0.00225	-0.00919	-0.00910			
	(0.0286)	(0.0284)	(0.0284)	(0.0403)	(0.0400)	(0.0400)			
VeryEarly_disease_d	-0.218*	-0.189	-0.189	0.0119	0.0226	0.0225			
	(0.125)	(0.125)	(0.125)	(0.180)	(0.175)	(0.176)			
income		-5.40e-05	-0.00242		-0.00873	-0.00948			
		(0.0240)	(0.0244)		(0.0342)	(0.0345)			
married		0.0535	0.0527		0.0690	0.0685			
		(0.0441)	(0.0442)		(0.0613)	(0.0615)			
health		0.0825***	0.0824***		0.0828***	0.0827***			
		(0.0220)	(0.0220)		(0.0301)	(0.0302)			
work_over_40h			0.0213			0.00755			
			(0.0334)			(0.0489)			
d_Chengdu	0.0987*	0.0813	0.0820	0.185**	0.171**	0.171**			
	(0.0547)	(0.0542)	(0.0542)	(0.0777)	(0.0762)	(0.0761)			
d_Chongqing	0.0753	0.0793	0.0787	0.119	0.125	0.125			
	(0.0625)	(0.0623)	(0.0623)	(0.0974)	(0.0971)	(0.0970)			
d_Haerbin	0.191***	0.176***	0.176***	0.252***	0.233***	0.233***			
	(0.0541)	(0.0540)	(0.0541)	(0.0706)	(0.0712)	(0.0713)			
d_Hefei	0.0559	0.0320	0.0319	0.133*	0.102	0.103			
	(0.0513)	(0.0515)	(0.0515)	(0.0772)	(0.0777)	(0.0777)			
Dhouse_own							-0.00403	0.00564	0.00601
							(0.0710)	(0.0718)	(0.0722)
Dbirth_rate							-0.0940	-0.0941	-0.0957
							(0.0648)	(0.0647)	(0.0637)
DVeryEarly_disease_d							0.147	0.152	0.178
							(0.281)	(0.279)	(0.260)
Dincome								0.00844	0.0301
								(0.0450)	(0.0454)
Dmarried								0.0527	0.0726
								(0.0622)	(0.0608)
Dhealth								0.0570	0.0588
								(0.0372)	(0.0373)
Dwork_over_40h									-0.187***
									(0.0593)
Constant	2.698***	2.451***	2.450***	2.664***	2.491***	2.489***			
	(0.243)	(0.301)	(0.301)	(0.351)	(0.419)	(0.420)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.021	0.028	0.028	0.036	0.044	0.044	0.003	0.007	0.022
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
