	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
house_own	-0.0325	-0.0214	-0.0226	-0.0607	-0.0533	-0.0577			
	(0.0561)	(0.0565)	(0.0566)	(0.0801)	(0.0809)	(0.0812)			
age	-0.225	-0.280	-0.289	-0.594**	-0.687**	-0.722**			
	(0.188)	(0.204)	(0.204)	(0.275)	(0.300)	(0.302)			
agesquared	0.0188	0.0233	0.0239	0.0607*	0.0701*	0.0728*			
	(0.0249)	(0.0262)	(0.0262)	(0.0359)	(0.0379)	(0.0380)			
male	-0.193***	-0.170***	-0.168***	-0.107	-0.0838	-0.0761			
	(0.0548)	(0.0556)	(0.0557)	(0.0788)	(0.0806)	(0.0804)			
birth_rate	-0.0622	-0.0525	-0.0525	-0.0529	-0.0459	-0.0473			
	(0.0438)	(0.0436)	(0.0436)	(0.0612)	(0.0612)	(0.0608)			
VeryEarly_disease_d	0.131	0.0886	0.0884	0.124	0.0884	0.0911			
	(0.207)	(0.209)	(0.209)	(0.312)	(0.310)	(0.307)			
income		-0.0647*	-0.0600*		-0.0592	-0.0468			
		(0.0346)	(0.0352)		(0.0482)	(0.0488)			
married		0.0467	0.0485		0.0803	0.0892			
		(0.0632)	(0.0634)		(0.0932)	(0.0946)			
health		-0.0459	-0.0455		-0.0174	-0.0151			
		(0.0334)	(0.0333)		(0.0471)	(0.0470)			
work_over_40h			-0.0430			-0.125*			
			(0.0516)			(0.0744)			
d_Chengdu	-0.00426	0.00786	0.00662	-0.0925	-0.0887	-0.0901			
	(0.0780)	(0.0785)	(0.0787)	(0.114)	(0.115)	(0.116)			
d_Chongqing	0.0707	0.0656	0.0668	0.0718	0.0692	0.0691			
	(0.102)	(0.101)	(0.101)	(0.160)	(0.159)	(0.159)			
d_Haerbin	0.147	0.165*	0.165*	0.158	0.166	0.167			
	(0.0977)	(0.0980)	(0.0980)	(0.131)	(0.131)	(0.131)			
d_Hefei	0.0314	0.0307	0.0308	0.0365	0.0267	0.0155			
	(0.0757)	(0.0768)	(0.0768)	(0.115)	(0.117)	(0.117)			
Dhouse_own							-0.0407	-0.0317	-0.0316
							(0.109)	(0.108)	(0.109)
Dbirth_rate							-0.168	-0.157	-0.158
							(0.102)	(0.100)	(0.101)
DVeryEarly_disease_d							0.296	0.281	0.289
							(0.188)	(0.192)	(0.192)
Dincome								-0.0355	-0.0291
								(0.0715)	(0.0734)
Dmarried								0.0630	0.0689
								(0.0959)	(0.0971)
Dhealth								0.0301	0.0307
								(0.0654)	(0.0652)
Dwork_over_40h									-0.0556
									(0.0861)
Constant	3.085***	3.736***	3.739***	3.804***	4.372***	4.408***			
	(0.355)	(0.449)	(0.449)	(0.536)	(0.665)	(0.665)			
									
Observations	2,574	2,574	2,574	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.020	0.027	0.029	0.031	0.006	0.007	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
