	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
travel	-0.0950*	-0.0940*	-0.0955*	-0.0701	-0.0749	-0.0790			
	(0.0489)	(0.0501)	(0.0501)	(0.0692)	(0.0711)	(0.0709)			
age	-0.318**	-0.270	-0.275	-0.412**	-0.238	-0.250			
	(0.149)	(0.170)	(0.170)	(0.205)	(0.231)	(0.232)			
agesquared	0.0237	0.0180	0.0182	0.0362	0.0175	0.0185			
	(0.0198)	(0.0217)	(0.0217)	(0.0267)	(0.0289)	(0.0290)			
male	-0.0654	-0.0629	-0.0615	-0.00780	-0.0209	-0.0183			
	(0.0437)	(0.0443)	(0.0445)	(0.0611)	(0.0624)	(0.0626)			
birth_rate	-0.0533	-0.0506	-0.0505	-0.0230	-0.0231	-0.0235			
	(0.0350)	(0.0350)	(0.0351)	(0.0434)	(0.0437)	(0.0438)			
VeryEarly_disease_d	0.0784	0.0658	0.0654	-0.0990	-0.0815	-0.0812			
	(0.146)	(0.146)	(0.146)	(0.156)	(0.155)	(0.154)			
income		0.00747	0.0108		0.0269	0.0319			
		(0.0296)	(0.0300)		(0.0426)	(0.0434)			
married		-0.0548	-0.0538		-0.152*	-0.149*			
		(0.0568)	(0.0569)		(0.0786)	(0.0787)			
health		-0.0498*	-0.0496*		-0.0289	-0.0280			
		(0.0260)	(0.0260)		(0.0363)	(0.0363)			
work_over_40h			-0.0294			-0.0464			
			(0.0408)			(0.0569)			
d_Chengdu	0.0430	0.0550	0.0540	0.114	0.125	0.124			
	(0.0627)	(0.0632)	(0.0633)	(0.0872)	(0.0871)	(0.0873)			
d_Chongqing	0.0688	0.0679	0.0687	0.0862	0.0867	0.0869			
	(0.0785)	(0.0789)	(0.0787)	(0.119)	(0.119)	(0.119)			
d_Haerbin	-0.0663	-0.0578	-0.0579	0.0457	0.0599	0.0607			
	(0.0796)	(0.0797)	(0.0798)	(0.102)	(0.102)	(0.103)			
d_Hefei	0.106*	0.126**	0.126**	0.242***	0.271***	0.266***			
	(0.0603)	(0.0613)	(0.0613)	(0.0880)	(0.0900)	(0.0904)			
Dtravel							-0.0559	-0.0625	-0.0619
							(0.0756)	(0.0764)	(0.0764)
Dbirth_rate							-0.00438	-0.0198	-0.0202
							(0.103)	(0.105)	(0.105)
DVeryEarly_disease_d							-0.203	-0.175	-0.170
							(0.271)	(0.260)	(0.258)
Dincome								0.0258	0.0300
								(0.0639)	(0.0649)
Dmarried								-0.139*	-0.135*
								(0.0811)	(0.0815)
Dhealth								-0.0257	-0.0254
								(0.0506)	(0.0507)
Dwork_over_40h									-0.0365
									(0.0721)
Constant	2.909***	2.978***	2.978***	2.907***	2.580***	2.589***			
	(0.279)	(0.367)	(0.368)	(0.391)	(0.522)	(0.523)			
									
Observations	2,625	2,625	2,625	1,320	1,320	1,320	660	660	660
R-squared	0.033	0.035	0.035	0.047	0.051	0.052	0.002	0.006	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
