	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale
									
travel	-0.0400	-0.0260	-0.0220	-0.0574	-0.0304	-0.0260			
	(0.0520)	(0.0525)	(0.0525)	(0.0700)	(0.0706)	(0.0709)			
age	-0.314**	-0.213	-0.200	-0.289	-0.173	-0.160			
	(0.154)	(0.175)	(0.176)	(0.209)	(0.237)	(0.239)			
agesquared	0.0194	0.00825	0.00753	0.0180	0.00514	0.00419			
	(0.0205)	(0.0224)	(0.0224)	(0.0273)	(0.0297)	(0.0299)			
male	-0.0450	-0.0388	-0.0427	-0.0515	-0.0380	-0.0406			
	(0.0438)	(0.0446)	(0.0446)	(0.0595)	(0.0609)	(0.0608)			
birth_rate	-0.0441	-0.0398	-0.0400	-0.0419	-0.0346	-0.0341			
	(0.0370)	(0.0367)	(0.0366)	(0.0486)	(0.0476)	(0.0476)			
VeryEarly_disease_d	-0.0621	-0.0794	-0.0781	-0.356***	-0.371***	-0.371***			
	(0.152)	(0.151)	(0.152)	(0.114)	(0.121)	(0.122)			
income		-0.0352	-0.0443		-0.0489	-0.0540			
		(0.0270)	(0.0277)		(0.0385)	(0.0398)			
married		-0.0789	-0.0815		-0.101	-0.104			
		(0.0602)	(0.0601)		(0.0831)	(0.0832)			
health		-0.0251	-0.0255		-0.0459	-0.0469			
		(0.0265)	(0.0265)		(0.0372)	(0.0371)			
work_over_40h			0.0793*			0.0481			
			(0.0433)			(0.0603)			
d_Chengdu	-0.0559	-0.0389	-0.0362	-0.00942	0.00964	0.0104			
	(0.0650)	(0.0653)	(0.0654)	(0.0954)	(0.0951)	(0.0953)			
d_Chongqing	0.145*	0.147*	0.145*	0.0542	0.0514	0.0513			
	(0.0771)	(0.0772)	(0.0775)	(0.111)	(0.110)	(0.110)			
d_Haerbin	-0.114	-0.0989	-0.0987	0.0566	0.0812	0.0803			
	(0.0756)	(0.0764)	(0.0761)	(0.0976)	(0.0983)	(0.0979)			
d_Hefei	0.0685	0.0854	0.0853	0.114	0.139	0.144			
	(0.0628)	(0.0636)	(0.0633)	(0.0903)	(0.0908)	(0.0914)			
Dtravel							0.0362	0.0464	0.0461
							(0.0882)	(0.0882)	(0.0882)
Dbirth_rate							0.0761	0.0591	0.0593
							(0.0983)	(0.0983)	(0.0986)
DVeryEarly_disease_d							-0.608**	-0.557**	-0.559**
							(0.268)	(0.272)	(0.271)
Dincome								-0.0779	-0.0798
								(0.0601)	(0.0609)
Dmarried								-0.242**	-0.243**
								(0.104)	(0.104)
Dhealth								0.0599	0.0597
								(0.0575)	(0.0575)
Dwork_over_40h									0.0164
									(0.0753)
Constant	2.876***	3.025***	3.026***	2.760***	3.044***	3.035***			
	(0.293)	(0.371)	(0.371)	(0.414)	(0.515)	(0.517)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.041	0.043	0.044	0.042	0.046	0.047	0.009	0.024	0.024
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
