	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
travel	-0.00685	-0.0136	-0.0117	-0.0944	-0.112*	-0.112*			
	(0.0420)	(0.0425)	(0.0424)	(0.0588)	(0.0585)	(0.0585)			
age	0.0428	-0.106	-0.0991	-0.115	-0.293	-0.293			
	(0.126)	(0.141)	(0.141)	(0.176)	(0.201)	(0.201)			
agesquared	0.00960	0.0272	0.0268	0.0309	0.0514**	0.0514**			
	(0.0171)	(0.0183)	(0.0183)	(0.0234)	(0.0257)	(0.0257)			
male	-0.0852**	-0.0927**	-0.0946**	-0.0952*	-0.102*	-0.102*			
	(0.0372)	(0.0373)	(0.0373)	(0.0527)	(0.0538)	(0.0539)			
birth_rate	0.00454	-0.00341	-0.00350	-0.0222	-0.0349	-0.0349			
	(0.0298)	(0.0295)	(0.0295)	(0.0426)	(0.0423)	(0.0422)			
VeryEarly_disease_d	-0.139	-0.102	-0.102	0.172	0.186	0.186			
	(0.149)	(0.144)	(0.144)	(0.205)	(0.198)	(0.198)			
income		-0.00844	-0.0130		-0.00551	-0.00530			
		(0.0238)	(0.0241)		(0.0342)	(0.0346)			
married		0.159***	0.158***		0.189***	0.190***			
		(0.0460)	(0.0459)		(0.0703)	(0.0703)			
health		0.130***	0.130***		0.151***	0.151***			
		(0.0224)	(0.0224)		(0.0312)	(0.0312)			
work_over_40h			0.0394			-0.00188			
			(0.0350)			(0.0505)			
d_Chengdu	0.0960*	0.0611	0.0625	0.0641	0.0317	0.0317			
	(0.0556)	(0.0548)	(0.0548)	(0.0827)	(0.0797)	(0.0798)			
d_Chongqing	-0.0956	-0.0937	-0.0949	-0.147	-0.138	-0.138			
	(0.0657)	(0.0640)	(0.0639)	(0.100)	(0.0974)	(0.0975)			
d_Haerbin	0.113*	0.0873	0.0874	0.124	0.0829	0.0830			
	(0.0625)	(0.0626)	(0.0628)	(0.0831)	(0.0838)	(0.0839)			
d_Hefei	0.0939*	0.0415	0.0415	0.0885	0.0228	0.0226			
	(0.0516)	(0.0516)	(0.0516)	(0.0776)	(0.0775)	(0.0779)			
Dtravel							-0.0665	-0.0646	-0.0646
							(0.0839)	(0.0832)	(0.0833)
Dbirth_rate							-0.0228	-0.0181	-0.0181
							(0.0682)	(0.0700)	(0.0701)
DVeryEarly_disease_d							0.265	0.264	0.264
							(0.292)	(0.280)	(0.279)
Dincome								0.0176	0.0175
								(0.0552)	(0.0558)
Dmarried								0.185**	0.185**
								(0.0871)	(0.0870)
Dhealth								0.124***	0.124***
								(0.0475)	(0.0474)
Dwork_over_40h									0.00147
									(0.0641)
Constant	2.652***	2.441***	2.441***	3.003***	2.747***	2.747***			
	(0.235)	(0.297)	(0.297)	(0.333)	(0.419)	(0.419)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.028	0.047	0.048	0.036	0.062	0.062	0.003	0.023	0.023
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
