	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
									
travel	-0.0830*	-0.0611	-0.0599	-0.0251	-0.00710	-0.00480			
	(0.0472)	(0.0479)	(0.0480)	(0.0650)	(0.0662)	(0.0665)			
age	-0.243	-0.245	-0.241	-0.294	-0.243	-0.237			
	(0.155)	(0.175)	(0.175)	(0.199)	(0.230)	(0.232)			
agesquared	0.0175	0.0169	0.0167	0.0223	0.0168	0.0163			
	(0.0203)	(0.0220)	(0.0220)	(0.0255)	(0.0281)	(0.0282)			
male	-0.0688	-0.0524	-0.0535	0.0251	0.0354	0.0339			
	(0.0452)	(0.0459)	(0.0460)	(0.0600)	(0.0609)	(0.0611)			
birth_rate	-0.0563	-0.0498	-0.0499	-0.0429	-0.0389	-0.0386			
	(0.0361)	(0.0359)	(0.0358)	(0.0443)	(0.0441)	(0.0441)			
VeryEarly_disease_d	0.0802	0.0513	0.0516	-0.0879	-0.0990	-0.0991			
	(0.158)	(0.159)	(0.159)	(0.164)	(0.164)	(0.165)			
income		-0.0569**	-0.0596**		-0.0379	-0.0406			
		(0.0287)	(0.0291)		(0.0410)	(0.0418)			
married		0.00643	0.00568		-0.0403	-0.0421			
		(0.0570)	(0.0570)		(0.0801)	(0.0804)			
health		-0.0254	-0.0256		-0.0157	-0.0162			
		(0.0261)	(0.0261)		(0.0370)	(0.0370)			
work_over_40h			0.0237			0.0256			
			(0.0424)			(0.0586)			
d_Chengdu	0.177***	0.189***	0.190***	0.221**	0.231**	0.231**			
	(0.0681)	(0.0686)	(0.0688)	(0.0913)	(0.0914)	(0.0915)			
d_Chongqing	0.0574	0.0549	0.0542	0.1000	0.0988	0.0988			
	(0.0756)	(0.0758)	(0.0760)	(0.116)	(0.115)	(0.116)			
d_Haerbin	-0.0298	-0.0154	-0.0153	0.0456	0.0579	0.0575			
	(0.0798)	(0.0808)	(0.0807)	(0.100)	(0.101)	(0.101)			
d_Hefei	0.218***	0.222***	0.222***	0.320***	0.329***	0.332***			
	(0.0658)	(0.0669)	(0.0669)	(0.0936)	(0.0956)	(0.0959)			
Dtravel							0.0671	0.0750	0.0743
							(0.0792)	(0.0789)	(0.0789)
Dbirth_rate							0.134	0.129	0.129
							(0.0860)	(0.0849)	(0.0850)
DVeryEarly_disease_d							-0.0809	-0.0619	-0.0679
							(0.197)	(0.191)	(0.193)
Dincome								-0.0589	-0.0639
								(0.0685)	(0.0696)
Dmarried								-0.130*	-0.135*
								(0.0771)	(0.0779)
Dhealth								0.0136	0.0132
								(0.0549)	(0.0547)
Dwork_over_40h									0.0433
									(0.0716)
Constant	2.647***	3.093***	3.092***	2.617***	2.825***	2.820***			
	(0.299)	(0.380)	(0.380)	(0.391)	(0.509)	(0.509)			
									
Observations	2,600	2,600	2,600	1,320	1,320	1,320	660	660	660
R-squared	0.035	0.037	0.037	0.055	0.056	0.056	0.005	0.011	0.011
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
