	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
travel	-0.0589	-0.0571	-0.0608	-0.0363	-0.0371	-0.0536			
	(0.0589)	(0.0597)	(0.0596)	(0.0840)	(0.0858)	(0.0849)			
age	-0.309*	-0.328*	-0.342*	-0.533**	-0.532*	-0.580**			
	(0.179)	(0.196)	(0.196)	(0.259)	(0.284)	(0.286)			
agesquared	0.0332	0.0345	0.0353	0.0583*	0.0581	0.0617*			
	(0.0239)	(0.0254)	(0.0254)	(0.0344)	(0.0365)	(0.0365)			
male	-0.102**	-0.0956*	-0.0917*	-0.0440	-0.0445	-0.0343			
	(0.0501)	(0.0513)	(0.0513)	(0.0722)	(0.0750)	(0.0747)			
birth_rate	-0.0560	-0.0526	-0.0524	-0.0568	-0.0565	-0.0582			
	(0.0410)	(0.0411)	(0.0410)	(0.0541)	(0.0544)	(0.0537)			
VeryEarly_disease_d	0.0840	0.0670	0.0657	0.187	0.187	0.188			
	(0.198)	(0.199)	(0.200)	(0.313)	(0.313)	(0.316)			
income		0.00710	0.0159		0.00400	0.0237			
		(0.0323)	(0.0326)		(0.0468)	(0.0472)			
married		-0.00334	-0.000768		-0.00336	0.00938			
		(0.0589)	(0.0591)		(0.0898)	(0.0909)			
health		-0.0545*	-0.0540*		-0.00665	-0.00305			
		(0.0311)	(0.0311)		(0.0453)	(0.0450)			
work_over_40h			-0.0773*			-0.183***			
			(0.0463)			(0.0674)			
d_Chengdu	0.0928	0.100	0.0978	-0.0376	-0.0370	-0.0398			
	(0.0716)	(0.0719)	(0.0721)	(0.104)	(0.104)	(0.104)			
d_Chongqing	0.223***	0.218***	0.221***	0.259**	0.259**	0.259**			
	(0.0825)	(0.0828)	(0.0826)	(0.131)	(0.131)	(0.131)			
d_Haerbin	0.154	0.160*	0.160*	0.161	0.162	0.165			
	(0.0954)	(0.0957)	(0.0958)	(0.129)	(0.130)	(0.129)			
d_Hefei	0.175**	0.188***	0.188***	0.233**	0.235**	0.216**			
	(0.0681)	(0.0689)	(0.0687)	(0.0989)	(0.101)	(0.100)			
Dtravel							-0.0136	-0.00831	-0.00834
							(0.0962)	(0.0979)	(0.0978)
Dbirth_rate							-0.124	-0.126	-0.126
							(0.0916)	(0.0912)	(0.0913)
DVeryEarly_disease_d							0.0165	0.0303	0.0301
							(0.332)	(0.324)	(0.323)
Dincome								-0.0219	-0.0221
								(0.0728)	(0.0738)
Dmarried								0.0253	0.0251
								(0.104)	(0.105)
Dhealth								0.0850	0.0850
								(0.0616)	(0.0616)
Dwork_over_40h									0.00167
									(0.0877)
Constant	3.074***	3.270***	3.271***	3.538***	3.537***	3.573***			
	(0.329)	(0.427)	(0.427)	(0.478)	(0.613)	(0.613)			
									
Observations	2,609	2,609	2,609	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.020	0.021	0.031	0.031	0.037	0.003	0.006	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
