	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
travel	-0.0124	-0.0161	-0.0187	0.0744	0.0682	0.0761			
	(0.108)	(0.108)	(0.108)	(0.153)	(0.151)	(0.151)			
age	0.616**	0.673**	0.664**	0.667	0.694	0.717			
	(0.296)	(0.324)	(0.325)	(0.446)	(0.481)	(0.483)			
agesquared	-0.0349	-0.0438	-0.0433	-0.0323	-0.0392	-0.0410			
	(0.0396)	(0.0419)	(0.0419)	(0.0587)	(0.0612)	(0.0614)			
male	-0.208**	-0.195**	-0.193**	-0.209	-0.205	-0.210			
	(0.0897)	(0.0903)	(0.0904)	(0.133)	(0.132)	(0.133)			
birth_rate	-0.0164	-0.00593	-0.00582	0.0534	0.0765	0.0774			
	(0.0639)	(0.0641)	(0.0641)	(0.0923)	(0.0926)	(0.0928)			
VeryEarly_disease_d	-0.618	-0.671*	-0.672*	-1.115**	-1.145**	-1.145**			
	(0.385)	(0.381)	(0.381)	(0.519)	(0.498)	(0.498)			
income		0.0596	0.0655		0.113	0.103			
		(0.0606)	(0.0615)		(0.0854)	(0.0871)			
married		-0.128	-0.126		-0.142	-0.149			
		(0.102)	(0.102)		(0.149)	(0.150)			
health		-0.222***	-0.222***		-0.343***	-0.345***			
		(0.0530)	(0.0530)		(0.0764)	(0.0763)			
work_over_40h			-0.0519			0.0887			
			(0.0839)			(0.126)			
d_Chengdu	0.355**	0.394***	0.392***	0.437**	0.479**	0.480**			
	(0.144)	(0.143)	(0.143)	(0.222)	(0.220)	(0.221)			
d_Chongqing	0.222	0.211	0.212	0.0511	0.0267	0.0265			
	(0.151)	(0.150)	(0.150)	(0.227)	(0.224)	(0.224)			
d_Haerbin	0.0686	0.0943	0.0941	0.306	0.357*	0.355*			
	(0.160)	(0.160)	(0.161)	(0.205)	(0.206)	(0.205)			
d_Hefei	-0.443***	-0.375***	-0.375***	-0.241	-0.131	-0.122			
	(0.116)	(0.116)	(0.116)	(0.186)	(0.182)	(0.183)			
Dtravel							0.0695	0.0330	0.0302
							(0.210)	(0.206)	(0.207)
Dbirth_rate							0.136	0.0957	0.0974
							(0.163)	(0.173)	(0.173)
DVeryEarly_disease_d							-0.748	-0.703	-0.728
							(0.838)	(0.820)	(0.819)
Dincome								0.168	0.148
								(0.112)	(0.112)
Dmarried								-0.366**	-0.385**
								(0.164)	(0.164)
Dhealth								-0.246**	-0.247**
								(0.117)	(0.118)
Dwork_over_40h									0.180
									(0.147)
Constant	3.131***	3.527***	3.527***	2.673***	3.243***	3.226***			
	(0.548)	(0.714)	(0.714)	(0.853)	(1.086)	(1.088)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.068	0.076	0.076	0.070	0.089	0.090	0.004	0.024	0.026
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
