	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
									
travel	-0.103**	-0.0919**	-0.0906**	-0.109*	-0.0906	-0.0854			
	(0.0433)	(0.0442)	(0.0441)	(0.0592)	(0.0602)	(0.0603)			
age	-0.260*	-0.166	-0.161	-0.247	-0.185	-0.169			
	(0.138)	(0.156)	(0.156)	(0.188)	(0.209)	(0.211)			
agesquared	0.0237	0.0132	0.0129	0.0183	0.0112	0.0100			
	(0.0185)	(0.0200)	(0.0200)	(0.0245)	(0.0261)	(0.0263)			
male	-0.0986**	-0.0935**	-0.0949**	-0.0926*	-0.0815	-0.0847			
	(0.0400)	(0.0405)	(0.0406)	(0.0542)	(0.0546)	(0.0544)			
birth_rate	-0.0390	-0.0350	-0.0350	-0.0315	-0.0251	-0.0246			
	(0.0328)	(0.0325)	(0.0324)	(0.0417)	(0.0409)	(0.0409)			
VeryEarly_disease_d	0.107	0.0912	0.0917	-0.105	-0.119	-0.120			
	(0.146)	(0.145)	(0.145)	(0.159)	(0.157)	(0.159)			
income		-0.0247	-0.0280		-0.0302	-0.0364			
		(0.0258)	(0.0262)		(0.0351)	(0.0358)			
married		-0.0783	-0.0792		-0.0609	-0.0649			
		(0.0508)	(0.0508)		(0.0717)	(0.0721)			
health		-0.0317	-0.0318		-0.0485	-0.0497			
		(0.0243)	(0.0243)		(0.0343)	(0.0342)			
work_over_40h			0.0281			0.0582			
			(0.0378)			(0.0536)			
d_Chengdu	0.0780	0.0945	0.0955	0.122	0.136	0.137*			
	(0.0592)	(0.0597)	(0.0598)	(0.0834)	(0.0832)	(0.0831)			
d_Chongqing	0.0397	0.0418	0.0409	-0.0426	-0.0460	-0.0461			
	(0.0731)	(0.0730)	(0.0731)	(0.102)	(0.102)	(0.102)			
d_Haerbin	-0.0723	-0.0581	-0.0580	0.00178	0.0202	0.0191			
	(0.0696)	(0.0702)	(0.0701)	(0.0880)	(0.0885)	(0.0883)			
d_Hefei	0.0494	0.0677	0.0677	0.0366	0.0575	0.0633			
	(0.0576)	(0.0584)	(0.0584)	(0.0841)	(0.0861)	(0.0867)			
Dtravel							-0.0494	-0.0459	-0.0463
							(0.0699)	(0.0704)	(0.0706)
Dbirth_rate							0.0113	0.00403	0.00424
							(0.100)	(0.100)	(0.100)
DVeryEarly_disease_d							-0.205	-0.182	-0.185
							(0.270)	(0.275)	(0.275)
Dincome								-0.0209	-0.0235
								(0.0495)	(0.0502)
Dmarried								-0.0593	-0.0617
								(0.0852)	(0.0851)
Dhealth								0.0539	0.0537
								(0.0499)	(0.0499)
Dwork_over_40h									0.0223
									(0.0713)
Constant	2.509***	2.631***	2.631***	2.498***	2.764***	2.753***			
	(0.262)	(0.334)	(0.333)	(0.369)	(0.457)	(0.457)			
									
Observations	2,622	2,622	2,622	1,320	1,320	1,320	660	660	660
R-squared	0.019	0.021	0.022	0.028	0.031	0.032	0.002	0.005	0.005
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
