	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
drink	-0.0171	-0.0189*	-0.0193*	-0.0197	-0.0209	-0.0208			
	(0.0107)	(0.0107)	(0.0107)	(0.0149)	(0.0148)	(0.0148)			
age	-0.0932	-0.0566	-0.0506	-0.193	-0.215	-0.217			
	(0.131)	(0.145)	(0.145)	(0.190)	(0.208)	(0.209)			
agesquared	0.0214	0.0189	0.0186	0.0351	0.0390	0.0392			
	(0.0179)	(0.0191)	(0.0191)	(0.0258)	(0.0274)	(0.0274)			
male	-0.0481	-0.0565	-0.0575	-0.0477	-0.0582	-0.0580			
	(0.0392)	(0.0395)	(0.0395)	(0.0555)	(0.0567)	(0.0566)			
birth_rate	0.0118	0.00545	0.00549	-0.0585	-0.0693*	-0.0694*			
	(0.0308)	(0.0302)	(0.0302)	(0.0412)	(0.0393)	(0.0393)			
VeryEarly_disease_d	-0.0850	-0.0535	-0.0532	0.216	0.240	0.240			
	(0.141)	(0.139)	(0.139)	(0.193)	(0.186)	(0.187)			
income		-0.00788	-0.0114		0.00399	0.00460			
		(0.0232)	(0.0236)		(0.0331)	(0.0338)			
married		0.00798	0.00689		0.0524	0.0528			
		(0.0435)	(0.0434)		(0.0616)	(0.0614)			
health		0.0972***	0.0971***		0.116***	0.116***			
		(0.0227)	(0.0227)		(0.0328)	(0.0328)			
work_over_40h			0.0333			-0.00645			
			(0.0340)			(0.0477)			
d_Chengdu	0.128**	0.113**	0.115**	0.138*	0.118	0.118			
	(0.0538)	(0.0542)	(0.0541)	(0.0786)	(0.0785)	(0.0785)			
d_Chongqing	-0.131**	-0.123**	-0.124**	-0.152*	-0.144*	-0.144*			
	(0.0602)	(0.0600)	(0.0599)	(0.0829)	(0.0843)	(0.0843)			
d_Haerbin	-0.0815	-0.0927	-0.0921	-0.0627	-0.0887	-0.0887			
	(0.0594)	(0.0595)	(0.0595)	(0.0816)	(0.0821)	(0.0821)			
d_Hefei	-0.00340	-0.0253	-0.0251	-0.0496	-0.0857	-0.0864			
	(0.0515)	(0.0516)	(0.0516)	(0.0764)	(0.0765)	(0.0768)			
Ddrink							-0.0156	-0.0149	-0.0143
							(0.0210)	(0.0216)	(0.0216)
Dbirth_rate							-0.203*	-0.207**	-0.207**
							(0.105)	(0.105)	(0.105)
DVeryEarly_disease_d							0.365	0.388*	0.391*
							(0.223)	(0.210)	(0.212)
Dincome								-0.0202	-0.0178
								(0.0512)	(0.0520)
Dmarried								0.0285	0.0309
								(0.0751)	(0.0756)
Dhealth								0.122***	0.122***
								(0.0450)	(0.0451)
Dwork_over_40h									-0.0216
									(0.0624)
Constant	2.735***	2.349***	2.346***	3.067***	2.638***	2.640***			
	(0.244)	(0.304)	(0.304)	(0.347)	(0.438)	(0.439)			
									
Observations	2,565	2,565	2,565	1,320	1,320	1,320	660	660	660
R-squared	0.019	0.027	0.028	0.030	0.043	0.043	0.016	0.030	0.030
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
