	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	Dhappiness_4scale	Dhappiness_4scale	Dhappiness_4scale
									
drink	0.0341***	0.0273***	0.0280***	0.0165	0.0138	0.0149			
	(0.00921)	(0.00898)	(0.00900)	(0.0129)	(0.0126)	(0.0126)			
age	-0.164	-0.326**	-0.336***	-0.202	-0.284	-0.303*			
	(0.116)	(0.127)	(0.127)	(0.156)	(0.174)	(0.174)			
agesquared	0.0139	0.0337**	0.0342**	0.0229	0.0335	0.0349			
	(0.0158)	(0.0165)	(0.0166)	(0.0209)	(0.0222)	(0.0223)			
male	-0.167***	-0.185***	-0.183***	-0.128***	-0.165***	-0.163***			
	(0.0371)	(0.0366)	(0.0365)	(0.0492)	(0.0488)	(0.0488)			
birth_rate	-0.00537	-0.0213	-0.0214	0.0348	0.0155	0.0147			
	(0.0268)	(0.0260)	(0.0260)	(0.0357)	(0.0332)	(0.0332)			
VeryEarly_disease_d	0.0832	0.156*	0.156*	0.170	0.233*	0.234*			
	(0.101)	(0.0938)	(0.0941)	(0.141)	(0.141)	(0.141)			
income		0.113***	0.118***		0.121***	0.128***			
		(0.0211)	(0.0215)		(0.0287)	(0.0291)			
married		0.148***	0.150***		0.0812	0.0859			
		(0.0418)	(0.0418)		(0.0603)	(0.0602)			
health		0.111***	0.111***		0.114***	0.115***			
		(0.0202)	(0.0202)		(0.0272)	(0.0272)			
work_over_40h			-0.0517*			-0.0722*			
			(0.0311)			(0.0421)			
d_Chengdu	0.00552	-0.0421	-0.0441	0.0110	-0.0253	-0.0265			
	(0.0506)	(0.0491)	(0.0492)	(0.0708)	(0.0687)	(0.0692)			
d_Chongqing	-0.000656	-0.00305	-0.00193	-0.0523	-0.0461	-0.0464			
	(0.0587)	(0.0580)	(0.0581)	(0.0910)	(0.0865)	(0.0866)			
d_Haerbin	0.131***	0.0825*	0.0815*	0.173***	0.120*	0.120*			
	(0.0488)	(0.0489)	(0.0490)	(0.0621)	(0.0633)	(0.0632)			
d_Hefei	-0.0427	-0.0838*	-0.0840*	0.00776	-0.0286	-0.0358			
	(0.0494)	(0.0489)	(0.0489)	(0.0690)	(0.0692)	(0.0699)			
Ddrink							-0.0154	-0.0176	-0.0161
							(0.0163)	(0.0161)	(0.0162)
Dbirth_rate							0.0150	-0.00300	-0.00372
							(0.0713)	(0.0672)	(0.0669)
DVeryEarly_disease_d							0.000985	0.0411	0.0481
							(0.233)	(0.242)	(0.242)
Dincome								0.0955**	0.101**
								(0.0475)	(0.0473)
Dmarried								0.0925	0.0985
								(0.0720)	(0.0727)
Dhealth								0.137***	0.137***
								(0.0376)	(0.0376)
Dwork_over_40h									-0.0535
									(0.0557)
Constant	3.948***	3.077***	3.082***	3.896***	2.849***	2.870***			
	(0.214)	(0.280)	(0.280)	(0.302)	(0.389)	(0.390)			
									
Observations	2,565	2,565	2,565	1,320	1,320	1,320	660	660	660
R-squared	0.022	0.058	0.059	0.020	0.057	0.059	0.001	0.030	0.032
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
