	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
drink	0.0191*	0.0150	0.0144	0.00710	0.00490	0.00485			
	(0.0108)	(0.0108)	(0.0108)	(0.0147)	(0.0146)	(0.0146)			
age	0.0446	-0.0853	-0.0774	-0.127	-0.299	-0.298			
	(0.130)	(0.144)	(0.144)	(0.178)	(0.202)	(0.202)			
agesquared	0.00840	0.0241	0.0236	0.0324	0.0524**	0.0523**			
	(0.0174)	(0.0186)	(0.0186)	(0.0235)	(0.0258)	(0.0258)			
male	-0.118***	-0.119***	-0.120***	-0.105*	-0.104*	-0.104*			
	(0.0406)	(0.0406)	(0.0406)	(0.0569)	(0.0579)	(0.0580)			
birth_rate	0.00648	-0.00180	-0.00174	-0.0240	-0.0354	-0.0353			
	(0.0307)	(0.0302)	(0.0303)	(0.0423)	(0.0419)	(0.0419)			
VeryEarly_disease_d	-0.134	-0.0966	-0.0962	0.188	0.198	0.198			
	(0.150)	(0.145)	(0.144)	(0.206)	(0.200)	(0.200)			
income		-0.00493	-0.00954		-0.0193	-0.0196			
		(0.0237)	(0.0240)		(0.0338)	(0.0342)			
married		0.152***	0.150***		0.186***	0.186***			
		(0.0462)	(0.0462)		(0.0704)	(0.0705)			
health		0.131***	0.131***		0.149***	0.149***			
		(0.0227)	(0.0227)		(0.0313)	(0.0312)			
work_over_40h			0.0431			0.00373			
			(0.0357)			(0.0508)			
d_Chengdu	0.0915	0.0578	0.0595	0.0611	0.0312	0.0313			
	(0.0574)	(0.0564)	(0.0564)	(0.0831)	(0.0801)	(0.0801)			
d_Chongqing	-0.0998	-0.0978	-0.0987	-0.153	-0.145	-0.145			
	(0.0666)	(0.0651)	(0.0651)	(0.0997)	(0.0972)	(0.0972)			
d_Haerbin	0.115*	0.0898	0.0906	0.107	0.0678	0.0678			
	(0.0622)	(0.0624)	(0.0626)	(0.0830)	(0.0839)	(0.0839)			
d_Hefei	0.0950*	0.0450	0.0451	0.0903	0.0266	0.0270			
	(0.0529)	(0.0529)	(0.0528)	(0.0780)	(0.0778)	(0.0782)			
Ddrink							-0.00542	-0.00400	-0.00405
							(0.0234)	(0.0241)	(0.0242)
Dbirth_rate							-0.0266	-0.0215	-0.0215
							(0.0684)	(0.0702)	(0.0703)
DVeryEarly_disease_d							0.271	0.269	0.269
							(0.291)	(0.279)	(0.279)
Dincome								0.0144	0.0142
								(0.0547)	(0.0554)
Dmarried								0.186**	0.185**
								(0.0873)	(0.0872)
Dhealth								0.124***	0.124***
								(0.0477)	(0.0476)
Dwork_over_40h									0.00188
									(0.0646)
Constant	2.659***	2.385***	2.381***	3.013***	2.832***	2.831***			
	(0.244)	(0.308)	(0.308)	(0.336)	(0.422)	(0.422)			
									
Observations	2,565	2,565	2,565	1,320	1,320	1,320	660	660	660
R-squared	0.030	0.049	0.050	0.034	0.060	0.060	0.002	0.022	0.022
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
