	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
drink	0.0173	0.0185	0.0196	0.0107	0.0108	0.0136			
	(0.0135)	(0.0135)	(0.0135)	(0.0185)	(0.0185)	(0.0186)			
age	-0.333*	-0.355*	-0.370*	-0.542**	-0.537*	-0.586**			
	(0.182)	(0.199)	(0.199)	(0.259)	(0.284)	(0.285)			
agesquared	0.0351	0.0366	0.0375	0.0589*	0.0582	0.0619*			
	(0.0243)	(0.0257)	(0.0257)	(0.0344)	(0.0364)	(0.0364)			
male	-0.122**	-0.116**	-0.114**	-0.0621	-0.0614	-0.0553			
	(0.0552)	(0.0560)	(0.0559)	(0.0787)	(0.0811)	(0.0808)			
birth_rate	-0.0715*	-0.0674*	-0.0675*	-0.0584	-0.0577	-0.0598			
	(0.0406)	(0.0407)	(0.0407)	(0.0540)	(0.0542)	(0.0536)			
VeryEarly_disease_d	0.0973	0.0773	0.0765	0.196	0.194	0.198			
	(0.198)	(0.199)	(0.200)	(0.312)	(0.313)	(0.316)			
income		-0.000202	0.00842		-0.00117	0.0164			
		(0.0323)	(0.0326)		(0.0459)	(0.0462)			
married		-0.00294	-0.000212		-0.00651	0.00529			
		(0.0599)	(0.0601)		(0.0901)	(0.0913)			
health		-0.0557*	-0.0554*		-0.00746	-0.00417			
		(0.0313)	(0.0312)		(0.0452)	(0.0449)			
work_over_40h			-0.0807*			-0.184***			
			(0.0471)			(0.0679)			
d_Chengdu	0.0942	0.103	0.0998	-0.0404	-0.0388	-0.0420			
	(0.0725)	(0.0727)	(0.0729)	(0.104)	(0.104)	(0.104)			
d_Chongqing	0.211**	0.207**	0.209**	0.256**	0.256*	0.255*			
	(0.0837)	(0.0839)	(0.0837)	(0.130)	(0.130)	(0.130)			
d_Haerbin	0.131	0.139	0.138	0.150	0.152	0.152			
	(0.0970)	(0.0974)	(0.0975)	(0.130)	(0.131)	(0.130)			
d_Hefei	0.171**	0.183***	0.183***	0.231**	0.234**	0.215**			
	(0.0689)	(0.0698)	(0.0695)	(0.0990)	(0.101)	(0.100)			
Ddrink							-0.0202	-0.0196	-0.0198
							(0.0308)	(0.0310)	(0.0311)
Dbirth_rate							-0.121	-0.123	-0.123
							(0.0910)	(0.0908)	(0.0909)
DVeryEarly_disease_d							0.0210	0.0357	0.0348
							(0.332)	(0.324)	(0.322)
Dincome								-0.0190	-0.0198
								(0.0722)	(0.0731)
Dmarried								0.0217	0.0209
								(0.104)	(0.104)
Dhealth								0.0854	0.0853
								(0.0615)	(0.0615)
Dwork_over_40h									0.00702
									(0.0879)
Constant	3.166***	3.418***	3.426***	3.561***	3.588***	3.641***			
	(0.336)	(0.435)	(0.434)	(0.479)	(0.613)	(0.613)			
									
Observations	2,539	2,539	2,539	1,320	1,320	1,320	660	660	660
R-squared	0.019	0.021	0.022	0.031	0.031	0.037	0.003	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
