	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
drink	-0.0158	-0.0114	-0.0108	-0.00447	-0.00261	-0.00392			
	(0.0254)	(0.0251)	(0.0252)	(0.0358)	(0.0353)	(0.0355)			
age	0.652**	0.702**	0.694**	0.676	0.698	0.720			
	(0.301)	(0.329)	(0.330)	(0.447)	(0.482)	(0.485)			
agesquared	-0.0372	-0.0454	-0.0450	-0.0335	-0.0399	-0.0416			
	(0.0403)	(0.0425)	(0.0425)	(0.0588)	(0.0612)	(0.0614)			
male	-0.182*	-0.178*	-0.177*	-0.204	-0.205	-0.207			
	(0.0968)	(0.0969)	(0.0968)	(0.140)	(0.139)	(0.139)			
birth_rate	-0.0159	-0.00457	-0.00462	0.0546	0.0768	0.0777			
	(0.0653)	(0.0654)	(0.0654)	(0.0925)	(0.0929)	(0.0931)			
VeryEarly_disease_d	-0.623	-0.677*	-0.677*	-1.128**	-1.152**	-1.154**			
	(0.385)	(0.382)	(0.382)	(0.519)	(0.497)	(0.498)			
income		0.0603	0.0650		0.121	0.113			
		(0.0608)	(0.0617)		(0.0844)	(0.0860)			
married		-0.135	-0.134		-0.141	-0.146			
		(0.103)	(0.103)		(0.149)	(0.150)			
health		-0.232***	-0.232***		-0.342***	-0.344***			
		(0.0536)	(0.0536)		(0.0764)	(0.0763)			
work_over_40h			-0.0439			0.0850			
			(0.0857)			(0.126)			
d_Chengdu	0.422***	0.462***	0.460***	0.439**	0.479**	0.481**			
	(0.145)	(0.145)	(0.145)	(0.222)	(0.220)	(0.221)			
d_Chongqing	0.219	0.207	0.208	0.0559	0.0309	0.0312			
	(0.153)	(0.152)	(0.153)	(0.227)	(0.223)	(0.223)			
d_Haerbin	0.0929	0.118	0.117	0.319	0.366*	0.366*			
	(0.162)	(0.162)	(0.162)	(0.206)	(0.206)	(0.206)			
d_Hefei	-0.413***	-0.342***	-0.343***	-0.242	-0.134	-0.125			
	(0.118)	(0.118)	(0.118)	(0.186)	(0.182)	(0.183)			
Ddrink							-0.0316	-0.0408	-0.0460
							(0.0518)	(0.0521)	(0.0523)
Dbirth_rate							0.149	0.105	0.108
							(0.165)	(0.175)	(0.175)
DVeryEarly_disease_d							-0.748	-0.695	-0.720
							(0.835)	(0.818)	(0.817)
Dincome								0.177	0.156
								(0.111)	(0.111)
Dmarried								-0.374**	-0.396**
								(0.164)	(0.165)
Dhealth								-0.245**	-0.247**
								(0.117)	(0.118)
Dwork_over_40h									0.193
									(0.148)
Constant	3.011***	3.460***	3.464***	2.667***	3.192***	3.168***			
	(0.559)	(0.731)	(0.731)	(0.855)	(1.088)	(1.092)			
									
Observations	2,565	2,565	2,565	1,320	1,320	1,320	660	660	660
R-squared	0.070	0.080	0.080	0.069	0.089	0.089	0.005	0.025	0.028
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
