	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
									
drink	0.000664	-0.00641	-0.00691	-0.00127	-0.00511	-0.00617			
	(0.0103)	(0.0102)	(0.0103)	(0.0139)	(0.0136)	(0.0137)			
age	-0.0702	-0.348**	-0.341**	-0.140	-0.469**	-0.451**			
	(0.129)	(0.145)	(0.146)	(0.178)	(0.204)	(0.203)			
agesquared	0.0191	0.0510***	0.0506***	0.0337	0.0703***	0.0689***			
	(0.0175)	(0.0187)	(0.0187)	(0.0237)	(0.0258)	(0.0257)			
male	0.146***	0.143***	0.142***	0.173***	0.163***	0.160***			
	(0.0404)	(0.0403)	(0.0402)	(0.0568)	(0.0575)	(0.0572)			
birth_rate	0.0101	-0.00278	-0.00274	-0.0183	-0.0329	-0.0322			
	(0.0291)	(0.0283)	(0.0283)	(0.0393)	(0.0377)	(0.0378)			
VeryEarly_disease_d	-0.198	-0.143	-0.142	-0.0335	-0.00854	-0.00995			
	(0.146)	(0.141)	(0.141)	(0.219)	(0.218)	(0.218)			
income		0.0637**	0.0598**		0.0743*	0.0677*			
		(0.0260)	(0.0265)		(0.0382)	(0.0388)			
married		0.255***	0.253***		0.288***	0.284***			
		(0.0482)	(0.0482)		(0.0722)	(0.0719)			
health		0.129***	0.129***		0.116***	0.115***			
		(0.0239)	(0.0239)		(0.0324)	(0.0323)			
work_over_40h			0.0364			0.0687			
			(0.0355)			(0.0499)			
d_Chengdu	0.0241	-0.0289	-0.0275	0.0922	0.0479	0.0491			
	(0.0578)	(0.0575)	(0.0575)	(0.0835)	(0.0821)	(0.0817)			
d_Chongqing	-0.00617	-0.0117	-0.0125	-0.0119	-0.00866	-0.00838			
	(0.0667)	(0.0649)	(0.0649)	(0.0975)	(0.0950)	(0.0949)			
d_Haerbin	0.101*	0.0547	0.0554	0.201**	0.139*	0.139*			
	(0.0588)	(0.0574)	(0.0574)	(0.0826)	(0.0822)	(0.0818)			
d_Hefei	0.0700	0.00779	0.00793	0.0615	-0.00557	0.00129			
	(0.0544)	(0.0536)	(0.0535)	(0.0801)	(0.0786)	(0.0785)			
Ddrink							-0.00526	-0.00341	-0.00181
							(0.0214)	(0.0214)	(0.0216)
Dbirth_rate							-0.0627	-0.0507	-0.0515
							(0.0715)	(0.0717)	(0.0713)
DVeryEarly_disease_d							-0.124	-0.145	-0.137
							(0.228)	(0.231)	(0.229)
Dincome								0.00741	0.0140
								(0.0576)	(0.0584)
Dmarried								0.196**	0.203**
								(0.0894)	(0.0895)
Dhealth								0.0678	0.0683
								(0.0452)	(0.0452)
Dwork_over_40h									-0.0594
									(0.0707)
Constant	2.602***	2.147***	2.143***	2.686***	2.300***	2.280***			
	(0.242)	(0.315)	(0.315)	(0.338)	(0.445)	(0.443)			
									
Observations	2,565	2,565	2,565	1,320	1,320	1,320	660	660	660
R-squared	0.016	0.049	0.049	0.031	0.064	0.065	0.002	0.013	0.014
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
