	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
drink	0.00421	0.00612	0.00689	0.00784	0.00803	0.00998			
	(0.0145)	(0.0145)	(0.0146)	(0.0193)	(0.0192)	(0.0194)			
age	-0.203	-0.259	-0.270	-0.586**	-0.673**	-0.706**			
	(0.189)	(0.205)	(0.205)	(0.275)	(0.300)	(0.301)			
agesquared	0.0145	0.0193	0.0200	0.0590	0.0677*	0.0703*			
	(0.0251)	(0.0263)	(0.0263)	(0.0359)	(0.0378)	(0.0378)			
male	-0.184***	-0.166***	-0.164***	-0.122	-0.0989	-0.0947			
	(0.0602)	(0.0606)	(0.0606)	(0.0848)	(0.0862)	(0.0861)			
birth_rate	-0.0766*	-0.0681	-0.0682	-0.0508	-0.0439	-0.0453			
	(0.0441)	(0.0439)	(0.0439)	(0.0613)	(0.0612)	(0.0607)			
VeryEarly_disease_d	0.135	0.0964	0.0963	0.115	0.0801	0.0827			
	(0.207)	(0.208)	(0.208)	(0.312)	(0.310)	(0.308)			
income		-0.0631*	-0.0569		-0.0633	-0.0513			
		(0.0347)	(0.0352)		(0.0480)	(0.0486)			
married		0.0421	0.0442		0.0744	0.0825			
		(0.0633)	(0.0635)		(0.0925)	(0.0938)			
health		-0.0413	-0.0410		-0.0173	-0.0151			
		(0.0334)	(0.0334)		(0.0471)	(0.0470)			
work_over_40h			-0.0583			-0.126*			
			(0.0521)			(0.0746)			
d_Chengdu	-0.0181	-0.00636	-0.00836	-0.101	-0.0958	-0.0980			
	(0.0783)	(0.0790)	(0.0792)	(0.114)	(0.115)	(0.116)			
d_Chongqing	0.0584	0.0547	0.0560	0.0679	0.0658	0.0653			
	(0.103)	(0.102)	(0.102)	(0.160)	(0.159)	(0.160)			
d_Haerbin	0.130	0.146	0.146	0.146	0.156	0.156			
	(0.0978)	(0.0983)	(0.0984)	(0.131)	(0.131)	(0.131)			
d_Hefei	0.0117	0.0118	0.0115	0.0232	0.0154	0.00283			
	(0.0764)	(0.0776)	(0.0776)	(0.115)	(0.117)	(0.117)			
Ddrink							-0.00372	-0.00196	-0.000459
							(0.0268)	(0.0268)	(0.0269)
Dbirth_rate							-0.163	-0.154	-0.155
							(0.100)	(0.0988)	(0.0991)
DVeryEarly_disease_d							0.290	0.277	0.285
							(0.186)	(0.191)	(0.191)
Dincome								-0.0363	-0.0302
								(0.0711)	(0.0729)
Dmarried								0.0619	0.0681
								(0.0962)	(0.0976)
Dhealth								0.0319	0.0325
								(0.0661)	(0.0658)
Dwork_over_40h									-0.0556
									(0.0866)
Constant	3.082***	3.719***	3.726***	3.753***	4.342***	4.379***			
	(0.356)	(0.452)	(0.451)	(0.536)	(0.665)	(0.664)			
									
Observations	2,514	2,514	2,514	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.020	0.026	0.029	0.031	0.005	0.007	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
