	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
smoke	-0.0137	-0.0136	-0.0135	-0.0139	-0.0148	-0.0136			
	(0.0185)	(0.0185)	(0.0185)	(0.0270)	(0.0271)	(0.0270)			
age	-0.211	-0.248	-0.252	-0.371	-0.438	-0.464*			
	(0.171)	(0.187)	(0.187)	(0.251)	(0.271)	(0.271)			
agesquared	0.0205	0.0234	0.0236	0.0402	0.0464	0.0485			
	(0.0230)	(0.0243)	(0.0243)	(0.0335)	(0.0352)	(0.0352)			
male	-0.0969*	-0.0886	-0.0878	-0.0732	-0.0599	-0.0561			
	(0.0566)	(0.0573)	(0.0573)	(0.0825)	(0.0848)	(0.0846)			
birth_rate	-0.0165	-0.0119	-0.0119	-0.0319	-0.0254	-0.0264			
	(0.0403)	(0.0405)	(0.0405)	(0.0570)	(0.0571)	(0.0568)			
VeryEarly_disease_d	0.0456	0.0235	0.0233	0.135	0.114	0.116			
	(0.182)	(0.184)	(0.184)	(0.281)	(0.281)	(0.282)			
income		0.0151	0.0176		-0.00662	0.00279			
		(0.0320)	(0.0326)		(0.0477)	(0.0487)			
married		0.00133	0.00199		0.0367	0.0432			
		(0.0557)	(0.0558)		(0.0801)	(0.0806)			
health		-0.0767**	-0.0765**		-0.0609	-0.0591			
		(0.0299)	(0.0299)		(0.0439)	(0.0438)			
work_over_40h			-0.0221			-0.0972			
			(0.0459)			(0.0667)			
d_Chengdu	-0.0523	-0.0428	-0.0435	-0.105	-0.0985	-0.1000			
	(0.0678)	(0.0675)	(0.0675)	(0.0965)	(0.0960)	(0.0958)			
d_Chongqing	0.194**	0.188**	0.189**	0.232*	0.227*	0.226*			
	(0.0755)	(0.0754)	(0.0755)	(0.118)	(0.118)	(0.118)			
d_Haerbin	0.243***	0.249***	0.249***	0.216*	0.225*	0.226*			
	(0.0912)	(0.0912)	(0.0913)	(0.128)	(0.128)	(0.128)			
d_Hefei	0.0561	0.0732	0.0733	0.0716	0.0815	0.0723			
	(0.0622)	(0.0632)	(0.0633)	(0.0929)	(0.0946)	(0.0946)			
Dsmoke							-0.0599	-0.0574	-0.0567
							(0.0437)	(0.0441)	(0.0439)
Dbirth_rate							-0.0995	-0.0895	-0.0882
							(0.0863)	(0.0855)	(0.0850)
DVeryEarly_disease_d							-0.182	-0.197	-0.217
							(0.409)	(0.407)	(0.405)
Dincome								-0.0291	-0.0455
								(0.0666)	(0.0664)
Dmarried								0.0662	0.0511
								(0.104)	(0.103)
Dhealth								0.0197	0.0183
								(0.0632)	(0.0636)
Dwork_over_40h									0.142
									(0.0883)
Constant	2.930***	3.190***	3.190***	3.265***	3.641***	3.665***			
	(0.312)	(0.392)	(0.392)	(0.465)	(0.577)	(0.575)			
									
Observations	2,618	2,618	2,618	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.021	0.021	0.023	0.025	0.027	0.005	0.006	0.010
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
