	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	Dhappiness_4scale	Dhappiness_4scale	Dhappiness_4scale
									
smoke	0.00507	0.000456	0.000823	0.0121	0.0133	0.0141			
	(0.0134)	(0.0131)	(0.0131)	(0.0172)	(0.0169)	(0.0169)			
age	-0.127	-0.295**	-0.303**	-0.201	-0.287*	-0.305*			
	(0.116)	(0.126)	(0.126)	(0.156)	(0.174)	(0.174)			
agesquared	0.0114	0.0316*	0.0321*	0.0235	0.0344	0.0359			
	(0.0157)	(0.0164)	(0.0165)	(0.0210)	(0.0224)	(0.0224)			
male	-0.117***	-0.139***	-0.138***	-0.120**	-0.164***	-0.161***			
	(0.0408)	(0.0406)	(0.0406)	(0.0540)	(0.0541)	(0.0542)			
birth_rate	0.00119	-0.0164	-0.0164	0.0358	0.0160	0.0153			
	(0.0265)	(0.0257)	(0.0257)	(0.0359)	(0.0333)	(0.0333)			
VeryEarly_disease_d	0.0677	0.146	0.145	0.166	0.231	0.232			
	(0.101)	(0.0936)	(0.0939)	(0.141)	(0.141)	(0.141)			
income		0.118***	0.123***		0.122***	0.129***			
		(0.0211)	(0.0215)		(0.0286)	(0.0290)			
married		0.144***	0.146***		0.0834	0.0880			
		(0.0418)	(0.0418)		(0.0610)	(0.0609)			
health		0.112***	0.112***		0.114***	0.116***			
		(0.0200)	(0.0200)		(0.0272)	(0.0272)			
work_over_40h			-0.0481			-0.0696*			
			(0.0307)			(0.0420)			
d_Chengdu	0.000285	-0.0502	-0.0519	0.0144	-0.0228	-0.0238			
	(0.0501)	(0.0487)	(0.0488)	(0.0709)	(0.0687)	(0.0692)			
d_Chongqing	0.00724	0.00558	0.00678	-0.0515	-0.0456	-0.0459			
	(0.0579)	(0.0569)	(0.0571)	(0.0912)	(0.0866)	(0.0866)			
d_Haerbin	0.154***	0.0999**	0.0996**	0.184***	0.128**	0.129**			
	(0.0480)	(0.0482)	(0.0482)	(0.0617)	(0.0629)	(0.0627)			
d_Hefei	-0.0186	-0.0637	-0.0635	0.0134	-0.0240	-0.0307			
	(0.0484)	(0.0479)	(0.0479)	(0.0691)	(0.0694)	(0.0699)			
Dsmoke							-0.0290	-0.0234	-0.0237
							(0.0316)	(0.0315)	(0.0314)
Dbirth_rate							0.00855	-0.00885	-0.00939
							(0.0708)	(0.0668)	(0.0665)
DVeryEarly_disease_d							0.000737	0.0390	0.0472
							(0.233)	(0.241)	(0.241)
Dincome								0.0932*	0.1000**
								(0.0475)	(0.0473)
Dmarried								0.0924	0.0986
								(0.0716)	(0.0723)
Dhealth								0.135***	0.136***
								(0.0376)	(0.0375)
Dwork_over_40h									-0.0584
									(0.0554)
Constant	3.823***	2.939***	2.940***	3.863***	2.819***	2.837***			
	(0.211)	(0.272)	(0.272)	(0.299)	(0.384)	(0.385)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.015	0.051	0.052	0.018	0.056	0.058	0.002	0.030	0.032
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
