	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale
									
smoke	0.0117	0.0136	0.0130	0.0229	0.0229	0.0223			
	(0.0174)	(0.0174)	(0.0174)	(0.0240)	(0.0240)	(0.0241)			
age	-0.337**	-0.239	-0.225	-0.307	-0.185	-0.172			
	(0.157)	(0.177)	(0.178)	(0.211)	(0.238)	(0.240)			
agesquared	0.0223	0.0113	0.0106	0.0201	0.00649	0.00547			
	(0.0208)	(0.0226)	(0.0226)	(0.0274)	(0.0297)	(0.0299)			
male	-0.0652	-0.0620	-0.0651	-0.0904	-0.0769	-0.0787			
	(0.0519)	(0.0526)	(0.0526)	(0.0685)	(0.0700)	(0.0698)			
birth_rate	-0.0422	-0.0374	-0.0373	-0.0442	-0.0365	-0.0360			
	(0.0369)	(0.0366)	(0.0365)	(0.0487)	(0.0476)	(0.0477)			
VeryEarly_disease_d	-0.0578	-0.0778	-0.0766	-0.342***	-0.362***	-0.363***			
	(0.152)	(0.151)	(0.152)	(0.112)	(0.120)	(0.121)			
income		-0.0390	-0.0481*		-0.0522	-0.0569			
		(0.0266)	(0.0273)		(0.0383)	(0.0394)			
married		-0.0776	-0.0800		-0.103	-0.107			
		(0.0604)	(0.0603)		(0.0829)	(0.0830)			
health		-0.0249	-0.0253		-0.0459	-0.0468			
		(0.0266)	(0.0265)		(0.0372)	(0.0371)			
work_over_40h			0.0821*			0.0479			
			(0.0433)			(0.0600)			
d_Chengdu	-0.0575	-0.0398	-0.0369	-0.0103	0.00981	0.0105			
	(0.0648)	(0.0652)	(0.0653)	(0.0951)	(0.0949)	(0.0951)			
d_Chongqing	0.140*	0.143*	0.141*	0.0496	0.0485	0.0487			
	(0.0772)	(0.0773)	(0.0776)	(0.111)	(0.111)	(0.111)			
d_Haerbin	-0.116	-0.0979	-0.0974	0.0515	0.0810	0.0806			
	(0.0750)	(0.0761)	(0.0758)	(0.0976)	(0.0986)	(0.0983)			
d_Hefei	0.0656	0.0825	0.0822	0.117	0.142	0.147			
	(0.0629)	(0.0638)	(0.0635)	(0.0898)	(0.0902)	(0.0908)			
Dsmoke							0.101***	0.0991***	0.0992***
							(0.0361)	(0.0365)	(0.0365)
Dbirth_rate							0.0892	0.0736	0.0738
							(0.0980)	(0.0984)	(0.0987)
DVeryEarly_disease_d							-0.619**	-0.570**	-0.572**
							(0.259)	(0.263)	(0.262)
Dincome								-0.0778	-0.0800
								(0.0583)	(0.0591)
Dmarried								-0.228**	-0.230**
								(0.102)	(0.102)
Dhealth								0.0653	0.0651
								(0.0564)	(0.0564)
Dwork_over_40h									0.0187
									(0.0751)
Constant	2.896***	3.074***	3.073***	2.768***	3.069***	3.057***			
	(0.295)	(0.374)	(0.374)	(0.416)	(0.518)	(0.520)			
									
Observations	2,623	2,623	2,623	1,320	1,320	1,320	660	660	660
R-squared	0.040	0.043	0.044	0.042	0.047	0.048	0.019	0.033	0.033
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
