	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
smoke	0.00270	-0.000281	-0.000566	-0.00120	-0.00108	-0.00114			
	(0.0147)	(0.0147)	(0.0146)	(0.0209)	(0.0207)	(0.0207)			
age	0.0422	-0.0994	-0.0931	-0.123	-0.297	-0.296			
	(0.127)	(0.142)	(0.141)	(0.177)	(0.202)	(0.202)			
agesquared	0.00969	0.0265	0.0262	0.0322	0.0525**	0.0524**			
	(0.0171)	(0.0184)	(0.0183)	(0.0235)	(0.0258)	(0.0258)			
male	-0.0920**	-0.0939**	-0.0954**	-0.0904	-0.0930	-0.0932			
	(0.0440)	(0.0442)	(0.0442)	(0.0628)	(0.0635)	(0.0635)			
birth_rate	0.00255	-0.00565	-0.00563	-0.0230	-0.0347	-0.0346			
	(0.0299)	(0.0295)	(0.0296)	(0.0421)	(0.0418)	(0.0417)			
VeryEarly_disease_d	-0.139	-0.102	-0.102	0.185	0.196	0.196			
	(0.150)	(0.145)	(0.144)	(0.206)	(0.200)	(0.200)			
income		-0.00906	-0.0132		-0.0190	-0.0194			
		(0.0234)	(0.0237)		(0.0339)	(0.0343)			
married		0.157***	0.156***		0.188***	0.187***			
		(0.0462)	(0.0461)		(0.0707)	(0.0708)			
health		0.131***	0.131***		0.149***	0.149***			
		(0.0224)	(0.0223)		(0.0312)	(0.0311)			
work_over_40h			0.0373			0.00503			
			(0.0350)			(0.0507)			
d_Chengdu	0.0961*	0.0612	0.0625	0.0626	0.0321	0.0321			
	(0.0557)	(0.0549)	(0.0548)	(0.0830)	(0.0799)	(0.0800)			
d_Chongqing	-0.0959	-0.0939	-0.0948	-0.152	-0.144	-0.144			
	(0.0657)	(0.0640)	(0.0640)	(0.0998)	(0.0972)	(0.0973)			
d_Haerbin	0.117*	0.0908	0.0910	0.110	0.0700	0.0699			
	(0.0619)	(0.0620)	(0.0621)	(0.0828)	(0.0837)	(0.0838)			
d_Hefei	0.0976*	0.0439	0.0437	0.0924	0.0278	0.0283			
	(0.0518)	(0.0519)	(0.0519)	(0.0779)	(0.0778)	(0.0782)			
Dsmoke							-0.0232	-0.0149	-0.0149
							(0.0348)	(0.0345)	(0.0345)
Dbirth_rate							-0.0302	-0.0239	-0.0239
							(0.0680)	(0.0699)	(0.0700)
DVeryEarly_disease_d							0.272	0.270	0.270
							(0.290)	(0.279)	(0.278)
Dincome								0.0141	0.0141
								(0.0550)	(0.0557)
Dmarried								0.184**	0.184**
								(0.0862)	(0.0861)
Dhealth								0.124***	0.124***
								(0.0477)	(0.0476)
Dwork_over_40h									0.000498
									(0.0642)
Constant	2.654***	2.433***	2.433***	2.995***	2.820***	2.818***			
	(0.235)	(0.296)	(0.295)	(0.332)	(0.418)	(0.417)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.028	0.048	0.048	0.034	0.060	0.060	0.003	0.022	0.022
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
