	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
									
smoke	-0.00261	-0.00161	-0.00178	-0.000303	-0.000361	-0.000680			
	(0.0163)	(0.0164)	(0.0164)	(0.0223)	(0.0224)	(0.0224)			
age	-0.243	-0.242	-0.238	-0.296	-0.244	-0.237			
	(0.157)	(0.176)	(0.177)	(0.200)	(0.231)	(0.232)			
agesquared	0.0177	0.0168	0.0165	0.0227	0.0168	0.0163			
	(0.0206)	(0.0222)	(0.0222)	(0.0256)	(0.0282)	(0.0283)			
male	-0.0612	-0.0462	-0.0470	0.0264	0.0364	0.0354			
	(0.0531)	(0.0538)	(0.0539)	(0.0697)	(0.0708)	(0.0710)			
birth_rate	-0.0564	-0.0491	-0.0491	-0.0431	-0.0389	-0.0386			
	(0.0362)	(0.0359)	(0.0359)	(0.0444)	(0.0442)	(0.0442)			
VeryEarly_disease_d	0.0874	0.0544	0.0548	-0.0844	-0.0984	-0.0989			
	(0.158)	(0.159)	(0.159)	(0.163)	(0.163)	(0.164)			
income		-0.0623**	-0.0650**		-0.0387	-0.0413			
		(0.0283)	(0.0287)		(0.0401)	(0.0408)			
married		0.00533	0.00462		-0.0404	-0.0421			
		(0.0572)	(0.0573)		(0.0801)	(0.0803)			
health		-0.0257	-0.0258		-0.0158	-0.0163			
		(0.0262)	(0.0262)		(0.0371)	(0.0371)			
work_over_40h			0.0244			0.0260			
			(0.0424)			(0.0583)			
d_Chengdu	0.174**	0.187***	0.188***	0.221**	0.231**	0.231**			
	(0.0683)	(0.0688)	(0.0689)	(0.0913)	(0.0915)	(0.0915)			
d_Chongqing	0.0507	0.0498	0.0492	0.0985	0.0984	0.0985			
	(0.0761)	(0.0763)	(0.0764)	(0.116)	(0.116)	(0.116)			
d_Haerbin	-0.0399	-0.0211	-0.0209	0.0419	0.0571	0.0568			
	(0.0791)	(0.0803)	(0.0802)	(0.0995)	(0.100)	(0.100)			
d_Hefei	0.220***	0.223***	0.223***	0.321***	0.329***	0.332***			
	(0.0660)	(0.0671)	(0.0671)	(0.0936)	(0.0957)	(0.0960)			
Dsmoke							0.0695**	0.0680*	0.0682*
							(0.0341)	(0.0350)	(0.0349)
Dbirth_rate							0.146*	0.142*	0.142*
							(0.0857)	(0.0847)	(0.0849)
DVeryEarly_disease_d							-0.0917	-0.0734	-0.0797
							(0.200)	(0.195)	(0.197)
Dincome								-0.0562	-0.0615
								(0.0677)	(0.0688)
Dmarried								-0.122	-0.127
								(0.0771)	(0.0779)
Dhealth								0.0172	0.0167
								(0.0547)	(0.0545)
Dwork_over_40h									0.0454
									(0.0720)
Constant	2.632***	3.111***	3.110***	2.615***	2.830***	2.823***			
	(0.301)	(0.383)	(0.383)	(0.391)	(0.510)	(0.511)			
									
Observations	2,594	2,594	2,594	1,320	1,320	1,320	660	660	660
R-squared	0.033	0.036	0.036	0.055	0.056	0.056	0.010	0.015	0.016
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
