	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
smoke	-0.00183	-0.00137	-0.000736	0.00190	0.00186	0.00407			
	(0.0188)	(0.0188)	(0.0187)	(0.0273)	(0.0273)	(0.0271)			
age	-0.313*	-0.328*	-0.342*	-0.537**	-0.535*	-0.584**			
	(0.180)	(0.197)	(0.197)	(0.260)	(0.285)	(0.286)			
agesquared	0.0339	0.0347	0.0355	0.0589*	0.0585	0.0624*			
	(0.0241)	(0.0255)	(0.0255)	(0.0346)	(0.0365)	(0.0366)			
male	-0.0988*	-0.0924	-0.0894	-0.0464	-0.0455	-0.0385			
	(0.0592)	(0.0603)	(0.0602)	(0.0851)	(0.0881)	(0.0876)			
birth_rate	-0.0546	-0.0506	-0.0506	-0.0573	-0.0566	-0.0585			
	(0.0409)	(0.0410)	(0.0409)	(0.0541)	(0.0544)	(0.0538)			
VeryEarly_disease_d	0.0884	0.0694	0.0683	0.192	0.191	0.194			
	(0.198)	(0.199)	(0.201)	(0.313)	(0.314)	(0.317)			
income		0.00205	0.0106		-0.000419	0.0171			
		(0.0318)	(0.0322)		(0.0459)	(0.0463)			
married		-0.00642	-0.00405		-0.00416	0.00792			
		(0.0591)	(0.0593)		(0.0899)	(0.0910)			
health		-0.0547*	-0.0543*		-0.00715	-0.00380			
		(0.0311)	(0.0311)		(0.0454)	(0.0450)			
work_over_40h			-0.0780*			-0.181***			
			(0.0464)			(0.0677)			
d_Chengdu	0.0916	0.100	0.0978	-0.0382	-0.0369	-0.0396			
	(0.0717)	(0.0719)	(0.0721)	(0.104)	(0.104)	(0.104)			
d_Chongqing	0.219***	0.215***	0.217***	0.257**	0.257**	0.256*			
	(0.0826)	(0.0827)	(0.0826)	(0.131)	(0.131)	(0.131)			
d_Haerbin	0.151	0.159*	0.159*	0.156	0.158	0.159			
	(0.0952)	(0.0958)	(0.0958)	(0.129)	(0.130)	(0.130)			
d_Hefei	0.178***	0.191***	0.191***	0.234**	0.237**	0.219**			
	(0.0682)	(0.0691)	(0.0689)	(0.0988)	(0.101)	(0.100)			
Dsmoke							-0.0316	-0.0280	-0.0280
							(0.0436)	(0.0442)	(0.0442)
Dbirth_rate							-0.129	-0.130	-0.130
							(0.0911)	(0.0911)	(0.0911)
DVeryEarly_disease_d							0.0201	0.0337	0.0335
							(0.332)	(0.324)	(0.323)
Dincome								-0.0216	-0.0217
								(0.0721)	(0.0730)
Dmarried								0.0213	0.0212
								(0.104)	(0.105)
Dhealth								0.0835	0.0835
								(0.0618)	(0.0618)
Dwork_over_40h									0.00109
									(0.0874)
Constant	3.066***	3.287***	3.289***	3.536***	3.562***	3.608***			
	(0.330)	(0.427)	(0.426)	(0.477)	(0.612)	(0.612)			
									
Observations	2,603	2,603	2,603	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.020	0.021	0.031	0.031	0.037	0.003	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
