	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
									
smoke	-0.00113	0.000840	0.000620	-0.00246	-0.00272	-0.00350			
	(0.0158)	(0.0157)	(0.0158)	(0.0224)	(0.0224)	(0.0224)			
age	-0.265*	-0.170	-0.165	-0.254	-0.187	-0.170			
	(0.140)	(0.157)	(0.157)	(0.189)	(0.210)	(0.212)			
agesquared	0.0249	0.0142	0.0139	0.0198	0.0120	0.0106			
	(0.0187)	(0.0201)	(0.0201)	(0.0246)	(0.0262)	(0.0264)			
male	-0.0921**	-0.0890*	-0.0902*	-0.0852	-0.0712	-0.0736			
	(0.0465)	(0.0471)	(0.0472)	(0.0637)	(0.0644)	(0.0645)			
birth_rate	-0.0386	-0.0336	-0.0336	-0.0323	-0.0248	-0.0241			
	(0.0330)	(0.0327)	(0.0326)	(0.0422)	(0.0413)	(0.0412)			
VeryEarly_disease_d	0.117	0.0964	0.0968	-0.0903	-0.111	-0.112			
	(0.146)	(0.145)	(0.145)	(0.158)	(0.157)	(0.159)			
income		-0.0341	-0.0374		-0.0410	-0.0472			
		(0.0252)	(0.0256)		(0.0344)	(0.0350)			
married		-0.0782	-0.0791		-0.0623	-0.0665			
		(0.0507)	(0.0508)		(0.0716)	(0.0720)			
health		-0.0317	-0.0318		-0.0499	-0.0511			
		(0.0244)	(0.0244)		(0.0344)	(0.0344)			
work_over_40h			0.0296			0.0636			
			(0.0379)			(0.0534)			
d_Chengdu	0.0757	0.0939	0.0949	0.120	0.137	0.138*			
	(0.0593)	(0.0599)	(0.0599)	(0.0833)	(0.0832)	(0.0831)			
d_Chongqing	0.0333	0.0360	0.0352	-0.0489	-0.0511	-0.0509			
	(0.0735)	(0.0733)	(0.0734)	(0.103)	(0.102)	(0.103)			
d_Haerbin	-0.0837	-0.0658	-0.0656	-0.0144	0.00943	0.00887			
	(0.0693)	(0.0701)	(0.0700)	(0.0874)	(0.0881)	(0.0879)			
d_Hefei	0.0499	0.0684	0.0683	0.0410	0.0614	0.0674			
	(0.0576)	(0.0584)	(0.0584)	(0.0842)	(0.0862)	(0.0867)			
Dsmoke							0.0561*	0.0572*	0.0573*
							(0.0339)	(0.0343)	(0.0343)
Dbirth_rate							0.0133	0.00775	0.00796
							(0.100)	(0.100)	(0.100)
DVeryEarly_disease_d							-0.206	-0.185	-0.188
							(0.267)	(0.273)	(0.273)
Dincome								-0.0253	-0.0279
								(0.0487)	(0.0495)
Dmarried								-0.0502	-0.0526
								(0.0858)	(0.0857)
Dhealth								0.0573	0.0571
								(0.0497)	(0.0497)
Dwork_over_40h									0.0228
									(0.0714)
Constant	2.494***	2.673***	2.673***	2.488***	2.823***	2.806***			
	(0.263)	(0.335)	(0.335)	(0.370)	(0.457)	(0.458)			
									
Observations	2,616	2,616	2,616	1,320	1,320	1,320	660	660	660
R-squared	0.016	0.019	0.020	0.025	0.030	0.031	0.005	0.009	0.009
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
