	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
sports	0.00297	-0.00188	-0.00135	0.0119	0.00274	0.00246			
	(0.0121)	(0.0121)	(0.0121)	(0.0170)	(0.0170)	(0.0170)			
age	-0.105	-0.0877	-0.0831	-0.179	-0.216	-0.219			
	(0.132)	(0.146)	(0.146)	(0.196)	(0.214)	(0.215)			
agesquared	0.0226	0.0224	0.0220	0.0316	0.0377	0.0381			
	(0.0181)	(0.0193)	(0.0193)	(0.0269)	(0.0284)	(0.0285)			
male	-0.0765**	-0.0855**	-0.0866**	-0.0815	-0.0948*	-0.0942*			
	(0.0372)	(0.0376)	(0.0376)	(0.0532)	(0.0543)	(0.0543)			
birth_rate	0.00920	0.00418	0.00427	-0.0597	-0.0714*	-0.0715*			
	(0.0306)	(0.0301)	(0.0301)	(0.0410)	(0.0393)	(0.0393)			
VeryEarly_disease_d	-0.0770	-0.0518	-0.0514	0.224	0.248	0.248			
	(0.140)	(0.139)	(0.139)	(0.193)	(0.186)	(0.187)			
income		-0.0168	-0.0193		0.00232	0.00341			
		(0.0230)	(0.0234)		(0.0331)	(0.0337)			
married		0.0130	0.0124		0.0482	0.0489			
		(0.0436)	(0.0436)		(0.0616)	(0.0614)			
health		0.0924***	0.0921***		0.114***	0.115***			
		(0.0227)	(0.0227)		(0.0331)	(0.0331)			
work_over_40h			0.0225			-0.0111			
			(0.0338)			(0.0476)			
d_Chengdu	0.132**	0.118**	0.119**	0.137*	0.115	0.115			
	(0.0539)	(0.0544)	(0.0543)	(0.0788)	(0.0787)	(0.0787)			
d_Chongqing	-0.119**	-0.114*	-0.114*	-0.152*	-0.146*	-0.146*			
	(0.0597)	(0.0596)	(0.0595)	(0.0826)	(0.0842)	(0.0843)			
d_Haerbin	-0.0880	-0.0962	-0.0961	-0.0758	-0.0991	-0.0990			
	(0.0591)	(0.0592)	(0.0592)	(0.0814)	(0.0817)	(0.0817)			
d_Hefei	0.00910	-0.0151	-0.0149	-0.0522	-0.0903	-0.0915			
	(0.0514)	(0.0515)	(0.0515)	(0.0768)	(0.0769)	(0.0771)			
Dsports							-0.0110	-0.0186	-0.0185
							(0.0233)	(0.0234)	(0.0234)
Dbirth_rate							-0.208**	-0.213**	-0.214**
							(0.103)	(0.103)	(0.103)
DVeryEarly_disease_d							0.355	0.373*	0.377*
							(0.223)	(0.210)	(0.212)
Dincome								-0.0224	-0.0196
								(0.0513)	(0.0520)
Dmarried								0.0332	0.0358
								(0.0755)	(0.0760)
Dhealth								0.126***	0.126***
								(0.0449)	(0.0450)
Dwork_over_40h									-0.0246
									(0.0622)
Constant	2.755***	2.484***	2.482***	3.048***	2.680***	2.683***			
	(0.248)	(0.301)	(0.301)	(0.365)	(0.444)	(0.444)			
									
Observations	2,605	2,605	2,605	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.026	0.026	0.028	0.041	0.041	0.016	0.030	0.030
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
