	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
									
sports	-0.0266*	-0.0241*	-0.0236*	-0.0406**	-0.0398**	-0.0393**			
	(0.0138)	(0.0139)	(0.0139)	(0.0183)	(0.0185)	(0.0185)			
age	-0.283*	-0.267	-0.263	-0.382*	-0.313	-0.308			
	(0.159)	(0.177)	(0.178)	(0.203)	(0.232)	(0.234)			
agesquared	0.0240	0.0213	0.0210	0.0352	0.0277	0.0273			
	(0.0209)	(0.0224)	(0.0224)	(0.0261)	(0.0285)	(0.0287)			
male	-0.0660	-0.0505	-0.0513	0.0211	0.0281	0.0272			
	(0.0452)	(0.0460)	(0.0461)	(0.0598)	(0.0608)	(0.0609)			
birth_rate	-0.0526	-0.0459	-0.0458	-0.0473	-0.0444	-0.0442			
	(0.0364)	(0.0361)	(0.0361)	(0.0443)	(0.0442)	(0.0443)			
VeryEarly_disease_d	0.0756	0.0462	0.0466	-0.0838	-0.0927	-0.0930			
	(0.157)	(0.158)	(0.158)	(0.166)	(0.167)	(0.168)			
income		-0.0611**	-0.0632**		-0.0350	-0.0366			
		(0.0284)	(0.0288)		(0.0401)	(0.0409)			
married		-0.00101	-0.00149		-0.0492	-0.0502			
		(0.0569)	(0.0569)		(0.0796)	(0.0799)			
health		-0.0205	-0.0207		-0.00449	-0.00490			
		(0.0265)	(0.0264)		(0.0374)	(0.0373)			
work_over_40h			0.0181			0.0161			
			(0.0427)			(0.0583)			
d_Chengdu	0.157**	0.170**	0.171**	0.210**	0.219**	0.220**			
	(0.0690)	(0.0694)	(0.0696)	(0.0907)	(0.0909)	(0.0911)			
d_Chongqing	0.0520	0.0526	0.0522	0.0922	0.0933	0.0934			
	(0.0763)	(0.0763)	(0.0764)	(0.115)	(0.114)	(0.115)			
d_Haerbin	-0.0286	-0.0109	-0.0108	0.0522	0.0651	0.0649			
	(0.0794)	(0.0805)	(0.0805)	(0.0994)	(0.100)	(0.100)			
d_Hefei	0.210***	0.214***	0.214***	0.309***	0.316***	0.318***			
	(0.0668)	(0.0678)	(0.0679)	(0.0949)	(0.0970)	(0.0973)			
Dsports							-0.0290	-0.0289	-0.0291
							(0.0254)	(0.0259)	(0.0259)
Dbirth_rate							0.134	0.128	0.129
							(0.0867)	(0.0858)	(0.0859)
DVeryEarly_disease_d							-0.105	-0.0838	-0.0903
							(0.200)	(0.195)	(0.197)
Dincome								-0.0539	-0.0592
								(0.0674)	(0.0687)
Dmarried								-0.129*	-0.134*
								(0.0775)	(0.0783)
Dhealth								0.0191	0.0187
								(0.0554)	(0.0552)
Dwork_over_40h									0.0456
									(0.0720)
Constant	2.728***	3.151***	3.148***	2.842***	2.964***	2.958***			
	(0.312)	(0.387)	(0.388)	(0.409)	(0.514)	(0.515)			
									
Observations	2,571	2,571	2,571	1,320	1,320	1,320	660	660	660
R-squared	0.033	0.036	0.036	0.059	0.060	0.060	0.006	0.012	0.012
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
