	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
sports	0.0111	0.0142	0.0123	-0.00804	-0.00769	-0.0124			
	(0.0165)	(0.0164)	(0.0165)	(0.0237)	(0.0239)	(0.0239)			
age	-0.311*	-0.321	-0.337*	-0.553**	-0.547*	-0.604**			
	(0.182)	(0.198)	(0.198)	(0.263)	(0.286)	(0.287)			
agesquared	0.0334	0.0334	0.0346	0.0613*	0.0606*	0.0656*			
	(0.0243)	(0.0256)	(0.0256)	(0.0350)	(0.0367)	(0.0368)			
male	-0.0991**	-0.0918*	-0.0878*	-0.0440	-0.0437	-0.0335			
	(0.0505)	(0.0516)	(0.0516)	(0.0722)	(0.0749)	(0.0746)			
birth_rate	-0.0504	-0.0466	-0.0469	-0.0579	-0.0575	-0.0599			
	(0.0413)	(0.0413)	(0.0413)	(0.0542)	(0.0545)	(0.0538)			
VeryEarly_disease_d	0.0919	0.0733	0.0719	0.192	0.191	0.194			
	(0.198)	(0.199)	(0.201)	(0.313)	(0.313)	(0.317)			
income		0.00308	0.0118		0.000294	0.0185			
		(0.0319)	(0.0323)		(0.0461)	(0.0465)			
married		-0.00675	-0.00461		-0.00572	0.00568			
		(0.0594)	(0.0596)		(0.0901)	(0.0911)			
health		-0.0574*	-0.0565*		-0.00500	-0.000319			
		(0.0312)	(0.0312)		(0.0454)	(0.0450)			
work_over_40h			-0.0772			-0.183***			
			(0.0469)			(0.0677)			
d_Chengdu	0.0909	0.100	0.0964	-0.0403	-0.0391	-0.0432			
	(0.0725)	(0.0728)	(0.0730)	(0.104)	(0.105)	(0.104)			
d_Chongqing	0.227***	0.224***	0.226***	0.256*	0.256*	0.255*			
	(0.0827)	(0.0828)	(0.0827)	(0.131)	(0.131)	(0.130)			
d_Haerbin	0.136	0.144	0.144	0.158	0.159	0.161			
	(0.0957)	(0.0961)	(0.0961)	(0.129)	(0.130)	(0.130)			
d_Hefei	0.180***	0.194***	0.194***	0.232**	0.234**	0.215**			
	(0.0689)	(0.0697)	(0.0694)	(0.0991)	(0.101)	(0.100)			
Dsports							-0.0704*	-0.0765**	-0.0765**
							(0.0360)	(0.0360)	(0.0361)
Dbirth_rate							-0.138	-0.141	-0.141
							(0.0909)	(0.0906)	(0.0907)
DVeryEarly_disease_d							-0.0275	-0.0153	-0.0160
							(0.320)	(0.311)	(0.310)
Dincome								-0.0211	-0.0217
								(0.0710)	(0.0719)
Dmarried								0.0330	0.0324
								(0.104)	(0.104)
Dhealth								0.100*	0.100*
								(0.0609)	(0.0609)
Dwork_over_40h									0.00533
									(0.0872)
Constant	3.035***	3.247***	3.255***	3.580***	3.587***	3.649***			
	(0.340)	(0.433)	(0.433)	(0.493)	(0.615)	(0.616)			
									
Observations	2,580	2,580	2,580	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.020	0.021	0.031	0.031	0.037	0.011	0.016	0.016
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
