	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
sports	-0.0279	-0.0178	-0.0188	-0.0794*	-0.0576	-0.0558			
	(0.0302)	(0.0303)	(0.0304)	(0.0439)	(0.0440)	(0.0441)			
age	0.555*	0.618*	0.610*	0.506	0.596	0.618			
	(0.301)	(0.328)	(0.329)	(0.447)	(0.481)	(0.483)			
agesquared	-0.0260	-0.0363	-0.0356	-0.00905	-0.0243	-0.0262			
	(0.0402)	(0.0423)	(0.0423)	(0.0588)	(0.0612)	(0.0614)			
male	-0.215**	-0.204**	-0.202**	-0.221*	-0.220*	-0.224*			
	(0.0905)	(0.0910)	(0.0911)	(0.132)	(0.132)	(0.132)			
birth_rate	-0.00370	0.00647	0.00630	0.0459	0.0685	0.0694			
	(0.0651)	(0.0653)	(0.0653)	(0.0924)	(0.0933)	(0.0935)			
VeryEarly_disease_d	-0.628	-0.677*	-0.678*	-1.125**	-1.143**	-1.144**			
	(0.385)	(0.382)	(0.382)	(0.517)	(0.498)	(0.498)			
income		0.0619	0.0666		0.126	0.119			
		(0.0605)	(0.0616)		(0.0847)	(0.0864)			
married		-0.121	-0.120		-0.154	-0.158			
		(0.103)	(0.103)		(0.149)	(0.150)			
health		-0.224***	-0.224***		-0.326***	-0.328***			
		(0.0533)	(0.0533)		(0.0770)	(0.0768)			
work_over_40h			-0.0421			0.0702			
			(0.0846)			(0.126)			
d_Chengdu	0.356**	0.395***	0.392***	0.418*	0.462**	0.463**			
	(0.146)	(0.146)	(0.146)	(0.221)	(0.219)	(0.220)			
d_Chongqing	0.226	0.217	0.218	0.0432	0.0232	0.0236			
	(0.152)	(0.152)	(0.152)	(0.228)	(0.224)	(0.224)			
d_Haerbin	0.0831	0.104	0.104	0.337*	0.376*	0.375*			
	(0.160)	(0.160)	(0.160)	(0.204)	(0.205)	(0.205)			
d_Hefei	-0.441***	-0.369***	-0.370***	-0.266	-0.153	-0.146			
	(0.117)	(0.117)	(0.117)	(0.186)	(0.182)	(0.183)			
Dsports							-0.0316	-0.0146	-0.0157
							(0.0690)	(0.0678)	(0.0680)
Dbirth_rate							0.136	0.0950	0.0963
							(0.164)	(0.174)	(0.174)
DVeryEarly_disease_d							-0.773	-0.714	-0.740
							(0.845)	(0.825)	(0.824)
Dincome								0.170	0.150
								(0.112)	(0.112)
Dmarried								-0.365**	-0.384**
								(0.163)	(0.164)
Dhealth								-0.243**	-0.244**
								(0.117)	(0.117)
Dwork_over_40h									0.181
									(0.148)
Constant	3.243***	3.608***	3.612***	3.122***	3.392***	3.369***			
	(0.570)	(0.722)	(0.722)	(0.872)	(1.082)	(1.085)			
									
Observations	2,605	2,605	2,605	1,320	1,320	1,320	660	660	660
R-squared	0.068	0.077	0.077	0.073	0.091	0.091	0.005	0.024	0.026
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
