	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
sports	-0.00921	-0.00410	-0.00485	-0.0381*	-0.0291	-0.0313			
	(0.0159)	(0.0158)	(0.0159)	(0.0219)	(0.0220)	(0.0220)			
age	-0.527***	-0.451**	-0.457**	-0.683***	-0.702***	-0.728***			
	(0.171)	(0.185)	(0.185)	(0.245)	(0.262)	(0.263)			
agesquared	0.0640***	0.0540**	0.0545**	0.0811**	0.0811**	0.0834**			
	(0.0230)	(0.0240)	(0.0240)	(0.0322)	(0.0335)	(0.0336)			
male	-0.0284	-0.00985	-0.00822	0.0894	0.121*	0.125*			
	(0.0489)	(0.0493)	(0.0493)	(0.0687)	(0.0698)	(0.0696)			
birth_rate	-0.0376	-0.0271	-0.0273	-0.0525	-0.0386	-0.0397			
	(0.0406)	(0.0404)	(0.0404)	(0.0542)	(0.0541)	(0.0540)			
VeryEarly_disease_d	-0.0325	-0.0779	-0.0784	0.0153	-0.0320	-0.0306			
	(0.187)	(0.190)	(0.190)	(0.285)	(0.288)	(0.287)			
income		-0.0522	-0.0487		-0.0713	-0.0631			
		(0.0323)	(0.0330)		(0.0461)	(0.0471)			
married		-0.0684	-0.0675		0.0179	0.0230			
		(0.0570)	(0.0571)		(0.0836)	(0.0837)			
health		-0.0848***	-0.0844***		-0.0786*	-0.0765*			
		(0.0307)	(0.0307)		(0.0438)	(0.0437)			
work_over_40h			-0.0311			-0.0830			
			(0.0468)			(0.0686)			
d_Chengdu	-0.0830	-0.0545	-0.0561	-0.228**	-0.206**	-0.208**			
	(0.0677)	(0.0684)	(0.0684)	(0.0899)	(0.0899)	(0.0896)			
d_Chongqing	0.214**	0.214**	0.215**	0.234*	0.229*	0.229*			
	(0.0890)	(0.0878)	(0.0878)	(0.140)	(0.138)	(0.138)			
d_Haerbin	0.246***	0.273***	0.273***	0.264**	0.290**	0.291**			
	(0.0911)	(0.0910)	(0.0911)	(0.128)	(0.128)	(0.128)			
d_Hefei	-0.0390	-0.00977	-0.00998	-0.0479	-0.0298	-0.0384			
	(0.0672)	(0.0687)	(0.0687)	(0.0993)	(0.101)	(0.101)			
Dsports							-0.0659**	-0.0659**	-0.0661**
							(0.0326)	(0.0328)	(0.0328)
Dbirth_rate							-0.178*	-0.169*	-0.169*
							(0.0928)	(0.0908)	(0.0909)
DVeryEarly_disease_d							-0.0856	-0.0984	-0.101
							(0.327)	(0.330)	(0.330)
Dincome								-0.0497	-0.0522
								(0.0711)	(0.0726)
Dmarried								0.00938	0.00715
								(0.105)	(0.106)
Dhealth								0.00139	0.00121
								(0.0655)	(0.0657)
Dwork_over_40h									0.0210
									(0.0929)
Constant	3.257***	3.772***	3.775***	3.625***	4.367***	4.395***			
	(0.325)	(0.411)	(0.411)	(0.471)	(0.585)	(0.584)			
									
Observations	2,590	2,590	2,590	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.023	0.023	0.033	0.039	0.040	0.011	0.012	0.012
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
