	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
									
sports	-0.0204	-0.0188	-0.0168	-0.0522***	-0.0509***	-0.0489**			
	(0.0145)	(0.0146)	(0.0146)	(0.0191)	(0.0196)	(0.0196)			
age	-0.288*	-0.313*	-0.295	-0.392*	-0.389	-0.366			
	(0.167)	(0.183)	(0.184)	(0.233)	(0.254)	(0.256)			
agesquared	0.0264	0.0287	0.0273	0.0403	0.0397	0.0376			
	(0.0223)	(0.0237)	(0.0236)	(0.0304)	(0.0321)	(0.0323)			
male	-0.166***	-0.160***	-0.165***	-0.110*	-0.106	-0.110*			
	(0.0485)	(0.0488)	(0.0488)	(0.0652)	(0.0664)	(0.0663)			
birth_rate	-0.0800**	-0.0778**	-0.0773**	-0.0431	-0.0412	-0.0402			
	(0.0379)	(0.0379)	(0.0378)	(0.0478)	(0.0476)	(0.0474)			
VeryEarly_disease_d	0.232	0.221	0.223	0.109	0.104	0.102			
	(0.192)	(0.194)	(0.193)	(0.205)	(0.204)	(0.207)			
income		-0.00845	-0.0180		-0.00760	-0.0152			
		(0.0289)	(0.0294)		(0.0404)	(0.0409)			
married		0.0184	0.0162		-0.00298	-0.00773			
		(0.0566)	(0.0566)		(0.0782)	(0.0786)			
health		-0.0202	-0.0213		-0.0130	-0.0149			
		(0.0275)	(0.0275)		(0.0395)	(0.0395)			
work_over_40h			0.0843*			0.0763			
			(0.0438)			(0.0604)			
d_Chengdu	0.185**	0.188**	0.193***	0.192*	0.195**	0.197**			
	(0.0746)	(0.0749)	(0.0747)	(0.0988)	(0.0992)	(0.0989)			
d_Chongqing	-0.0344	-0.0363	-0.0384	-0.0129	-0.0136	-0.0131			
	(0.0806)	(0.0808)	(0.0813)	(0.116)	(0.117)	(0.117)			
d_Haerbin	-0.194**	-0.190**	-0.190**	-0.0806	-0.0766	-0.0775			
	(0.0755)	(0.0766)	(0.0763)	(0.0925)	(0.0936)	(0.0936)			
d_Hefei	0.138**	0.140**	0.141**	0.189*	0.193*	0.201*			
	(0.0673)	(0.0689)	(0.0688)	(0.101)	(0.104)	(0.104)			
Dsports							-0.00947	-0.0145	-0.0145
							(0.0248)	(0.0257)	(0.0258)
Dbirth_rate							-0.0615	-0.0762	-0.0762
							(0.0721)	(0.0743)	(0.0744)
DVeryEarly_disease_d							0.202	0.232	0.231
							(0.239)	(0.247)	(0.248)
Dincome								0.0334	0.0326
								(0.0529)	(0.0546)
Dmarried								-0.00870	-0.00944
								(0.0849)	(0.0855)
Dhealth								0.0852	0.0852
								(0.0520)	(0.0521)
Dwork_over_40h									0.00702
									(0.0654)
Constant	2.831***	2.998***	2.990***	2.912***	2.999***	2.974***			
	(0.316)	(0.389)	(0.389)	(0.454)	(0.547)	(0.548)			
									
Observations	2,569	2,569	2,569	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.034	0.036	0.039	0.039	0.040	0.002	0.008	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
