	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
edu_junior	-0.0354	-0.0489	-0.0490	-0.0982	-0.134	-0.134			
	(0.0835)	(0.0840)	(0.0839)	(0.125)	(0.127)	(0.127)			
edu_senior	-0.0468	-0.0660	-0.0680	-0.0676	-0.1000	-0.0997			
	(0.0842)	(0.0855)	(0.0854)	(0.122)	(0.125)	(0.125)			
edu_techhighcollege	-0.0656	-0.0849	-0.0890	-0.113	-0.135	-0.135			
	(0.0836)	(0.0860)	(0.0860)	(0.123)	(0.128)	(0.128)			
edu_univabove	-0.0917	-0.120	-0.127	-0.165	-0.188	-0.186			
	(0.0905)	(0.0952)	(0.0951)	(0.132)	(0.140)	(0.140)			
age	0.122	0.101	0.0955	0.209	0.224	0.226			
	(0.129)	(0.143)	(0.143)	(0.186)	(0.206)	(0.207)			
agesquared	-0.0255	-0.0247	-0.0245	-0.0368	-0.0402	-0.0403			
	(0.0177)	(0.0189)	(0.0189)	(0.0254)	(0.0270)	(0.0271)			
male	0.0741**	0.0803**	0.0815**	0.0810	0.0891	0.0886			
	(0.0371)	(0.0375)	(0.0375)	(0.0542)	(0.0553)	(0.0553)			
birth_rate	-0.00984	-0.00549	-0.00545	0.0649	0.0759*	0.0760*			
	(0.0300)	(0.0295)	(0.0295)	(0.0412)	(0.0395)	(0.0396)			
VeryEarly_disease_d	0.0710	0.0463	0.0459	-0.226	-0.245	-0.245			
	(0.140)	(0.138)	(0.138)	(0.197)	(0.191)	(0.191)			
income		0.0278	0.0320		0.0106	0.00961			
		(0.0246)	(0.0251)		(0.0356)	(0.0364)			
married		-0.0154	-0.0146		-0.0422	-0.0428			
		(0.0434)	(0.0433)		(0.0621)	(0.0618)			
health		-0.0926***	-0.0925***		-0.119***	-0.119***			
		(0.0225)	(0.0225)		(0.0333)	(0.0333)			
work_over_40h			-0.0302			0.00820			
			(0.0335)			(0.0478)			
d_Chengdu	-0.134**	-0.123**	-0.124**	-0.135*	-0.119	-0.119			
	(0.0535)	(0.0541)	(0.0540)	(0.0799)	(0.0797)	(0.0797)			
d_Chongqing	0.119**	0.111*	0.112*	0.159*	0.149*	0.149*			
	(0.0596)	(0.0595)	(0.0594)	(0.0840)	(0.0857)	(0.0857)			
d_Haerbin	0.0975	0.106*	0.106*	0.0825	0.103	0.103			
	(0.0599)	(0.0599)	(0.0599)	(0.0835)	(0.0834)	(0.0834)			
d_Hefei	-0.00650	0.0155	0.0153	0.0548	0.0915	0.0924			
	(0.0504)	(0.0506)	(0.0506)	(0.0767)	(0.0770)	(0.0773)			
Dedu_junior							-0.00326	-0.0426	-0.0459
							(0.194)	(0.200)	(0.200)
Dedu_senior							-0.113	-0.161	-0.163
							(0.182)	(0.192)	(0.192)
Dedu_techhighcollege							-0.125	-0.164	-0.165
							(0.187)	(0.199)	(0.199)
Dedu_univabove							0.0215	-0.0323	-0.0363
							(0.206)	(0.217)	(0.218)
Dbirth_rate							0.212**	0.214**	0.214**
							(0.105)	(0.106)	(0.106)
DVeryEarly_disease_d							-0.353	-0.375*	-0.378*
							(0.217)	(0.206)	(0.208)
Dincome								0.0275	0.0251
								(0.0525)	(0.0533)
Dmarried								-0.0302	-0.0325
								(0.0749)	(0.0754)
Dhealth								-0.122***	-0.122***
								(0.0453)	(0.0454)
Dwork_over_40h									0.0205
									(0.0629)
Constant	2.270***	2.509***	2.507***	1.972***	2.357***	2.356***			
	(0.248)	(0.302)	(0.302)	(0.364)	(0.450)	(0.450)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.026	0.027	0.029	0.043	0.043	0.020	0.033	0.034
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
