	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
edu_junior	0.0501	0.0540	0.0544	-0.114	-0.117	-0.121			
	(0.0963)	(0.0963)	(0.0962)	(0.140)	(0.142)	(0.141)			
edu_senior	-0.0508	-0.0476	-0.0427	-0.207	-0.216	-0.209			
	(0.0977)	(0.0985)	(0.0984)	(0.144)	(0.147)	(0.146)			
edu_techhighcollege	-0.0540	-0.0579	-0.0481	-0.248*	-0.263*	-0.245*			
	(0.0976)	(0.0992)	(0.0993)	(0.143)	(0.148)	(0.148)			
edu_univabove	0.0284	0.0207	0.0359	-0.104	-0.127	-0.0982			
	(0.121)	(0.125)	(0.126)	(0.179)	(0.189)	(0.189)			
age	0.313*	0.335*	0.348*	0.569**	0.576**	0.621**			
	(0.181)	(0.198)	(0.198)	(0.265)	(0.291)	(0.293)			
agesquared	-0.0350	-0.0365	-0.0371	-0.0657*	-0.0666*	-0.0698*			
	(0.0242)	(0.0257)	(0.0257)	(0.0354)	(0.0376)	(0.0377)			
male	0.0953*	0.0851*	0.0823	0.0300	0.0222	0.0130			
	(0.0503)	(0.0515)	(0.0515)	(0.0728)	(0.0756)	(0.0754)			
birth_rate	0.0558	0.0511	0.0510	0.0552	0.0527	0.0551			
	(0.0412)	(0.0412)	(0.0411)	(0.0543)	(0.0547)	(0.0541)			
VeryEarly_disease_d	-0.0926	-0.0693	-0.0682	-0.200	-0.191	-0.191			
	(0.197)	(0.199)	(0.200)	(0.308)	(0.310)	(0.313)			
income		0.00863	-0.00113		0.0245	0.00291			
		(0.0336)	(0.0341)		(0.0492)	(0.0498)			
married		-0.00461	-0.00643		-0.00641	-0.0183			
		(0.0590)	(0.0592)		(0.0903)	(0.0913)			
health		0.0550*	0.0547*		0.00547	0.00193			
		(0.0312)	(0.0311)		(0.0455)	(0.0452)			
work_over_40h			0.0686			0.172**			
			(0.0465)			(0.0675)			
d_Chengdu	-0.101	-0.110	-0.107	0.0109	0.00658	0.0108			
	(0.0724)	(0.0726)	(0.0729)	(0.106)	(0.107)	(0.107)			
d_Chongqing	-0.224***	-0.219***	-0.221***	-0.271**	-0.270**	-0.270**			
	(0.0831)	(0.0833)	(0.0831)	(0.131)	(0.131)	(0.131)			
d_Haerbin	-0.145	-0.153	-0.155	-0.157	-0.161	-0.165			
	(0.0957)	(0.0958)	(0.0959)	(0.128)	(0.129)	(0.128)			
d_Hefei	-0.181***	-0.192***	-0.191***	-0.246**	-0.247**	-0.228**			
	(0.0681)	(0.0689)	(0.0687)	(0.0988)	(0.100)	(0.0998)			
Dedu_junior							-0.371	-0.399	-0.400
							(0.391)	(0.390)	(0.391)
Dedu_senior							-0.229	-0.264	-0.264
							(0.383)	(0.384)	(0.385)
Dedu_techhighcollege							-0.351	-0.379	-0.380
							(0.385)	(0.386)	(0.386)
Dedu_univabove							-0.405	-0.446	-0.446
							(0.424)	(0.427)	(0.428)
Dbirth_rate							0.115	0.115	0.115
							(0.0918)	(0.0917)	(0.0918)
DVeryEarly_disease_d							-0.0197	-0.0338	-0.0341
							(0.330)	(0.322)	(0.320)
Dincome								0.0231	0.0228
								(0.0733)	(0.0741)
Dmarried								-0.0284	-0.0286
								(0.106)	(0.106)
Dhealth								-0.0884	-0.0884
								(0.0615)	(0.0614)
Dwork_over_40h									0.00245
									(0.0883)
Constant	1.969***	1.670***	1.674***	1.639***	1.471**	1.446**			
	(0.341)	(0.434)	(0.434)	(0.497)	(0.628)	(0.628)			
									
Observations	2,609	2,609	2,609	1,320	1,320	1,320	660	660	660
R-squared	0.020	0.022	0.022	0.035	0.035	0.041	0.007	0.011	0.011
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
