	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
									
edu_junior	0.0227	0.0236	0.0236	-0.0646	-0.0604	-0.0578			
	(0.0957)	(0.0957)	(0.0959)	(0.130)	(0.129)	(0.129)			
edu_senior	0.00417	0.00413	-0.00220	-0.171	-0.174	-0.178			
	(0.0977)	(0.0984)	(0.0986)	(0.135)	(0.137)	(0.137)			
edu_techhighcollege	0.00483	0.00206	-0.0105	-0.153	-0.164	-0.173			
	(0.0990)	(0.100)	(0.101)	(0.135)	(0.138)	(0.139)			
edu_univabove	0.163	0.161	0.141	0.0217	0.00562	-0.0102			
	(0.114)	(0.118)	(0.119)	(0.156)	(0.163)	(0.165)			
age	0.216	0.269	0.252	0.319	0.354	0.329			
	(0.168)	(0.185)	(0.185)	(0.238)	(0.261)	(0.263)			
agesquared	-0.0168	-0.0221	-0.0212	-0.0309	-0.0344	-0.0326			
	(0.0225)	(0.0238)	(0.0238)	(0.0310)	(0.0330)	(0.0331)			
male	0.164***	0.157***	0.161***	0.0916	0.0811	0.0861			
	(0.0485)	(0.0489)	(0.0488)	(0.0661)	(0.0670)	(0.0669)			
birth_rate	0.0782**	0.0761**	0.0762**	0.0336	0.0290	0.0277			
	(0.0377)	(0.0377)	(0.0376)	(0.0484)	(0.0480)	(0.0479)			
VeryEarly_disease_d	-0.233	-0.222	-0.223	-0.111	-0.0971	-0.0970			
	(0.194)	(0.195)	(0.195)	(0.208)	(0.206)	(0.210)			
income		0.00120	0.0145		0.0212	0.0330			
		(0.0305)	(0.0312)		(0.0426)	(0.0436)			
married		-0.0352	-0.0328		-0.0232	-0.0167			
		(0.0567)	(0.0566)		(0.0792)	(0.0796)			
health		0.0251	0.0257		0.0265	0.0284			
		(0.0272)	(0.0272)		(0.0384)	(0.0384)			
work_over_40h			-0.0939**			-0.0941			
			(0.0438)			(0.0611)			
d_Chengdu	-0.217***	-0.218***	-0.222***	-0.231**	-0.236**	-0.239**			
	(0.0747)	(0.0748)	(0.0746)	(0.101)	(0.101)	(0.101)			
d_Chongqing	0.0266	0.0306	0.0332	-0.0127	-0.0100	-0.00983			
	(0.0792)	(0.0795)	(0.0801)	(0.119)	(0.119)	(0.120)			
d_Haerbin	0.179**	0.178**	0.180**	0.0806	0.0758	0.0780			
	(0.0762)	(0.0770)	(0.0767)	(0.0949)	(0.0957)	(0.0957)			
d_Hefei	-0.146**	-0.146**	-0.146**	-0.213**	-0.217**	-0.227**			
	(0.0663)	(0.0679)	(0.0678)	(0.101)	(0.104)	(0.104)			
Dedu_junior							0.128	0.100	0.104
							(0.330)	(0.317)	(0.319)
Dedu_senior							0.103	0.0777	0.0807
							(0.323)	(0.310)	(0.311)
Dedu_techhighcollege							-0.0352	-0.0507	-0.0492
							(0.341)	(0.329)	(0.330)
Dedu_univabove							0.269	0.250	0.254
							(0.364)	(0.353)	(0.354)
Dbirth_rate							0.0678	0.0803	0.0802
							(0.0731)	(0.0749)	(0.0750)
DVeryEarly_disease_d							-0.189	-0.221	-0.218
							(0.254)	(0.259)	(0.261)
Dincome								-0.0285	-0.0259
								(0.0535)	(0.0552)
Dmarried								0.0196	0.0220
								(0.0854)	(0.0861)
Dhealth								-0.0766	-0.0763
								(0.0495)	(0.0495)
Dwork_over_40h									-0.0218
									(0.0651)
Constant	2.324***	2.137***	2.132***	2.477***	2.199***	2.213***			
	(0.321)	(0.395)	(0.394)	(0.458)	(0.559)	(0.558)			
									
Observations	2,598	2,598	2,598	1,320	1,320	1,320	660	660	660
R-squared	0.035	0.036	0.038	0.037	0.038	0.040	0.012	0.017	0.017
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
