	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
edu_junior	0.0987	0.108	0.108	0.197	0.206	0.205			
	(0.0928)	(0.0927)	(0.0927)	(0.133)	(0.135)	(0.135)			
edu_senior	0.129	0.143	0.146	0.0607	0.0826	0.0851			
	(0.0936)	(0.0942)	(0.0941)	(0.135)	(0.138)	(0.138)			
edu_techhigh	0.177*	0.193*	0.198**	0.140	0.162	0.165			
	(0.0991)	(0.0996)	(0.0995)	(0.144)	(0.146)	(0.146)			
edu_college	0.149	0.165	0.171*	0.177	0.200	0.209			
	(0.1000)	(0.101)	(0.101)	(0.143)	(0.149)	(0.149)			
edu_univabove	0.259**	0.280**	0.289**	0.192	0.217	0.227			
	(0.113)	(0.117)	(0.117)	(0.162)	(0.169)	(0.169)			
age	0.311**	0.277	0.284	0.447**	0.326	0.339			
	(0.153)	(0.173)	(0.173)	(0.211)	(0.239)	(0.240)			
agesquared	-0.0199	-0.0152	-0.0155	-0.0359	-0.0222	-0.0231			
	(0.0201)	(0.0220)	(0.0221)	(0.0274)	(0.0300)	(0.0300)			
male	0.0657	0.0662	0.0646	0.0175	0.0302	0.0274			
	(0.0426)	(0.0430)	(0.0431)	(0.0599)	(0.0609)	(0.0611)			
birth_rate	0.0570	0.0557	0.0556	0.0227	0.0241	0.0247			
	(0.0348)	(0.0348)	(0.0348)	(0.0436)	(0.0439)	(0.0440)			
VeryEarly_disease_d	-0.0673	-0.0555	-0.0552	0.0887	0.0772	0.0764			
	(0.148)	(0.148)	(0.148)	(0.163)	(0.163)	(0.161)			
income		-0.0187	-0.0244		-0.0291	-0.0369			
		(0.0310)	(0.0317)		(0.0446)	(0.0457)			
married		0.0447	0.0437		0.105	0.101			
		(0.0565)	(0.0566)		(0.0802)	(0.0803)			
health		0.0487*	0.0485*		0.0223	0.0213			
		(0.0258)	(0.0258)		(0.0355)	(0.0355)			
work_over_40h			0.0398			0.0592			
			(0.0409)			(0.0572)			
Dedu_junior							-0.0389	-0.0230	-0.0284
							(0.309)	(0.306)	(0.309)
Dedu_senior							-0.251	-0.230	-0.235
							(0.306)	(0.303)	(0.305)
Dedu_techhighcollege							-0.203	-0.188	-0.190
							(0.335)	(0.332)	(0.334)
Dedu_collegeabove							-0.0534	-0.0506	-0.0497
							(0.149)	(0.149)	(0.149)
Dedu_univabove							-0.175	-0.147	-0.155
							(0.364)	(0.360)	(0.362)
Dbirth_rate							0.0159	0.0294	0.0295
							(0.103)	(0.105)	(0.105)
DVeryEarly_disease_d							0.200	0.176	0.171
							(0.271)	(0.261)	(0.259)
Dincome								-0.0116	-0.0156
								(0.0633)	(0.0643)
Dmarried								0.135*	0.131
								(0.0806)	(0.0811)
Dhealth								0.0244	0.0239
								(0.0499)	(0.0500)
Dwork_over_40h									0.0340
									(0.0730)
Constant	1.913***	1.870***	1.874***	1.767***	2.018***	2.018***			
	(0.291)	(0.377)	(0.377)	(0.407)	(0.539)	(0.540)			
									
Observations	2,625	2,625	2,625	1,320	1,320	1,320	660	660	660
R-squared	0.031	0.033	0.034	0.044	0.046	0.047	0.007	0.011	0.011
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
