	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
edu_junior	0.216**	0.224**	0.224**	0.194	0.211	0.209			
	(0.0912)	(0.0916)	(0.0916)	(0.135)	(0.137)	(0.136)			
edu_senior	0.143	0.154	0.155	0.142	0.146	0.150			
	(0.0934)	(0.0948)	(0.0948)	(0.138)	(0.143)	(0.142)			
edu_techhigh	0.107	0.116	0.117	0.0799	0.0814	0.0862			
	(0.0980)	(0.0994)	(0.0994)	(0.144)	(0.148)	(0.148)			
edu_college	0.0671	0.0706	0.0725	-0.00509	-0.0200	-0.00722			
	(0.102)	(0.106)	(0.106)	(0.149)	(0.160)	(0.159)			
edu_univabove	0.141	0.150	0.153	0.138	0.126	0.140			
	(0.117)	(0.122)	(0.123)	(0.175)	(0.186)	(0.187)			
age	0.192	0.239	0.242	0.387	0.468*	0.487*			
	(0.171)	(0.188)	(0.188)	(0.251)	(0.273)	(0.273)			
agesquared	-0.0165	-0.0200	-0.0201	-0.0402	-0.0478	-0.0492			
	(0.0229)	(0.0244)	(0.0244)	(0.0334)	(0.0355)	(0.0354)			
male	0.150***	0.139***	0.139***	0.132*	0.114	0.110			
	(0.0464)	(0.0472)	(0.0473)	(0.0678)	(0.0699)	(0.0697)			
birth_rate	0.0129	0.00827	0.00825	0.0247	0.0157	0.0166			
	(0.0409)	(0.0410)	(0.0410)	(0.0572)	(0.0573)	(0.0570)			
VeryEarly_disease_d	-0.0921	-0.0627	-0.0627	-0.176	-0.147	-0.148			
	(0.183)	(0.185)	(0.185)	(0.286)	(0.286)	(0.287)			
income		-0.00874	-0.0105		0.0248	0.0136			
		(0.0339)	(0.0349)		(0.0507)	(0.0521)			
married		-0.0117	-0.0121		-0.0462	-0.0513			
		(0.0554)	(0.0554)		(0.0800)	(0.0804)			
health		0.0795***	0.0794***		0.0696	0.0682			
		(0.0297)	(0.0297)		(0.0440)	(0.0439)			
work_over_40h			0.0125			0.0839			
			(0.0465)			(0.0673)			
Dedu_junior							-0.0793	-0.0893	-0.0668
							(0.322)	(0.320)	(0.320)
Dedu_senior							-0.110	-0.127	-0.108
							(0.318)	(0.315)	(0.316)
Dedu_techhighcollege							-0.104	-0.118	-0.108
							(0.327)	(0.324)	(0.325)
Dedu_collegeabove							0.0585	0.0546	0.0507
							(0.179)	(0.179)	(0.178)
Dedu_univabove							-0.0920	-0.115	-0.0851
							(0.366)	(0.365)	(0.367)
Dbirth_rate							0.0922	0.0819	0.0815
							(0.0851)	(0.0842)	(0.0838)
DVeryEarly_disease_d							0.188	0.203	0.224
							(0.410)	(0.408)	(0.406)
Dincome								0.0296	0.0467
								(0.0678)	(0.0677)
Dmarried								-0.0754	-0.0595
								(0.104)	(0.104)
Dhealth								-0.0250	-0.0230
								(0.0630)	(0.0633)
Dwork_over_40h									-0.143
									(0.0896)
Constant	1.907***	1.564***	1.565***	1.534***	0.985*	0.984*			
	(0.321)	(0.404)	(0.404)	(0.469)	(0.590)	(0.587)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.014	0.017	0.017	0.018	0.022	0.023	0.003	0.004	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
