	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	happiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale
									
edu_junior	-0.0709	-0.0527	-0.0528	-0.0396	-0.0170	-0.0160			
	(0.100)	(0.100)	(0.100)	(0.148)	(0.150)	(0.150)			
edu_senior	0.00315	0.0348	0.0318	0.0769	0.120	0.118			
	(0.102)	(0.102)	(0.103)	(0.151)	(0.155)	(0.156)			
edu_techhigh	-0.153	-0.112	-0.117	-0.0579	-0.0113	-0.0143			
	(0.108)	(0.110)	(0.110)	(0.160)	(0.164)	(0.164)			
edu_college	-0.175	-0.119	-0.127	-0.242	-0.182	-0.190			
	(0.110)	(0.114)	(0.114)	(0.159)	(0.169)	(0.169)			
edu_univabove	-0.234*	-0.165	-0.175	-0.170	-0.1000	-0.108			
	(0.125)	(0.131)	(0.132)	(0.185)	(0.195)	(0.196)			
age	0.293	0.184	0.176	0.134	0.0104	-0.00139			
	(0.189)	(0.207)	(0.208)	(0.284)	(0.312)	(0.314)			
agesquared	-0.0336	-0.0209	-0.0206	-0.0138	0.000808	0.00163			
	(0.0252)	(0.0268)	(0.0269)	(0.0379)	(0.0403)	(0.0405)			
male	0.0795	0.0961*	0.0979*	0.126*	0.149*	0.151*			
	(0.0524)	(0.0534)	(0.0535)	(0.0759)	(0.0782)	(0.0782)			
birth_rate	0.0732*	0.0767*	0.0768*	0.132**	0.135**	0.134**			
	(0.0421)	(0.0420)	(0.0420)	(0.0567)	(0.0566)	(0.0567)			
VeryEarly_disease_d	-0.0744	-0.0840	-0.0843	-0.125	-0.145	-0.144			
	(0.212)	(0.211)	(0.210)	(0.339)	(0.335)	(0.334)			
income		-0.0651*	-0.0583		-0.0719	-0.0650			
		(0.0356)	(0.0364)		(0.0525)	(0.0535)			
married		0.108*	0.109*		0.113	0.116			
		(0.0625)	(0.0625)		(0.0950)	(0.0952)			
health		0.0360	0.0362		0.0409	0.0418			
		(0.0310)	(0.0311)		(0.0449)	(0.0450)			
work_over_40h			-0.0470			-0.0520			
			(0.0507)			(0.0753)			
Dedu_junior							-0.149	-0.160	-0.152
							(0.351)	(0.348)	(0.351)
Dedu_senior							-0.0154	-0.0120	-0.00459
							(0.369)	(0.366)	(0.368)
Dedu_techhighcollege							-0.119	-0.112	-0.108
							(0.355)	(0.356)	(0.358)
Dedu_collegeabove							0.126	0.137	0.136
							(0.159)	(0.159)	(0.159)
Dedu_univabove							-0.0933	-0.0769	-0.0654
							(0.407)	(0.408)	(0.413)
Dbirth_rate							0.116	0.142	0.142
							(0.109)	(0.108)	(0.108)
DVeryEarly_disease_d							0.319	0.269	0.277
							(0.453)	(0.447)	(0.443)
Dincome								-0.0829	-0.0764
								(0.0700)	(0.0709)
Dmarried								0.113	0.119
								(0.116)	(0.116)
Dhealth								-0.0292	-0.0284
								(0.0618)	(0.0621)
Dwork_over_40h									-0.0544
									(0.101)
Constant	1.828***	2.211***	2.207***	1.920***	2.339***	2.339***			
	(0.356)	(0.449)	(0.450)	(0.519)	(0.663)	(0.664)			
									
Observations	2,631	2,631	2,631	1,320	1,320	1,320	660	660	660
R-squared	0.011	0.014	0.015	0.019	0.022	0.023	0.007	0.011	0.011
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
