	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
edu_junior	-0.108	-0.145	-0.146	-0.128	-0.245	-0.247			
	(0.182)	(0.181)	(0.181)	(0.268)	(0.263)	(0.265)			
edu_senior	-0.119	-0.174	-0.177	-0.182	-0.312	-0.307			
	(0.189)	(0.189)	(0.188)	(0.279)	(0.278)	(0.279)			
edu_techhigh	-0.156	-0.216	-0.222	0.112	-0.0181	-0.0112			
	(0.194)	(0.196)	(0.195)	(0.285)	(0.286)	(0.287)			
edu_college	-0.0720	-0.116	-0.123	-0.0951	-0.202	-0.184			
	(0.202)	(0.204)	(0.203)	(0.295)	(0.296)	(0.296)			
edu_univabove	0.238	0.176	0.166	0.437	0.292	0.311			
	(0.233)	(0.238)	(0.238)	(0.328)	(0.332)	(0.332)			
age	0.673**	0.785**	0.777**	0.810*	0.883*	0.910*			
	(0.303)	(0.332)	(0.333)	(0.452)	(0.492)	(0.494)			
agesquared	-0.0382	-0.0551	-0.0548	-0.0500	-0.0652	-0.0671			
	(0.0406)	(0.0430)	(0.0430)	(0.0597)	(0.0629)	(0.0632)			
male	-0.264***	-0.256***	-0.255***	-0.276**	-0.277**	-0.283**			
	(0.0873)	(0.0877)	(0.0878)	(0.128)	(0.127)	(0.127)			
birth_rate	-0.0194	-0.0101	-0.00995	0.0426	0.0654	0.0666			
	(0.0647)	(0.0649)	(0.0649)	(0.0939)	(0.0945)	(0.0947)			
VeryEarly_disease_d	-0.550	-0.621	-0.622	-1.056**	-1.101**	-1.103**			
	(0.385)	(0.381)	(0.381)	(0.503)	(0.486)	(0.488)			
income		0.0564	0.0633		0.108	0.0920			
		(0.0630)	(0.0641)		(0.0887)	(0.0904)			
married		-0.170	-0.169		-0.160	-0.167			
		(0.103)	(0.103)		(0.154)	(0.154)			
health		-0.238***	-0.238***		-0.347***	-0.349***			
		(0.0528)	(0.0528)		(0.0762)	(0.0761)			
work_over_40h			-0.0482			0.118			
			(0.0846)			(0.124)			
Dedu_junior							-0.840	-0.930	-0.960
							(0.713)	(0.688)	(0.682)
Dedu_senior							-0.725	-0.860	-0.886
							(0.737)	(0.708)	(0.703)
Dedu_techhighcollege							-0.882	-0.993	-1.007
							(0.709)	(0.680)	(0.676)
Dedu_collegeabove							-0.00469	-0.0254	-0.0201
							(0.288)	(0.289)	(0.290)
Dedu_univabove							-1.013	-1.183	-1.224
							(0.772)	(0.744)	(0.743)
Dbirth_rate							0.123	0.0765	0.0770
							(0.164)	(0.174)	(0.174)
DVeryEarly_disease_d							-0.759	-0.713	-0.742
							(0.842)	(0.824)	(0.824)
Dincome								0.179	0.156
								(0.113)	(0.113)
Dmarried								-0.379**	-0.401**
								(0.164)	(0.165)
Dhealth								-0.257**	-0.260**
								(0.117)	(0.118)
Dwork_over_40h									0.193
									(0.149)
Constant	3.084***	3.572***	3.568***	2.581***	3.302***	3.301***			
	(0.571)	(0.730)	(0.730)	(0.859)	(1.084)	(1.088)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.056	0.066	0.066	0.066	0.086	0.087	0.010	0.032	0.034
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
