	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
edu_junior	0.105	0.106	0.106	-0.126	-0.116	-0.117			
	(0.0952)	(0.0942)	(0.0942)	(0.136)	(0.135)	(0.135)			
edu_senior	0.00841	0.00507	0.00631	-0.201	-0.216	-0.213			
	(0.0946)	(0.0945)	(0.0946)	(0.134)	(0.135)	(0.135)			
edu_techhigh	0.0575	0.0463	0.0484	-0.144	-0.169	-0.165			
	(0.101)	(0.101)	(0.101)	(0.142)	(0.144)	(0.144)			
edu_college	-0.0187	-0.0642	-0.0613	-0.204	-0.273*	-0.264*			
	(0.104)	(0.106)	(0.106)	(0.150)	(0.155)	(0.155)			
edu_univabove	0.131	0.0743	0.0783	-0.0393	-0.116	-0.106			
	(0.122)	(0.125)	(0.126)	(0.175)	(0.181)	(0.182)			
age	0.519***	0.466**	0.469**	0.716***	0.784***	0.798***			
	(0.170)	(0.185)	(0.185)	(0.247)	(0.267)	(0.267)			
agesquared	-0.0623***	-0.0549**	-0.0551**	-0.0848***	-0.0912***	-0.0921***			
	(0.0227)	(0.0239)	(0.0239)	(0.0325)	(0.0341)	(0.0342)			
male	0.0572	0.0379	0.0371	-0.0699	-0.106	-0.109			
	(0.0473)	(0.0481)	(0.0481)	(0.0676)	(0.0688)	(0.0687)			
birth_rate	0.0317	0.0221	0.0220	0.0388	0.0236	0.0242			
	(0.0404)	(0.0402)	(0.0402)	(0.0549)	(0.0549)	(0.0549)			
VeryEarly_disease_d	-0.0409	0.0100	0.0102	-0.0480	0.00277	0.00190			
	(0.191)	(0.194)	(0.194)	(0.295)	(0.296)	(0.296)			
income		0.0577*	0.0550		0.0904*	0.0825*			
		(0.0338)	(0.0348)		(0.0480)	(0.0494)			
married		0.0591	0.0586		-0.0317	-0.0353			
		(0.0570)	(0.0570)		(0.0851)	(0.0850)			
health		0.0902***	0.0901***		0.0898**	0.0888**			
		(0.0304)	(0.0304)		(0.0433)	(0.0433)			
work_over_40h			0.0187			0.0591			
			(0.0470)			(0.0685)			
Dedu_junior							-0.621	-0.617*	-0.616*
							(0.377)	(0.373)	(0.373)
Dedu_senior							-0.601	-0.603*	-0.602*
							(0.366)	(0.362)	(0.362)
Dedu_techhighcollege							-0.546	-0.550	-0.550
							(0.368)	(0.364)	(0.364)
Dedu_collegeabove							0.133	0.128	0.128
							(0.156)	(0.156)	(0.157)
Dedu_univabove							-0.503	-0.509	-0.508
							(0.413)	(0.411)	(0.411)
Dbirth_rate							0.151*	0.144	0.144
							(0.0911)	(0.0904)	(0.0905)
DVeryEarly_disease_d							0.0484	0.0592	0.0602
							(0.327)	(0.330)	(0.330)
Dincome								0.0408	0.0416
								(0.0725)	(0.0741)
Dmarried								-0.00708	-0.00637
								(0.107)	(0.108)
Dhealth								0.00139	0.00148
								(0.0644)	(0.0644)
Dwork_over_40h									-0.00639
									(0.0931)
Constant	1.687***	1.068***	1.070***	1.533***	0.548	0.548			
	(0.322)	(0.413)	(0.413)	(0.476)	(0.598)	(0.597)			
									
Observations	2,620	2,620	2,620	1,320	1,320	1,320	660	660	660
R-squared	0.010	0.017	0.017	0.018	0.026	0.027	0.015	0.015	0.015
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
